YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire,type
2006,5,19,0,5.21E+17,5.21E+15,6.32,9.146,0,2
2006,6,13,0,6.10E+17,3.34E+16,9.6,10.281,0,1
2006,7,5,0,5.88E+17,3.22E+15,6.76,8.495,0,2
2006,8,10,0,6.39E+17,1.08E+16,9.04,9.787,0,2
2006,9,30,0,6.32E+17,4.14E+15,10.26,11.55,0,2
2006,10,6,0,6.10E+17,7.51E+15,9.32,10.045,0,2
2007,1,15,12,3.77E+17,1.10E+16,7.78,9.717,0,1
2007,4,17,12,4.79E+17,2.02E+16,6.56,7.573,0,2
2007,5,18,12,5.81E+17,6.82E+15,7.82,9.092,0,2
2007,6,20,12,5.59E+17,1.13E+16,5.32,10.326,0,2
2007,7,6,12,7.23E+17,9.27E+15,9.4,10.993,0,2
2007,7,11,12,6.25E+17,2.59E+15,7.96,10.631,0,2
2007,7,27,12,6.66E+17,9.14E+15,8.26,10.499,0,2
2007,8,11,0,5.72E+17,7.47E+15,9.46,11.386,0,2
2007,12,11,12,6.94E+17,1.59E+16,8.54,9.256,0,1
2008,3,14,0,4.17E+17,1.37E+16,7.12,8.477,0,2
2008,6,4,0,6.04E+17,1.84E+16,7,9.445,0,1
2008,6,11,0,6.22E+17,1.54E+16,8.56,9.589,0,2
2008,7,3,0,6.17E+17,1.15E+16,9.42,10.103,0,2
2008,8,21,0,5.75E+17,6.15E+15,8.08,8.904,0,0
2008,9,13,0,5.77E+17,1.42E+16,9.14,9.715,0,1
2008,10,9,0,5.88E+17,2.54E+16,9.26,9.768,0,2
2008,10,22,0,3.83E+17,1.21E+16,5.52,9.332,0,1
2009,2,11,0,4.03E+17,7.72E+15,5.82,8.727,0,2
2009,3,11,0,3.45E+17,3.71E+15,5.02,8.153,0,2
2009,5,27,0,5.24E+17,4.11E+15,5.72,9.001,0,1
2009,6,17,0,5.49E+17,3.71E+15,4.96,10.131,0,1
2009,7,1,0,7.76E+17,4.24E+16,8.02,9.685,0,2
2009,9,23,0,5.61E+17,1.54E+16,7.62,10.064,0,2
2009,10,7,0,5.27E+17,1.14E+16,8.56,10.001,0,2
2009,11,21,12,4.66E+17,2.65E+16,4.14,9.254,0,0
2010,1,14,12,4.26E+17,1.29E+16,4.52,10.987,0,2
2010,2,21,12,3.95E+17,2.02E+15,6.62,8.406,0,2
2010,3,19,12,4.27E+17,6.91E+15,4.86,10.327,0,2
2010,5,15,12,6.06E+17,7.92E+15,6.02,10.509,0,0
2010,9,18,0,6.55E+17,4.13E+15,8.98,10.994,0,2
2010,9,23,12,6.52E+17,3.39E+16,9.98,10.737,0,1
2010,12,10,12,5.51E+17,4.75E+16,7.88,9.122,0,2
2011,1,5,12,4.56E+17,6.53E+15,8.64,10.331,0,0
2011,1,12,12,4.16E+17,1.91E+16,8.54,9.342,0,2
2011,1,19,12,4.51E+17,7.90E+15,4.88,10.711,0,2
2011,1,28,12,4.26E+17,5.54E+15,5.52,8.832,0,0
2011,2,16,12,3.77E+17,1.64E+16,7.82,8.575,0,1
2011,2,25,12,3.83E+17,5.11E+15,4.84,8.692,0,0
2011,3,4,12,3.49E+17,1.05E+16,6.58,8.591,0,0
2011,3,9,12,4.10E+17,3.81E+16,7.4,8.499,0,0
2011,4,13,12,5.21E+17,7.11E+15,4.6,10.496,0,1
2011,6,29,12,6.81E+17,2.63E+16,7.94,10.007,0,2
2011,7,20,12,7.11E+17,2.72E+16,9.02,10.216,0,2
2011,11,2,12,4.93E+17,4.92E+15,6.58,8.963,0,2
2011,11,10,12,5.89E+17,2.11E+16,9.38,10.064,0,2
2011,11,16,12,5.84E+17,5.17E+15,7.98,9.611,0,2
2011,11,30,12,4.00E+17,8.92E+15,8.2,8.89,0,0
2011,12,7,12,4.28E+17,1.42E+16,8.18,9.288,0,0
2011,12,22,12,3.50E+17,8.78E+15,7.8,8.39,0,0
2012,1,11,12,3.09E+17,3.44E+15,5.56,7.628,0,2
2012,1,18,12,3.62E+17,6.11E+15,7.24,10.108,0,2
2012,1,25,12,3.25E+17,4.77E+15,7.14,9.122,0,0
2012,2,15,12,3.74E+17,1.29E+16,5.3,7.339,0,2
2012,2,22,12,3.71E+17,8.78E+15,4.94,10.007,0,2
2012,3,1,12,3.52E+17,6.92E+15,5.06,8.203,0,2
2012,3,21,12,4.26E+17,7.21E+15,5.74,8.953,0,0
2012,3,29,0,4.66E+17,5.37E+15,7.26,10.505,0,1
2012,4,12,12,5.20E+17,2.16E+16,4.78,9.677,0,0
2012,5,4,12,4.36E+17,5.27E+15,5.56,6.916,0,2
2012,5,17,12,5.78E+17,5.83E+15,8.7,9.638,0,2
2012,6,6,12,6.09E+17,1.22E+16,8.68,9.914,0,1
2012,7,3,12,6.02E+17,4.10E+15,5.9,9.228,0,1
2012,7,19,12,6.47E+17,3.99E+15,8.22,10.441,0,1
2012,8,8,12,6.10E+17,2.91E+15,9.04,9.831,0,2
2012,8,16,12,4.94E+17,1.29E+15,7.62,8.433,0,2
2012,10,13,12,6.04E+17,1.56E+16,7.08,9.372,0,1
2012,10,18,12,5.47E+17,8.11E+15,4.86,9.418,0,1
2012,11,24,0,5.11E+17,2.57E+16,7.34,8.401,0,0
2012,12,3,12,4.72E+17,1.81E+16,7.88,8.839,0,2
2013,7,3,0,6.27E+17,3.23E+16,8,8.782,0,1
2013,8,28,0,6.10E+17,2.66E+15,8.48,9.579,0,0
2013,9,4,0,6.62E+17,4.41E+15,5.56,11.14,0,2
2013,9,18,0,6.26E+17,6.58E+15,4.02,10.3,0,1
2013,10,23,0,5.17E+17,1.12E+16,7.28,9.96,0,0
