YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2006.00,5.00000,19.0000,0.00000,5.20760e+17,5.21078e+15,6.28000,9.14600,0.00000
2006.00,6.00000,6.00000,0.00000,6.21271e+17,2.29709e+16,5.82000,10.3810,0.00000
2006.00,6.00000,13.0000,0.00000,6.09728e+17,3.33823e+16,9.70000,10.2810,0.00000
2006.00,7.00000,5.00000,0.00000,5.87874e+17,3.22280e+15,6.82000,8.49500,0.00000
2006.00,8.00000,10.0000,0.00000,6.38721e+17,1.08213e+16,9.08000,9.78700,0.00000
2006.00,8.00000,16.0000,0.00000,6.64880e+17,9.24155e+13,4.94000,9.93300,0.00000
2006.00,9.00000,22.0000,0.00000,6.07778e+17,8.63218e+15,6.18000,10.9850,0.00000
2006.00,9.00000,30.0000,0.00000,6.32368e+17,4.14438e+15,10.2200,11.5500,0.00000
2006.00,10.0000,6.00000,0.00000,6.09593e+17,7.50689e+15,9.38000,10.0450,0.00000
2007.00,1.00000,15.0000,12.0000,3.77357e+17,8.94412e+15,6.04000,9.71700,0.00000
2007.00,2.00000,16.0000,0.00000,3.83170e+17,6.81522e+15,5.34000,8.53700,0.00000
2007.00,4.00000,17.0000,12.0000,4.78603e+17,2.02340e+16,6.66000,7.57300,0.00000
2007.00,5.00000,18.0000,12.0000,5.80735e+17,6.82008e+15,7.84000,9.09200,0.00000
2007.00,6.00000,20.0000,12.0000,5.58679e+17,1.13043e+16,5.28000,10.3260,0.00000
2007.00,7.00000,6.00000,12.0000,7.22581e+17,9.27278e+15,9.48000,10.9930,0.00000
2007.00,7.00000,11.0000,12.0000,6.24977e+17,2.58544e+15,7.98000,10.6310,0.00000
2007.00,7.00000,27.0000,12.0000,6.65557e+17,9.14189e+15,8.34000,10.4990,0.00000
2007.00,8.00000,11.0000,0.00000,5.71932e+17,7.47334e+15,9.48000,11.3860,0.00000
2007.00,10.0000,2.00000,12.0000,5.27362e+17,1.40397e+16,4.40000,9.46800,0.00000
2007.00,12.0000,11.0000,12.0000,6.94056e+17,1.91004e+16,7.70000,9.25600,0.00000
2008.00,3.00000,14.0000,0.00000,4.16501e+17,4.02552e+15,6.48000,8.47700,0.00000
