YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2006.00,6.00000,6.00000,0.00000,5.44809e+17,1.86216e+16,5.82000,9.39200,0.00000
2006.00,8.00000,10.0000,0.00000,6.38721e+17,1.08213e+16,9.08000,9.78700,0.00000
2006.00,9.00000,22.0000,0.00000,6.05031e+17,8.63218e+15,6.18000,10.9500,0.00000
2006.00,9.00000,30.0000,0.00000,6.24217e+17,5.84120e+15,10.2200,11.3690,0.00000
2006.00,10.0000,6.00000,0.00000,6.09593e+17,7.50689e+15,9.38000,10.0450,0.00000
2007.00,1.00000,15.0000,12.0000,3.67166e+17,8.68103e+15,6.04000,9.51400,0.00000
2007.00,2.00000,16.0000,0.00000,3.41394e+17,7.68675e+15,6.68000,7.86700,0.00000
2007.00,4.00000,17.0000,12.0000,4.75294e+17,2.02340e+16,6.66000,7.53700,0.00000
2007.00,5.00000,18.0000,12.0000,5.58070e+17,1.09126e+16,7.84000,8.68000,0.00000
2007.00,7.00000,6.00000,12.0000,7.07559e+17,1.44850e+16,9.48000,10.6980,0.00000
2007.00,8.00000,11.0000,0.00000,5.64939e+17,7.75081e+15,9.48000,11.2090,0.00000
2007.00,12.0000,11.0000,12.0000,6.94056e+17,1.91004e+16,7.70000,9.25600,0.00000
2008.00,3.00000,14.0000,0.00000,4.16501e+17,4.02552e+15,6.48000,8.47700,0.00000
2008.00,6.00000,4.00000,0.00000,5.63228e+17,1.83829e+16,6.98000,8.51100,0.00000
2008.00,6.00000,11.0000,0.00000,5.27903e+17,7.01753e+15,6.44000,8.25600,0.00000
2008.00,8.00000,21.0000,0.00000,5.74587e+17,6.14869e+15,8.08000,8.90400,0.00000
2008.00,9.00000,13.0000,0.00000,5.76552e+17,1.42143e+16,9.20000,9.71500,0.00000
2008.00,10.0000,22.0000,0.00000,3.57165e+17,1.09278e+16,5.56000,8.72000,0.00000
2009.00,6.00000,24.0000,0.00000,5.61385e+17,7.74152e+15,6.80000,8.93900,0.00000
2009.00,7.00000,1.00000,0.00000,7.76432e+17,4.23662e+16,7.34000,9.68500,0.00000
2009.00,9.00000,23.0000,0.00000,5.51146e+17,1.54092e+16,7.60000,9.88900,0.00000
2009.00,10.0000,7.00000,0.00000,5.20609e+17,1.13833e+16,8.56000,9.91100,0.00000
2009.00,11.0000,21.0000,12.0000,4.46731e+17,2.41223e+16,4.22000,8.98600,0.00000
2010.00,5.00000,15.0000,12.0000,6.06005e+17,7.92064e+15,6.02000,10.5090,0.00000
2010.00,9.00000,23.0000,12.0000,6.51540e+17,3.38599e+16,10.0400,10.7370,0.00000
2010.00,12.0000,10.0000,12.0000,5.34719e+17,2.00482e+16,4.50000,8.83100,0.00000
2011.00,1.00000,5.00000,12.0000,4.51712e+17,9.70648e+15,8.64000,10.2420,0.00000
2011.00,1.00000,12.0000,12.0000,4.15755e+17,1.90590e+16,8.58000,9.34200,0.00000
2011.00,2.00000,16.0000,12.0000,3.65492e+17,1.76122e+16,7.80000,8.38900,0.00000
2011.00,3.00000,4.00000,12.0000,3.42996e+17,1.08851e+16,6.58000,8.49800,0.00000
2011.00,3.00000,9.00000,12.0000,3.06670e+17,1.72341e+16,5.86000,6.92500,0.00000
2011.00,4.00000,13.0000,12.0000,5.21134e+17,7.11366e+15,4.58000,10.4960,0.00000
2011.00,6.00000,29.0000,12.0000,6.59547e+17,2.62961e+16,7.94000,9.59500,0.00000
2011.00,7.00000,20.0000,12.0000,7.07012e+17,2.72336e+16,8.72000,10.1590,0.00000
2011.00,11.0000,30.0000,12.0000,3.92672e+17,1.01479e+16,8.18000,8.77700,0.00000
2012.00,1.00000,25.0000,12.0000,3.00284e+17,5.51061e+15,7.16000,8.61300,0.00000
2012.00,2.00000,15.0000,12.0000,3.74438e+17,1.29035e+16,5.44000,7.33900,0.00000
2012.00,3.00000,21.0000,12.0000,3.77575e+17,7.75133e+15,5.68000,7.63200,0.00000
2012.00,4.00000,12.0000,12.0000,4.61233e+17,1.98637e+16,4.86000,8.50100,0.00000
2012.00,6.00000,6.00000,12.0000,5.68535e+17,1.25061e+16,8.60000,9.10900,0.00000
2012.00,7.00000,19.0000,12.0000,6.38473e+17,4.66917e+15,8.24000,10.2720,0.00000
2012.00,10.0000,13.0000,12.0000,6.04339e+17,1.56280e+16,6.98000,9.37200,0.00000
2012.00,11.0000,24.0000,0.00000,5.05549e+17,2.79737e+16,7.40000,8.33800,0.00000
2012.00,12.0000,3.00000,12.0000,4.71986e+17,1.81462e+16,7.88000,8.83900,0.00000
2013.00,8.00000,21.0000,0.00000,6.21965e+17,5.50812e+15,7.62000,8.90000,0.00000
2013.00,10.0000,23.0000,0.00000,5.17337e+17,1.11500e+16,7.26000,9.96000,0.00000
