YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2006.00,6.00000,6.00000,0.00000,6.21271e+17,2.29709e+16,5.82000,10.3810,0.00000
2006.00,8.00000,10.0000,0.00000,6.38721e+17,1.08213e+16,9.08000,9.78700,0.00000
2006.00,9.00000,22.0000,0.00000,6.07778e+17,8.63218e+15,6.22000,10.9850,0.00000
2006.00,9.00000,30.0000,0.00000,6.32368e+17,4.14438e+15,10.2200,11.5500,0.00000
2006.00,10.0000,6.00000,0.00000,6.09593e+17,7.50689e+15,9.38000,10.0450,0.00000
2007.00,1.00000,15.0000,12.0000,3.77357e+17,8.94412e+15,6.04000,9.71700,0.00000
2007.00,2.00000,16.0000,0.00000,3.83170e+17,5.26285e+15,6.68000,8.53700,0.00000
2007.00,4.00000,17.0000,12.0000,4.78603e+17,2.02340e+16,6.66000,7.57300,0.00000
2007.00,5.00000,18.0000,12.0000,5.80735e+17,6.82008e+15,7.84000,9.09200,0.00000
2007.00,7.00000,6.00000,12.0000,7.22581e+17,9.27278e+15,9.48000,10.9930,0.00000
2007.00,8.00000,11.0000,0.00000,5.71932e+17,7.47334e+15,9.48000,11.3860,0.00000
2007.00,12.0000,11.0000,12.0000,6.94056e+17,1.91004e+16,7.70000,9.25600,0.00000
2008.00,3.00000,14.0000,0.00000,4.16501e+17,4.02552e+15,6.48000,8.47700,0.00000
2008.00,6.00000,4.00000,0.00000,6.04014e+17,1.83829e+16,6.98000,9.44500,0.00000
2008.00,6.00000,11.0000,0.00000,6.22089e+17,1.53936e+16,8.54000,9.58900,0.00000
2008.00,7.00000,3.00000,0.00000,6.17338e+17,1.14795e+16,9.42000,10.1030,0.00000
2008.00,8.00000,21.0000,0.00000,5.74587e+17,6.14869e+15,8.08000,8.90400,0.00000
2008.00,9.00000,13.0000,0.00000,5.76552e+17,1.42143e+16,9.20000,9.71500,0.00000
2008.00,10.0000,9.00000,0.00000,5.87660e+17,2.53611e+16,9.26000,9.76800,0.00000
2008.00,10.0000,22.0000,0.00000,3.83126e+17,1.20535e+16,5.56000,9.33200,0.00000
2009.00,7.00000,1.00000,0.00000,7.76432e+17,4.23662e+16,7.34000,9.68500,0.00000
2009.00,9.00000,16.0000,0.00000,5.51198e+17,6.10040e+15,9.24000,9.81000,0.00000
2009.00,9.00000,23.0000,0.00000,5.61031e+17,1.54092e+16,7.60000,10.0640,0.00000
2009.00,10.0000,7.00000,0.00000,5.26738e+17,1.13833e+16,8.56000,10.0010,0.00000
2009.00,11.0000,21.0000,12.0000,4.65887e+17,2.64898e+16,4.22000,9.25400,0.00000
2010.00,5.00000,15.0000,12.0000,6.06005e+17,7.92064e+15,6.02000,10.5090,0.00000
2010.00,9.00000,23.0000,12.0000,6.51540e+17,3.38599e+16,10.0400,10.7370,0.00000
2010.00,12.0000,10.0000,12.0000,5.51033e+17,2.05735e+16,4.50000,9.12200,0.00000
2011.00,1.00000,5.00000,12.0000,4.56121e+17,6.53430e+15,8.64000,10.3310,0.00000
2011.00,1.00000,12.0000,12.0000,4.15755e+17,1.90590e+16,8.58000,9.34200,0.00000
2011.00,2.00000,16.0000,12.0000,3.77388e+17,1.63789e+16,7.80000,8.57500,0.00000
2011.00,3.00000,4.00000,12.0000,3.49037e+17,1.04745e+16,6.58000,8.59100,0.00000
2011.00,3.00000,9.00000,12.0000,4.10213e+17,7.03200e+15,5.88000,8.49900,0.00000
2011.00,4.00000,13.0000,12.0000,5.21134e+17,7.11366e+15,4.58000,10.4960,0.00000
2011.00,6.00000,29.0000,12.0000,6.81457e+17,2.62961e+16,7.94000,10.0070,0.00000
2011.00,7.00000,20.0000,12.0000,7.10672e+17,2.72336e+16,8.72000,10.2160,0.00000
2011.00,11.0000,10.0000,12.0000,5.89040e+17,2.11197e+16,9.38000,10.0640,0.00000
2011.00,11.0000,30.0000,12.0000,4.00464e+17,8.92133e+15,8.18000,8.89000,0.00000
2011.00,12.0000,7.00000,12.0000,4.28090e+17,1.41770e+16,8.18000,9.28800,0.00000
2011.00,12.0000,22.0000,12.0000,3.49946e+17,8.77988e+15,7.80000,8.39000,0.00000
2012.00,1.00000,25.0000,12.0000,3.24818e+17,4.76533e+15,7.16000,9.12200,0.00000
2012.00,2.00000,15.0000,12.0000,3.74438e+17,1.29035e+16,5.44000,7.33900,0.00000
2012.00,3.00000,21.0000,12.0000,4.25882e+17,7.21244e+15,5.72000,8.95300,0.00000
2012.00,4.00000,12.0000,12.0000,5.19724e+17,2.16387e+16,4.86000,9.67700,0.00000
2012.00,5.00000,17.0000,12.0000,5.78283e+17,5.82901e+15,8.68000,9.63800,0.00000
2012.00,6.00000,6.00000,12.0000,6.09295e+17,1.21848e+16,8.72000,9.91400,0.00000
2012.00,10.0000,13.0000,12.0000,6.04339e+17,1.56280e+16,6.98000,9.37200,0.00000
2012.00,11.0000,24.0000,0.00000,5.11059e+17,2.56991e+16,7.40000,8.40100,0.00000
2012.00,12.0000,3.00000,12.0000,4.71986e+17,1.81462e+16,7.88000,8.83900,0.00000
2013.00,8.00000,21.0000,0.00000,6.21965e+17,5.22613e+15,8.36000,8.90000,0.00000
2013.00,10.0000,23.0000,0.00000,5.17337e+17,1.11500e+16,7.26000,9.96000,0.00000
