YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire,etype
2006,6,6,0,544809000000000000,18621600000000000,5.82,9.392,0,1
2006,8,10,0,638721000000000000,10821300000000000,9.08,9.787,0,2
2006,9,22,0,605031000000000000,8632180000000000,6.18,10.95,0,1
2006,9,30,0,624217000000000000,5841200000000000,10.22,11.369,0,1
2006,10,6,0,609593000000000000,7506890000000000,9.38,10.045,0,1
2007,1,15,12,367166000000000000,8681030000000000,6.04,9.514,0,0
2007,2,16,0,341394000000000000,7686750000000000,6.68,7.867,0,0
2007,4,17,12,475294000000000000,20234000000000000,6.66,7.537,0,0
2007,5,18,12,558070000000000000,10912600000000000,7.84,8.68,0,1
2007,7,6,12,707559000000000000,14485000000000000,9.48,10.698,0,2
2007,8,11,0,564939000000000000,7750810000000000,9.48,11.209,0,2
2007,12,11,12,694056000000000000,19100400000000000,7.7,9.256,0,0
2008,3,14,0,416501000000000000,4025520000000000,6.48,8.477,0,0
2008,6,4,0,563228000000000000,18382900000000000,6.98,8.511,0,0
2008,6,11,0,527903000000000000,7017530000000000,6.44,8.256,0,2
2008,8,21,0,574587000000000000,6148690000000000,8.08,8.904,0,0
2008,9,13,0,576552000000000000,14214300000000000,9.2,9.715,0,0
2008,10,22,0,357165000000000000,10927800000000000,5.56,8.72,0,0
2009,6,24,0,561385000000000000,7741520000000000,6.8,8.939,0,0
2009,7,1,0,776432000000000000,42366200000000000,7.34,9.685,0,1
2009,9,23,0,551146000000000000,15409200000000000,7.6,9.889,0,1
2009,10,7,0,520609000000000000,11383300000000000,8.56,9.911,0,0
2009,11,21,12,446731000000000000,24122300000000000,4.22,8.986,0,1
2010,9,23,12,651540000000000000,33859900000000000,10.04,10.737,0,0
2010,12,10,12,534719000000000000,20048200000000000,4.5,8.831,0,1
2011,1,5,12,451712000000000000,9706480000000000,8.64,10.242,0,1
2011,1,12,12,415755000000000000,19059000000000000,8.58,9.342,0,2
2011,2,16,12,365492000000000000,17612200000000000,7.8,8.389,0,0
2011,3,4,12,342996000000000000,10885100000000000,6.58,8.498,0,1
2011,3,9,12,306670000000000000,17234100000000000,5.86,6.925,0,0
2011,4,13,12,521134000000000000,7113660000000000,4.58,10.496,0,1
2011,6,29,12,659547000000000000,26296100000000000,7.94,9.595,0,1
2011,7,20,12,707012000000000000,27233600000000000,8.72,10.159,0,2
2011,11,30,12,392672000000000000,10147900000000000,8.18,8.777,0,0
2012,1,25,12,300284000000000000,5510610000000000,7.16,8.613,0,0
2012,2,15,12,374438000000000000,12903500000000000,5.44,7.339,0,0
2012,3,21,12,377575000000000000,7751330000000000,5.7,7.632,0,1
2012,4,12,12,461233000000000000,19863700000000000,4.86,8.501,0,1
2012,6,6,12,568535000000000000,12506100000000000,8.6,9.109,0,1
2012,7,19,12,638473000000000000,4669170000000000,8.24,10.272,0,1
2012,10,13,12,604339000000000000,15628000000000000,6.98,9.372,0,1
2012,11,24,0,505549000000000000,27973700000000000,7.4,8.338,0,0
2012,12,3,12,471986000000000000,18146200000000000,7.88,8.839,0,1
2013,8,21,0,621965000000000000,5508120000000000,7.62,8.9,0,2
2013,10,23,0,517337000000000000,11150000000000000,7.26,9.96,0,1
