YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire,type
2004,2,4,0,571000000000000000,40800000000000000,6.94,8.668,1,1
2004,2,25,0,445000000000000000,15500000000000000,8.82,10.384,0,0
2004,3,5,6,530000000000000000,7580000000000000,9.08,11.351,0,2
2004,3,10,0,529000000000000000,30800000000000000,4.28,10.609,0,2
2004,3,24,0,510000000000000000,8670000000000000,4.4,9.252,0,2
2004,5,19,0,634000000000000000,15700000000000000,6.24,11.521,0,1
2004,6,9,0,711000000000000000,29200000000000000,7.06,9.45,0,1
2004,6,30,0,621000000000000000,9290000000000000,4.08,9.953,0,1
2004,8,18,0,684000000000000000,4000000000000000,9.98,11.144,0,0
2004,9,8,0,768000000000000000,2610000000000000,7.76,10.964,0,0
2004,10,13,0,501000000000000000,10300000000000000,6.34,7.575,0,0
2005,1,19,0,423000000000000000,11800000000000000,8.82,10.067,0,0
2005,3,27,0,453000000000000000,7430000000000000,6.38,9.256,0,1
2005,3,28,0,458000000000000000,7620000000000000,7.12,9.44,0,1
2005,7,14,0,556000000000000000,7720000000000000,7.2,8.426,0,2
2005,8,25,0,655000000000000000,9070000000000000,8.68,10.697,1,0
2005,9,7,0,823000000000000000,15300000000000000,4.2,11.097,1,2
2005,10,12,0,589000000000000000,12500000000000000,7.24,8.982,1,0
2005,10,19,0,798000000000000000,23600000000000000,8.42,9.589,1,0
2005,11,23,0,513000000000000000,16200000000000000,4.98,9.657,0,1
2005,12,21,0,641000000000000000,31200000000000000,5.58,9.709,0,2
2006,3,23,0,441000000000000000,25100000000000000,5.32,9.117,0,0
2006,8,9,0,641000000000000000,8650000000000000,7.98,11.614,0,1
2006,10,18,0,673000000000000000,5570000000000000,8.2,9.704,1,0
2006,11,8,0,402000000000000000,7710000000000000,5.8,8.284,0,2
2006,12,27,0,630000000000000000,8190000000000000,7.88,11.264,0,2
2007,3,8,0,416000000000000000,10300000000000000,4,8.374,0,2
2007,3,14,0,459000000000000000,27400000000000000,4.56,8.981,0,2
2007,3,21,0,384000000000000000,22800000000000000,7.38,8.037,0,1
2007,4,4,0,578000000000000000,11100000000000000,11.18,11.889,0,0
2007,4,11,0,438000000000000000,4260000000000000,6.72,9.051,0,0
2007,4,12,0,370000000000000000,17100000000000000,6.44,6.947,0,0
2007,4,18,0,651000000000000000,8790000000000000,6.9,12.936,0,2
2007,5,9,0,520000000000000000,10400000000000000,5.3,9.724,0,1
2007,6,6,0,524000000000000000,7380000000000000,5.56,8.833,0,0
2007,7,31,0,616000000000000000,5080000000000000,4.1,10.242,0,1
2007,9,5,0,779000000000000000,6400000000000000,8.88,10.989,1,2
2007,10,24,0,524000000000000000,5730000000000000,7,8.439,0,0
2007,11,14,0,639000000000000000,2100000000000000,9.42,10.531,0,1
2007,11,21,0,545000000000000000,11000000000000000,5.18,9.324,1,0
