YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2004.00,2.00000,4.00000,0.00000,5.70786e+17,1.01446e+16,4.34000,8.66800,0.00000
2004.00,2.00000,25.0000,0.00000,4.44882e+17,1.54552e+16,8.80000,10.3840,0.00000
2004.00,3.00000,3.00000,0.00000,7.20670e+17,3.83833e+15,6.92000,13.2570,0.00000
2004.00,3.00000,5.00000,6.00000,5.30468e+17,7.57715e+15,9.06000,11.3510,0.00000
2004.00,3.00000,7.00000,0.00000,5.50687e+17,2.51638e+16,5.66000,10.8540,0.00000
2004.00,3.00000,10.0000,0.00000,5.28859e+17,3.07946e+16,4.30000,10.6090,0.00000
2004.00,3.00000,24.0000,0.00000,5.09860e+17,8.67333e+15,4.36000,9.25200,0.00000
2004.00,4.00000,14.0000,0.00000,7.17964e+17,-4.06918e+15,6.88000,13.0810,0.00000
2004.00,5.00000,19.0000,0.00000,6.34101e+17,1.56580e+16,6.24000,11.5210,0.00000
2004.00,6.00000,9.00000,0.00000,7.10567e+17,5.70764e+15,4.36000,9.45000,0.00000
2004.00,6.00000,30.0000,0.00000,6.21333e+17,9.28789e+15,4.00000,9.95300,0.00000
2004.00,8.00000,18.0000,0.00000,6.84151e+17,4.00153e+15,10.0600,11.1440,0.00000
2004.00,9.00000,15.0000,0.00000,6.10415e+17,7.53129e+15,4.24000,8.42100,0.00000
2004.00,10.0000,13.0000,0.00000,5.00647e+17,1.02843e+16,5.96000,7.57500,0.00000
2004.00,10.0000,20.0000,0.00000,6.65372e+17,6.10363e+15,5.86000,9.62200,1.00000
2004.00,11.0000,5.00000,0.00000,5.92979e+17,2.42057e+16,5.06000,10.3600,0.00000
2005.00,1.00000,19.0000,0.00000,4.23302e+17,1.18429e+16,8.82000,10.0670,0.00000
2005.00,3.00000,27.0000,0.00000,4.52788e+17,7.42711e+15,6.40000,9.25600,0.00000
2005.00,3.00000,28.0000,0.00000,4.57922e+17,7.62257e+15,7.16000,9.44000,0.00000
2005.00,4.00000,13.0000,0.00000,5.24724e+17,1.49471e+16,7.58000,12.2800,0.00000
2005.00,7.00000,14.0000,0.00000,5.56457e+17,7.71635e+15,7.18000,8.42600,0.00000
2005.00,8.00000,25.0000,0.00000,6.54525e+17,9.07168e+15,8.70000,10.6970,1.00000
2005.00,10.0000,12.0000,0.00000,5.89172e+17,1.24550e+16,7.22000,8.98200,1.00000
