YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2004.00,2.00000,4.00000,0.00000,5.70786e+17,1.01446e+16,4.34000,8.66800,0.00000
2004.00,2.00000,25.0000,0.00000,4.38676e+17,1.81230e+16,8.80000,10.2860,0.00000
2004.00,3.00000,5.00000,6.00000,4.95012e+17,1.03426e+16,9.06000,10.1410,0.00000
2004.00,3.00000,10.0000,0.00000,4.69479e+17,3.18249e+16,4.30000,9.28200,0.00000
2004.00,5.00000,19.0000,0.00000,6.24324e+17,1.60290e+16,6.24000,11.2970,0.00000
2004.00,6.00000,9.00000,0.00000,6.86559e+17,3.16118e+16,6.36000,9.11800,0.00000
2004.00,10.0000,20.0000,0.00000,6.65372e+17,6.10363e+15,5.86000,9.62200,1.00000
2005.00,1.00000,19.0000,0.00000,4.12664e+17,1.34199e+16,8.82000,9.89500,0.00000
2005.00,3.00000,28.0000,0.00000,4.46048e+17,7.91000e+15,7.16000,9.28100,0.00000
2005.00,8.00000,25.0000,0.00000,6.54525e+17,9.07168e+15,8.70000,10.6970,1.00000
2005.00,10.0000,12.0000,0.00000,5.74947e+17,1.74855e+16,7.22000,8.75900,1.00000
2005.00,12.0000,21.0000,0.00000,6.41304e+17,3.12343e+16,5.66000,9.70900,0.00000
2006.00,10.0000,12.0000,0.00000,6.23007e+17,1.40707e+16,4.56000,10.2220,1.00000
2006.00,11.0000,8.00000,0.00000,4.02045e+17,7.70996e+15,5.82000,8.28400,0.00000
2007.00,1.00000,17.0000,0.00000,6.88925e+17,3.02354e+16,5.54000,11.9280,1.00000
2007.00,3.00000,8.00000,0.00000,4.06920e+17,9.67012e+15,4.00000,8.24500,0.00000
2007.00,3.00000,14.0000,0.00000,4.54754e+17,2.68235e+16,4.52000,8.93600,0.00000
2007.00,3.00000,21.0000,0.00000,3.83801e+17,2.28314e+16,7.36000,8.03700,0.00000
2008.00,2.00000,13.0000,0.00000,3.38764e+17,1.60661e+16,5.00000,7.73900,0.00000
2008.00,2.00000,27.0000,0.00000,3.92183e+17,1.05955e+16,8.38000,9.17600,0.00000
2008.00,3.00000,21.0000,0.00000,2.89247e+17,1.86906e+16,4.84000,6.30000,0.00000
2008.00,6.00000,4.00000,0.00000,6.01773e+17,1.84589e+16,6.84000,8.67700,0.00000
2008.00,10.0000,22.0000,0.00000,6.46275e+17,7.06017e+15,8.96000,11.0750,1.00000
2009.00,1.00000,7.00000,0.00000,3.81083e+17,1.30371e+16,6.46000,8.91200,0.00000
2009.00,1.00000,14.0000,0.00000,3.90501e+17,1.55435e+16,5.12000,9.86400,0.00000
2009.00,1.00000,21.0000,0.00000,5.31267e+17,7.03020e+16,5.66000,7.98600,0.00000
2009.00,2.00000,18.0000,0.00000,5.49850e+17,1.39278e+16,6.40000,10.7830,0.00000
2009.00,2.00000,25.0000,0.00000,5.31819e+17,2.38315e+16,10.0200,10.5380,0.00000
2009.00,6.00000,24.0000,0.00000,5.95487e+17,8.18440e+15,8.78000,10.0520,0.00000
2009.00,8.00000,26.0000,0.00000,5.71663e+17,7.21843e+15,7.68000,8.83300,0.00000
2009.00,9.00000,9.00000,0.00000,7.84066e+17,1.06045e+16,9.68000,11.1230,0.00000
2009.00,12.0000,9.00000,0.00000,6.13896e+17,4.95146e+16,6.34000,7.66800,0.00000
2009.00,12.0000,23.0000,12.0000,3.93842e+17,1.91101e+16,4.90000,8.59900,0.00000
2010.00,1.00000,27.0000,0.00000,3.94801e+17,2.14841e+16,4.72000,9.07500,0.00000
2010.00,2.00000,10.0000,0.00000,4.54884e+17,9.00966e+15,9.36000,10.5720,0.00000
2010.00,2.00000,24.0000,0.00000,5.93182e+17,9.67286e+15,4.28000,10.3840,0.00000
2010.00,3.00000,31.0000,0.00000,3.96362e+17,1.02849e+16,4.00000,11.0390,0.00000
2011.00,1.00000,19.0000,0.00000,4.26352e+17,1.07739e+16,4.90000,10.5680,0.00000
2011.00,2.00000,3.00000,0.00000,3.86296e+17,2.95238e+16,6.78000,7.95900,0.00000
2011.00,2.00000,16.0000,0.00000,5.13870e+17,1.65638e+16,5.00000,11.5210,0.00000
2011.00,5.00000,11.0000,0.00000,7.04358e+17,2.51431e+16,5.52000,10.7860,0.00000
2011.00,9.00000,21.0000,0.00000,7.22779e+17,1.63938e+16,7.32000,9.33600,1.00000
2011.00,12.0000,7.00000,0.00000,5.50245e+17,1.31723e+16,6.64000,8.85800,0.00000
2012.00,3.00000,29.0000,0.00000,6.02806e+17,1.22915e+16,7.42000,10.1780,0.00000
2012.00,8.00000,9.00000,0.00000,5.28410e+17,1.08949e+16,9.26000,10.1650,0.00000
2012.00,9.00000,26.0000,0.00000,6.16906e+17,1.29230e+16,8.16000,8.99500,1.00000
2012.00,12.0000,19.0000,0.00000,5.04428e+17,9.19377e+15,5.68000,9.31000,0.00000
