YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2004.00,2.00000,4.00000,0.00000,5.70786e+17,1.01446e+16,4.32000,8.66800,1.00000
2004.00,2.00000,25.0000,0.00000,4.44882e+17,1.54552e+16,8.80000,10.3840,0.00000
2004.00,3.00000,5.00000,6.00000,5.30468e+17,7.57715e+15,9.06000,11.3510,0.00000
2004.00,3.00000,10.0000,0.00000,5.28859e+17,3.07946e+16,4.30000,10.6090,0.00000
2004.00,5.00000,19.0000,0.00000,6.34101e+17,1.56580e+16,6.24000,11.5210,0.00000
2004.00,6.00000,9.00000,0.00000,7.10567e+17,2.91867e+16,6.98000,9.45000,0.00000
2005.00,1.00000,19.0000,0.00000,4.23302e+17,1.18429e+16,8.82000,10.0670,0.00000
2005.00,3.00000,28.0000,0.00000,4.57922e+17,7.62257e+15,7.16000,9.44000,0.00000
2005.00,7.00000,14.0000,0.00000,5.56457e+17,7.71635e+15,7.18000,8.42600,0.00000
2005.00,8.00000,25.0000,0.00000,6.54525e+17,9.07168e+15,8.70000,10.6970,1.00000
2005.00,10.0000,12.0000,0.00000,5.89172e+17,1.24550e+16,7.22000,8.98200,1.00000
2005.00,10.0000,19.0000,0.00000,7.98328e+17,2.36059e+16,8.38000,9.58900,0.00000
2005.00,12.0000,21.0000,0.00000,6.41304e+17,3.12343e+16,5.66000,9.70900,0.00000
2006.00,11.0000,8.00000,0.00000,4.02045e+17,7.70996e+15,5.82000,8.28400,0.00000
2007.00,1.00000,17.0000,0.00000,7.63422e+17,3.71223e+16,8.46000,14.1180,1.00000
2007.00,3.00000,14.0000,0.00000,4.59189e+17,2.74341e+16,4.52000,8.98100,0.00000
2007.00,3.00000,21.0000,0.00000,3.83801e+17,2.28314e+16,7.36000,8.03700,0.00000
2007.00,4.00000,4.00000,0.00000,5.77704e+17,1.10986e+16,11.2200,11.8890,0.00000
2007.00,4.00000,12.0000,0.00000,3.70398e+17,1.71340e+16,6.44000,6.94700,0.00000
2008.00,2.00000,13.0000,0.00000,3.51818e+17,1.54538e+16,5.00000,7.92700,0.00000
2008.00,2.00000,27.0000,0.00000,3.96795e+17,1.05955e+16,8.38000,9.22000,0.00000
2008.00,5.00000,7.00000,0.00000,7.35249e+17,4.87611e+15,8.80000,11.4470,0.00000
2008.00,6.00000,4.00000,0.00000,6.45002e+17,1.71809e+16,6.84000,9.37400,0.00000
2009.00,1.00000,7.00000,0.00000,3.85105e+17,1.34215e+16,6.46000,8.96800,0.00000
2009.00,1.00000,14.0000,0.00000,3.96496e+17,1.61134e+16,5.12000,9.97300,0.00000
2009.00,1.00000,21.0000,0.00000,5.31267e+17,7.03020e+16,5.66000,7.98600,0.00000
2009.00,2.00000,4.00000,0.00000,3.89443e+17,2.84634e+16,9.18000,10.0460,0.00000
2009.00,2.00000,18.0000,0.00000,5.49850e+17,1.39278e+16,6.40000,10.7830,0.00000
2009.00,2.00000,25.0000,0.00000,5.35723e+17,2.45062e+16,10.0800,10.5810,0.00000
2009.00,3.00000,26.0000,0.00000,7.87404e+17,1.43272e+16,7.66000,12.7400,0.00000
2009.00,8.00000,26.0000,0.00000,5.98356e+17,6.54428e+15,7.68000,9.32900,0.00000
2009.00,9.00000,9.00000,0.00000,7.84066e+17,1.06045e+16,9.68000,11.1230,0.00000
2009.00,12.0000,9.00000,0.00000,6.28205e+17,4.95146e+16,6.34000,7.82300,0.00000
2009.00,12.0000,23.0000,12.0000,3.93842e+17,1.91101e+16,4.90000,8.59900,0.00000
2010.00,1.00000,14.0000,0.00000,6.48919e+17,2.17071e+16,7.46000,12.9280,0.00000
2010.00,1.00000,27.0000,0.00000,4.14218e+17,2.41332e+16,4.72000,9.47700,0.00000
2010.00,2.00000,10.0000,0.00000,4.85220e+17,7.95491e+15,9.36000,11.4950,0.00000
2010.00,2.00000,24.0000,0.00000,5.93182e+17,9.67286e+15,4.28000,10.3840,0.00000
2010.00,3.00000,10.0000,0.00000,5.42481e+17,3.34322e+16,7.48000,7.99100,0.00000
2010.00,3.00000,31.0000,0.00000,4.99983e+17,1.82162e+16,12.2800,13.0770,0.00000
2011.00,1.00000,19.0000,0.00000,4.31147e+17,1.52010e+16,4.90000,10.6520,0.00000
2011.00,2.00000,3.00000,0.00000,4.06509e+17,2.67862e+16,6.78000,8.16200,0.00000
2011.00,2.00000,16.0000,0.00000,5.21226e+17,1.67399e+16,5.00000,11.6930,0.00000
2011.00,5.00000,11.0000,0.00000,7.29657e+17,2.51431e+16,5.52000,11.3450,0.00000
2011.00,9.00000,21.0000,0.00000,7.22779e+17,1.63938e+16,7.32000,9.33600,1.00000
2011.00,10.0000,5.00000,0.00000,9.88674e+17,-4.26980e+15,6.82000,12.7650,0.00000
2011.00,11.0000,30.0000,0.00000,2.46856e+17,2.59340e+16,10.7600,11.6110,0.00000
2012.00,3.00000,29.0000,0.00000,6.02806e+17,1.22915e+16,7.42000,10.1780,0.00000
2012.00,8.00000,9.00000,0.00000,5.46839e+17,9.43394e+15,9.26000,10.5230,0.00000
2012.00,9.00000,26.0000,0.00000,6.61846e+17,1.60619e+16,8.16000,9.75400,1.00000
2012.00,12.0000,19.0000,0.00000,5.17131e+17,8.98100e+15,5.68000,9.51400,0.00000
