YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire,type
2004,1,8,0,4.47E+17,2.64E+16,6.18,8.022,1,0
2004,2,2,0,5.13E+17,2.65E+16,7.28,10.422,0,1
2004,2,26,0,7.42E+17,1.43E+16,6.48,11.869,0,2
2004,5,13,0,5.68E+17,8.43E+15,8.96,10.407,0,2
2004,7,9,0,6.78E+17,8.21E+15,9.26,10.913,0,2
2004,8,11,0,7.95E+17,1.15E+16,10.6,11.247,1,0
2004,8,18,0,6.69E+17,6.38E+15,7.26,10.464,0,1
2004,9,10,0,9.72E+17,1.87E+16,11.18,13.479,0,1
2004,9,24,0,9.58E+17,2.63E+16,4.42,11.46,0,0
2004,9,30,0,7.99E+17,1.29E+16,8.5,11.235,0,0
2004,11,25,0,8.66E+17,5.38E+15,7.92,11.474,0,2
2004,12,17,0,9.29E+17,6.14E+15,9.02,12.922,0,0
2005,1,13,0,8.61E+17,1.57E+16,6.96,14.116,0,
2005,2,3,6,3.75E+17,3.13E+16,5.12,5.809,0,2
2005,4,14,6,6.45E+17,1.56E+16,8.74,11.849,0,1
2005,9,22,0,6.69E+17,3.01E+16,4,8.839,0,1
2005,10,26,0,9.94E+17,3.31E+16,8.8,11.642,1,1
2005,11,3,0,9.01E+17,8.79E+15,7.1,11.984,1,2
2005,11,8,0,9.60E+17,1.53E+16,9.08,10.464,1,2
2005,11,17,0,8.58E+17,1.93E+16,10.48,11.276,1,0
2005,11,25,0,8.45E+17,7.37E+15,7.32,11.26,0,0
2006,1,5,0,8.91E+17,1.01E+16,9.68,15.709,0,0
2006,2,3,0,6.50E+17,1.60E+16,8.3,15.858,0,0
2006,2,17,0,7.75E+17,2.37E+16,7.12,11.504,0,1
2006,2,22,0,6.60E+17,1.47E+16,10.7,13.702,0,2
2006,3,17,0,5.88E+17,2.93E+15,9.06,10.839,0,2
2006,3,23,0,9.63E+17,7.99E+15,6.04,15.616,0,2
2006,6,14,0,6.39E+17,1.05E+16,10.04,11.336,0,0
2006,7,20,0,6.48E+17,1.49E+16,7.38,11.321,0,1
2006,8,9,0,5.84E+17,1.22E+16,6.82,7.683,0,1
2006,8,30,0,9.59E+17,1.08E+16,8.06,10.99,0,1
2006,9,7,0,7.31E+17,8.13E+15,9.64,10.442,0,2
2006,9,13,0,8.49E+17,1.70E+16,5.2,12.353,0,2
2006,9,27,0,6.24E+17,1.13E+16,4.38,9.671,0,1
2006,10,12,0,1.35E+18,1.26E+16,11.98,14.913,0,0
2006,10,16,6,8.77E+17,1.13E+16,7.9,11.23,1,0
2007,1,4,0,8.96E+17,1.17E+16,7.42,12.961,0,2
2007,1,12,0,5.55E+17,2.57E+16,8.72,11.298,0,0
2007,3,1,0,6.62E+17,1.08E+16,7.38,11.165,0,2
2007,3,15,0,8.33E+17,3.15E+16,8.84,16.502,0,
2007,3,28,6,6.79E+17,1.75E+16,13.12,15.172,0,2
2007,4,4,0,9.15E+17,7.14E+15,12.52,14.168,0,1
2007,4,13,0,8.15E+17,2.34E+16,6.66,12.548,0,2
2007,4,20,0,7.42E+17,5.21E+15,10.92,12.133,0,0
2007,6,1,0,6.78E+17,3.52E+15,10.18,11.394,0,2
2007,8,20,6,7.67E+17,2.36E+16,6.86,11.518,0,2
2007,10,17,0,1.04E+18,1.77E+16,10.3,11.831,1,0
2007,10,31,0,7.40E+17,2.95E+16,9.56,10.778,1,0
2008,1,18,0,8.53E+17,2.14E+16,11.68,15.258,0,2
2008,2,21,0,7.36E+17,1.53E+16,6.44,15.336,0,1
2008,7,9,0,7.53E+17,1.36E+16,6.1,11.667,0,2
2008,7,23,0,6.24E+17,7.55E+15,6.02,10.265,0,1
2008,8,15,6,6.28E+17,1.22E+16,6.56,11.041,0,0
2008,9,24,0,7.46E+17,3.22E+16,4.94,11.24,0,1
2008,10,30,0,8.66E+17,1.56E+16,7,10.864,0,0
2008,11,26,0,7.44E+17,2.33E+16,8.42,9.493,0,0
2008,12,3,0,5.43E+17,1.11E+16,8.2,9.965,0,0
2008,12,12,0,8.18E+17,1.23E+16,12.1,14.253,0,1
2009,1,7,0,8.30E+17,1.09E+16,13.24,14.038,0,0
2009,1,13,0,1.11E+18,1.52E+16,12.88,13.755,0,1
2009,1,14,0,1.01E+18,2.39E+16,13.18,14.998,0,1
2009,1,21,0,6.92E+17,1.42E+16,11.44,12.061,0,0
2009,1,30,0,1.12E+18,1.88E+16,7.26,15.604,0,
2009,2,25,0,6.34E+17,9.12E+15,6.34,11.175,0,2
2009,7,21,6,8.61E+17,2.60E+16,11.7,13.578,0,1
2009,9,2,6,7.39E+17,2.79E+16,4.4,9.746,0,0
2009,9,16,0,9.00E+17,2.08E+16,9.26,11.844,1,0
2009,9,23,6,5.87E+17,1.41E+16,6.9,8.633,0,2
2009,10,23,0,7.07E+17,7.27E+15,7.82,9.031,0,
2009,12,11,0,6.33E+17,1.16E+16,5.28,10.558,0,1
2010,1,6,0,7.53E+17,9.44E+15,12.08,12.814,0,
2010,1,13,0,6.98E+17,2.16E+16,11.42,13.757,0,2
2010,1,20,0,6.32E+17,6.01E+15,9.7,15.546,0,1
2010,1,28,0,6.03E+17,7.25E+15,9.28,11.021,0,
2010,2,10,0,1.00E+18,5.65E+15,4.84,13.907,0,
2010,3,4,6,8.42E+17,2.23E+16,11.84,15.098,0,2
2010,3,5,0,7.48E+17,1.47E+16,10.22,15.492,0,1
2010,3,10,0,6.31E+17,1.42E+16,9.04,10.872,0,1
2010,6,2,0,6.58E+17,1.06E+16,8.5,12.263,0,
2010,7,7,0,6.55E+17,1.05E+16,8.16,10.3,0,
2010,7,28,0,7.21E+17,9.02E+15,10.68,11.233,0,1
2010,10,14,0,7.65E+17,1.51E+16,4.84,11.403,0,1
2010,10,27,0,7.87E+17,2.87E+16,9.82,10.996,1,1
2010,11,17,0,7.60E+17,9.75E+15,6.88,11.57,0,
2010,12,1,0,6.65E+17,1.24E+16,7.56,10.763,0,2
2011,1,10,0,6.98E+17,3.07E+16,13.24,14.713,0,
2011,1,25,0,7.03E+17,7.09E+15,10.92,16.096,0,
2011,2,15,6,1.14E+18,9.00E+15,4.54,11.101,0,
2011,2,17,6,9.62E+17,2.09E+16,9.14,13.939,0,1
2011,2,23,0,7.12E+17,2.03E+16,8.48,14.936,0,2
2011,3,2,0,7.42E+17,2.47E+16,12.68,14.255,0,
2011,3,9,0,7.31E+17,3.64E+16,9.1,15.128,0,
2011,3,23,0,8.07E+17,4.77E+16,10.48,11.682,0,2
2011,4,20,0,6.62E+17,3.09E+16,10.04,11.726,0,
2011,5,11,0,6.03E+17,4.63E+16,8.22,9.098,0,1
2011,7,13,6,6.79E+17,1.88E+16,6.46,10.689,0,1
2011,9,15,6,9.58E+17,1.98E+16,4.9,11.449,0,
2011,10,20,0,1.08E+18,6.76E+15,5.96,12.11,0,2
2011,10,25,0,7.22E+17,1.68E+16,8.16,10.791,1,1
2011,11,2,0,7.06E+17,1.65E+16,5.3,11.344,0,
2011,12,7,0,7.65E+17,1.07E+16,8.78,11.635,0,
2011,12,14,0,6.45E+17,8.08E+15,6.64,10.345,0,1
2012,1,13,0,6.31E+17,3.61E+16,11.64,12.151,0,2
2012,2,8,0,5.40E+17,9.83E+15,4.86,10.672,0,1
2012,2,15,0,6.61E+17,6.81E+15,8.56,12.165,0,
2012,3,28,0,1.01E+18,1.03E+16,10.14,14.193,0,
2012,4,19,0,7.27E+17,3.66E+16,12.28,13.326,0,1
2012,4,27,0,6.47E+17,6.99E+15,6.82,11.143,0,
2012,10,3,0,1.08E+18,2.42E+16,11.2,14.687,1,1
2012,10,23,0,9.21E+17,9.15E+15,5.46,12.364,0,2
2012,11,21,0,6.33E+17,1.76E+16,6.06,10.417,0,1
2012,12,13,0,1.06E+18,1.84E+16,13.4,13.957,0,
2013,1,4,0,1.03E+18,1.01E+16,9.64,15.659,0,
2013,1,11,0,8.81E+17,2.46E+16,10.32,11.536,0,0
2013,1,16,0,8.16E+17,1.13E+16,11.82,15.21,0,
2013,1,23,0,5.86E+17,2.55E+16,4.14,11.571,0,
2013,2,1,0,4.47E+17,5.14E+16,4,8.423,0,1
2013,2,6,0,9.57E+17,2.05E+16,12.5,14.928,0,1
2013,2,20,0,7.47E+17,8.17E+15,10.62,11.961,0,
2013,3,15,0,8.92E+17,5.83E+15,6.26,12.235,0,
