
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-11,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6a17050

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,18.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-05-18,23:38:24

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
50.6,2,133.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.015,24.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
980.1,2.17,-27.8,3.8,79,,1,23,40,21.4
974.9,2.41,-26.4,4.9,52,,10,61,38,21.4
969.0,2.56,-26.8,5.6,42,,20,105,41,21.3
963.2,2.64,-27.1,6.5,38,,30,148,43,21.1
957.4,2.70,-27.3,7.5,35,,40,192,43,20.9
952.0,2.74,-27.6,8.1,35,,50,232,44,20.7
946.5,2.77,-28.0,8.5,35,,60,273,45,20.5
940.9,2.79,-28.4,8.9,34,,70,316,45,20.4
935.3,2.80,-28.8,9.6,35,,80,359,46,20.2
929.8,2.80,-29.0,10.4,37,,90,401,45,20.0
924.4,2.78,-29.3,11.1,39,,100,443,44,19.9
919.1,2.77,-29.4,11.6,39,,110,483,42,19.8
914.5,2.74,-29.6,12.1,37,,119,519,40,19.6
908.9,2.73,-30.0,12.6,36,,129,563,39,19.4
903.5,2.73,-30.4,13.3,36,,139,606,40,19.3
897.9,2.71,-30.8,13.9,38,,149,649,41,19.1
892.3,2.72,-30.3,14.4,41,,159,693,37,19.0
886.8,2.70,-30.8,14.6,42,,169,738,37,18.9
881.3,2.69,-30.9,14.0,42,,179,783,37,18.7
875.7,2.66,-30.4,12.5,41,,189,827,35,18.6
870.4,2.65,-30.1,11.0,40,,199,870,31,18.5
865.3,2.64,-30.3,9.5,38,,209,912,30,18.4
859.8,2.61,-30.5,8.3,37,,219,957,30,18.3
854.3,2.60,-30.8,7.3,38,,229,1003,30,18.2
848.5,2.58,-31.2,6.6,39,,239,1051,31,18.1
842.9,2.57,-31.5,6.3,42,,249,1098,31,18.0
837.5,2.55,-31.9,6.3,47,,259,1144,32,17.9
832.2,2.53,-32.3,6.2,53,,269,1188,33,17.7
826.5,2.51,-32.5,5.8,57,,279,1236,33,17.6
820.9,2.51,-32.0,4.8,61,,289,1285,33,17.5
815.5,2.50,-29.1,3.6,63,,299,1332,33,17.4
810.5,2.47,-28.8,2.2,69,,309,1376,31,17.3
805.5,2.46,-28.6,0.9,87,,318,1420,29,17.2
799.0,2.42,-26.8,0.7,224,,330,1478,64,17.1
794.6,2.41,-26.4,0.9,250,,339,1518,62,17.1
789.2,2.40,-26.2,1.0,267,,349,1567,61,17.0
783.5,2.38,-26.4,1.2,265,,359,1619,59,16.9
778.2,2.37,-26.3,1.4,252,,369,1669,59,16.8
773.2,2.36,-26.5,1.6,249,,379,1716,59,16.7
768.0,2.38,-25.9,1.8,259,,389,1764,47,16.6
762.7,2.34,-25.6,2.0,263,,399,1814,34,16.5
757.8,2.31,-25.4,2.4,259,,409,1861,31,16.5
753.7,2.30,-25.8,2.7,262,,418,1901,34,16.4
749.1,2.29,-25.4,3.0,272,,427,1945,31,16.4
743.8,2.30,-24.9,3.7,279,,437,1996,15,16.4
739.1,2.32,-25.3,4.4,277,,447,2042,13,16.3
733.8,2.29,-25.4,5.0,271,,457,2094,12,16.2
729.0,2.28,-25.3,5.2,267,,467,2143,14,16.1
724.3,2.31,-25.6,5.2,268,,477,2189,16,16.0
719.3,2.33,-25.9,5.3,274,,487,2239,16,15.9
714.1,2.34,-26.3,5.5,277,,497,2292,17,15.9
708.8,2.32,-26.4,5.5,275,,507,2346,18,15.8
704.0,2.31,-26.6,5.1,272,,517,2394,18,15.7
699.0,2.27,-27.0,4.8,273,,527,2446,18,15.7
693.8,2.22,-27.0,4.9,281,,537,2500,18,15.6
689.2,2.20,-27.1,5.1,287,,547,2547,19,15.6
684.7,2.22,-27.4,5.0,287,,557,2596,22,15.5
679.8,2.26,-27.6,5.1,280,,567,2646,24,15.4
675.2,2.30,-28.0,5.8,271,,577,2695,23,15.3
670.5,2.27,-27.8,6.4,266,,587,2745,19,15.3
665.8,2.21,-27.8,6.1,261,,597,2795,14,15.2
661.1,2.15,-28.2,5.6,254,,607,2846,13,15.1
656.4,2.10,-28.5,5.9,252,,617,2898,13,15.1
651.9,2.07,-28.6,6.6,254,,627,2946,13,15.0
647.2,2.05,-28.9,6.9,255,,637,2999,12,14.9
642.7,2.05,-29.2,6.6,254,,647,3048,12,14.8
638.4,2.06,-29.3,6.5,257,,657,3097,11,14.8
634.2,2.06,-29.5,6.8,264,,667,3145,11,14.7
629.8,2.06,-29.9,7.4,269,,677,3192,11,14.7
625.3,2.06,-30.2,7.6,265,,687,3244,10,14.6
620.5,2.03,-30.3,7.6,258,,697,3300,9,14.5
616.5,2.02,-30.5,7.9,255,,707,3345,9,14.5
612.5,2.01,-30.8,8.2,259,,716,3391,9,14.4
607.7,2.00,-31.0,8.4,267,,726,3447,8,14.4
603.2,2.00,-31.0,8.4,270,,736,3499,8,14.3
599.0,1.99,-31.3,8.3,267,,746,3549,8,14.2
594.8,1.97,-31.8,8.5,265,,756,3599,8,14.1
590.6,1.96,-32.0,8.8,265,,766,3649,8,14.1
586.9,1.96,-32.2,9.1,266,,775,3694,7,14.0
582.3,1.95,-32.3,8.9,265,,785,3749,6,14.0
578.0,1.94,-32.5,8.6,260,,795,3801,6,13.9
573.7,1.91,-32.9,8.7,256,,805,3854,6,13.9
569.8,1.90,-33.3,9.1,255,,815,3902,6,13.8
566.1,1.88,-33.6,9.6,256,,825,3948,6,13.8
562.3,1.87,-33.9,10.1,256,,835,3995,5,13.7
558.8,1.86,-34.0,10.8,258,,844,4038,5,13.6
554.4,1.89,-34.3,11.6,259,,854,4093,5,13.6
550.4,2.00,-34.5,12.5,262,,864,4144,6,13.6
546.4,2.09,-34.4,12.9,266,,874,4195,6,13.5
541.7,2.12,-34.8,12.7,268,,884,4255,6,13.4
537.6,2.12,-35.0,12.5,267,,894,4308,5,13.4
533.7,2.10,-35.4,13.1,264,,904,4359,5,13.3
529.4,2.01,-35.6,13.7,261,,914,4415,5,13.3
525.5,1.90,-36.0,13.6,259,,924,4467,5,13.2
521.8,1.86,-36.3,13.3,258,,934,4515,6,13.1
517.6,1.82,-36.3,13.8,260,,944,4571,6,13.1
513.4,1.79,-36.5,14.6,261,,954,4629,6,13.1
509.0,1.76,-37.0,15.0,261,,964,4688,6,13.1
505.1,1.76,-37.3,14.9,260,,974,4741,6,13.1
501.4,1.75,-37.8,14.2,259,,984,4791,6,13.0
497.5,1.75,-38.0,13.8,256,,994,4845,6,12.9
493.9,1.74,-38.4,13.7,254,,1003,4896,6,12.9
490.3,1.75,-38.6,13.6,254,,1013,4946,6,12.8
487.4,1.75,-38.5,13.2,256,,1022,4986,5,12.8
484.2,1.76,-38.8,12.9,257,,1031,5031,5,12.8
480.5,1.78,-39.0,13.1,259,,1041,5084,5,12.8
476.6,1.78,-39.3,13.6,263,,1051,5139,4,12.7
473.1,1.77,-39.6,14.3,265,,1061,5190,4,12.7
469.7,1.74,-39.8,14.6,266,,1071,5239,5,12.7
466.4,1.72,-40.1,14.9,267,,1081,5288,6,12.6
463.3,1.68,-40.4,15.4,268,,1091,5333,8,12.5
459.4,1.65,-40.9,15.6,268,,1101,5391,10,12.5
456.4,1.60,-41.0,15.5,267,,1110,5435,11,12.4
452.3,1.58,-41.3,15.2,267,,1120,5497,11,12.4
447.6,1.54,-41.8,15.2,269,,1130,5567,10,12.4
443.5,1.52,-42.0,16.0,273,,1140,5630,10,12.3
440.3,1.50,-42.3,17.4,276,,1150,5679,8,12.2
436.6,1.47,-42.6,18.4,278,,1160,5736,7,12.1
432.5,1.45,-43.3,18.6,279,,1170,5800,7,12.1
429.1,1.45,-43.6,18.3,279,,1180,5852,7,12.0
425.4,1.43,-44.1,17.9,277,,1190,5911,7,11.9
421.9,1.41,-44.3,18.0,275,,1200,5965,6,11.9
418.3,1.43,-44.5,18.7,274,,1210,6023,6,11.8
414.7,1.57,-44.6,19.6,274,,1220,6081,6,11.8
410.7,1.83,-44.8,20.0,275,,1230,6146,5,11.7
407.0,1.99,-45.4,20.0,276,,1240,6206,5,11.7
402.9,2.00,-45.8,20.2,275,,1250,6274,5,11.6
399.1,1.92,-46.3,20.6,273,,1260,6337,7,11.6
395.5,1.80,-46.8,20.8,273,,1270,6398,15,11.5
391.8,1.69,-46.9,20.9,275,,1280,6458,30,11.5
388.2,1.58,-47.5,21.2,277,,1290,6520,50,11.4
385.3,1.48,-48.0,21.6,278,,1300,6569,62,11.3
382.1,1.41,-48.4,21.7,278,,1310,6624,70,11.2
379.4,1.37,-48.8,21.0,277,,1319,6670,72,11.1
376.5,1.34,-49.3,20.2,275,,1328,6721,74,11.1
373.0,1.32,-49.5,19.7,272,,1338,6782,73,11.0
370.1,1.31,-49.8,19.6,269,,1348,6833,69,10.9
366.9,1.29,-50.0,19.5,268,,1358,6890,64,10.9
363.5,1.27,-50.6,19.7,269,,1368,6952,64,10.8
360.7,1.25,-51.0,20.1,271,,1378,7002,67,10.7
357.5,1.23,-51.4,20.2,274,,1388,7059,70,10.6
354.2,1.20,-51.8,19.8,277,,1398,7119,70,10.6
351.3,1.19,-52.3,19.6,278,,1408,7174,70,10.5
348.0,1.19,-52.6,19.9,277,,1418,7233,68,10.4
345.2,1.19,-53.1,20.1,275,,1428,7286,66,10.3
342.4,1.18,-53.6,19.9,274,,1438,7338,64,10.3
339.4,1.18,-54.1,20.1,273,,1448,7394,63,10.2
336.5,1.17,-54.6,20.4,274,,1458,7450,64,10.1
333.4,1.15,-55.1,20.2,275,,1468,7508,64,10.1
330.1,1.15,-55.8,19.7,276,,1478,7572,64,10.0
327.3,1.14,-56.3,19.5,275,,1488,7626,63,9.9
324.0,1.13,-56.8,19.4,274,,1498,7690,62,9.9
320.9,1.13,-57.3,19.2,274,,1508,7751,62,9.8
318.2,1.12,-57.8,19.2,274,,1518,7805,61,9.7
314.7,1.11,-58.3,19.2,275,,1528,7875,60,9.7
312.0,1.10,-58.8,19.2,277,,1538,7928,60,9.6
