
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-10,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A19285

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,18.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-09-11,12:20:02

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
90.5,2,130.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.049,25.4,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
986.3,2.42,-17.1,5.1,103,,0,18,57,33.5
980.0,2.57,-14.1,2.9,62,,10,66,44,33.5
973.3,2.60,-12.8,2.3,64,,20,118,35,33.6
968.0,2.67,-13.1,1.8,64,,29,160,36,33.6
961.8,2.70,-13.6,1.5,53,,39,208,38,33.6
955.9,2.72,-13.9,1.4,23,,49,256,41,33.6
950.0,2.73,-14.0,2.0,3,,59,302,41,33.6
944.1,2.73,-14.1,2.7,356,,69,350,37,33.7
938.2,2.78,-14.1,2.9,351,,78,397,38,33.7
931.6,2.75,-14.5,2.5,351,,88,451,39,33.7
925.0,2.71,-14.8,2.0,2,,98,505,40,33.7
919.0,2.70,-14.9,2.2,10,,108,554,39,33.8
913.0,2.69,-15.0,2.8,11,,118,604,35,33.8
906.4,2.68,-14.9,3.5,15,,128,659,27,33.8
900.2,2.67,-14.9,3.6,17,,138,710,25,33.8
893.5,2.66,-14.9,3.1,14,,148,767,24,33.8
887.3,2.66,-15.3,2.4,14,,158,819,25,33.8
881.1,2.65,-14.9,1.3,52,,168,873,24,33.8
874.6,2.63,-14.0,1.6,126,,177,928,18,33.8
868.2,2.64,-13.8,2.7,161,,187,984,21,33.8
862.0,2.62,-14.1,3.1,174,,197,1038,22,33.8
855.6,2.57,-14.6,3.0,173,,207,1095,23,33.8
849.4,2.56,-15.0,3.0,164,,217,1150,24,33.8
843.9,2.54,-15.5,3.1,165,,227,1199,25,33.8
838.5,2.56,-15.9,3.1,179,,237,1247,25,33.8
832.5,2.54,-16.4,3.1,192,,247,1301,25,33.8
826.5,2.52,-16.7,3.0,196,,257,1356,23,33.8
821.0,2.51,-17.1,3.0,203,,267,1406,23,33.8
816.0,2.50,-17.4,3.3,211,,277,1452,23,33.8
811.0,2.49,-17.8,3.6,208,,287,1498,24,33.8
805.1,2.49,-18.3,3.5,201,,297,1553,25,33.8
799.2,2.47,-18.4,3.0,199,,307,1607,20,33.8
793.7,2.46,-18.6,2.0,199,,317,1658,17,33.8
788.8,2.44,-18.9,1.2,198,,327,1704,17,33.8
784.0,2.41,-19.3,1.5,206,,337,1751,17,33.8
778.6,2.38,-19.4,2.7,211,,347,1801,16,33.7
772.9,2.35,-19.8,3.9,215,,357,1856,16,33.7
768.1,2.32,-20.1,4.3,222,,367,1902,15,33.7
762.7,2.27,-20.3,4.2,227,,377,1954,14,33.7
757.3,2.25,-20.4,4.4,226,,387,2007,14,33.7
752.1,2.23,-20.5,5.1,223,,396,2058,13,33.7
747.2,2.22,-20.4,5.9,220,,406,2107,12,33.7
741.2,2.20,-20.8,6.5,217,,416,2166,12,33.7
736.5,2.19,-20.9,7.4,216,,426,2213,11,33.7
731.5,2.21,-21.0,8.8,215,,436,2263,10,33.7
726.1,2.23,-21.1,9.9,216,,446,2318,8,33.7
721.2,2.22,-20.9,10.3,222,,456,2367,8,33.6
717.0,2.15,-21.0,10.7,229,,466,2411,10,33.6
712.0,2.11,-21.4,10.9,232,,476,2463,11,33.6
706.2,2.08,-21.9,10.8,231,,486,2523,12,33.6
701.4,2.06,-22.3,10.5,230,,496,2573,13,33.6
696.3,2.04,-22.8,10.1,230,,506,2626,15,33.5
690.9,2.03,-23.3,10.1,228,,516,2684,15,33.5
685.5,2.03,-23.8,10.6,223,,526,2740,16,33.5
680.8,2.02,-24.1,11.5,221,,536,2791,17,33.4
