
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-04-30,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A20479

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,18.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-07-23,23:15:46

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
258.7,2,279.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.017,26.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
969.5,3.33,-23.3,6.7,100,,0,18,44,34.8
964.1,3.30,-20.4,6.3,94,,10,59,33,34.8
959.0,3.22,-18.8,7.7,84,,20,99,28,34.8
953.1,3.21,-17.9,7.6,77,,30,145,23,34.7
947.1,3.16,-17.8,6.6,78,,40,192,19,34.7
941.5,3.21,-17.6,5.7,86,,50,236,19,34.6
936.2,3.22,-17.3,5.3,93,,60,278,17,34.6
930.2,3.20,-17.3,5.0,100,,70,326,15,34.5
924.1,3.17,-17.0,4.9,107,,80,376,14,34.4
918.7,3.15,-17.4,4.9,107,,90,420,14,34.4
912.9,3.11,-17.8,4.7,100,,100,467,12,34.3
906.8,3.11,-17.9,4.0,95,,110,517,12,34.3
900.6,3.12,-18.1,3.1,92,,120,569,12,34.2
894.8,3.07,-18.4,2.5,83,,130,616,12,34.2
889.3,3.09,-18.8,2.4,74,,140,662,12,34.1
883.6,3.06,-19.1,2.5,78,,150,710,12,34.0
878.0,3.04,-19.5,2.4,89,,160,757,13,33.9
872.5,3.07,-19.9,2.3,97,,170,804,13,33.8
866.9,3.05,-20.3,2.7,99,,180,852,14,33.8
861.4,3.03,-20.6,3.1,98,,190,899,13,33.7
855.7,2.99,-20.5,3.3,91,,199,948,12,33.7
849.7,2.98,-20.1,3.0,86,,209,1000,11,33.5
844.1,2.96,-19.4,2.7,94,,219,1049,8,33.5
838.9,2.96,-19.6,3.0,102,,229,1095,8,33.5
833.5,2.93,-20.0,3.1,107,,239,1143,8,33.4
827.6,2.91,-20.2,2.9,121,,249,1195,8,33.3
821.8,2.90,-19.8,2.9,142,,259,1247,7,33.3
817.3,2.90,-19.9,2.7,154,,268,1289,7,33.2
811.8,2.88,-20.4,2.3,158,,278,1338,7,33.1
806.8,2.86,-20.8,1.9,148,,288,1384,7,33.1
801.8,2.85,-20.8,1.5,122,,298,1430,7,33.0
796.0,2.83,-20.6,1.4,84,,308,1483,7,33.0
791.0,2.84,-20.8,2.3,62,,318,1530,6,32.9
785.3,2.80,-20.8,3.9,66,,328,1584,6,32.9
780.3,2.81,-20.8,5.4,75,,338,1631,5,32.8
775.1,2.79,-20.3,5.8,82,,348,1680,4,32.7
769.4,2.81,-18.9,4.7,84,,358,1735,3,32.7
763.9,2.75,-17.4,3.0,80,,368,1789,3,32.6
758.3,2.73,-17.5,1.6,72,,378,1843,3,32.5
753.4,2.69,-17.6,0.6,50,,387,1892,3,32.5
748.1,2.67,-18.1,0.3,162,,397,1944,3,32.4
742.7,2.65,-18.6,0.7,292,,407,1999,4,32.4
737.3,2.63,-19.1,0.9,244,,417,2052,4,32.4
732.6,2.60,-19.4,1.7,209,,427,2100,4,32.3
727.3,2.59,-19.8,2.8,200,,437,2153,4,32.2
722.2,2.58,-19.6,3.2,194,,447,2206,4,32.2
717.0,2.55,-19.4,2.8,190,,457,2260,3,32.1
712.0,2.54,-19.3,2.0,194,,467,2313,2,32.0
706.7,2.53,-19.3,1.7,211,,477,2368,2,31.9
701.5,2.53,-19.7,2.0,210,,487,2423,2,31.9
696.2,2.52,-20.0,2.5,187,,497,2479,2,31.9
691.6,2.49,-20.4,3.5,168,,507,2528,2,31.8
686.7,2.46,-20.8,4.7,164,,517,2580,2,31.8
681.7,2.45,-20.9,5.2,167,,527,2634,2,31.7
677.2,2.47,-21.2,5.1,171,,537,2683,3,31.7
672.8,2.45,-21.5,5.3,172,,547,2732,3,31.6
668.3,2.43,-21.8,5.8,172,,557,2781,3,31.5
