
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-12-20,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A25999

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,18.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-11-05,23:15:37

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
299.7,2,351.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.017,27.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
994.3,2.58,-10.8,3.6,51,,2,31,45,36.3
989.5,2.56,-10.8,5.3,53,,9,68,42,36.2
982.6,2.56,-10.9,7.2,55,,19,122,40,36.2
974.9,2.56,-11.3,8.3,56,,29,182,39,36.2
969.0,2.56,-11.7,9.5,53,,39,229,40,36.2
961.9,2.53,-12.0,10.9,49,,49,285,40,36.1
954.4,2.53,-12.3,12.0,48,,59,345,39,36.1
946.8,2.50,-12.7,12.8,47,,69,406,38,36.0
939.4,2.47,-13.2,13.6,45,,79,465,39,36.0
932.6,2.47,-13.7,14.3,43,,89,521,40,35.9
925.4,2.45,-14.1,14.4,42,,99,580,40,35.9
918.8,2.41,-14.3,14.3,42,,109,634,38,35.9
911.6,2.42,-14.4,14.2,42,,119,694,38,35.9
904.6,2.40,-14.4,14.3,41,,129,752,40,35.8
898.3,2.40,-14.5,14.3,42,,139,805,39,35.8
891.9,2.38,-15.0,13.9,43,,149,858,40,35.8
886.0,2.37,-15.0,13.0,43,,159,910,41,35.7
879.0,2.34,-15.4,11.6,42,,169,969,44,35.7
872.1,2.33,-15.8,10.3,40,,179,1028,47,35.7
865.3,2.33,-16.1,9.4,39,,189,1087,48,35.6
859.3,2.29,-16.3,9.2,39,,198,1141,45,35.5
852.7,2.28,-16.5,9.2,41,,208,1198,50,35.5
846.0,2.27,-16.9,9.4,42,,218,1257,52,35.5
840.4,2.25,-17.3,9.8,41,,228,1307,59,35.4
834.0,2.25,-17.4,10.2,40,,238,1365,51,35.4
827.1,2.21,-17.5,9.7,39,,248,1426,41,35.3
821.0,2.20,-17.4,8.4,38,,258,1482,33,35.3
814.4,2.18,-17.1,6.8,40,,268,1542,22,35.2
808.8,2.18,-17.3,5.6,48,,278,1594,19,35.2
802.9,2.16,-17.6,5.2,57,,288,1649,20,35.2
795.9,2.16,-18.0,5.6,60,,298,1714,19,35.2
790.0,2.19,-18.3,6.4,62,,308,1770,19,35.1
783.4,2.27,-18.3,7.1,61,,318,1832,17,35.0
776.9,2.31,-16.4,7.0,58,,328,1895,12,35.0
771.8,2.34,-15.5,6.0,55,,338,1945,8,34.9
766.1,2.32,-15.9,4.7,59,,348,2000,8,34.9
759.8,2.33,-16.5,3.8,64,,358,2062,8,34.8
753.5,2.33,-17.1,3.4,60,,368,2125,8,34.8
747.3,2.34,-17.8,3.4,44,,378,2187,8,34.8
740.6,2.33,-17.8,4.0,25,,388,2254,7,34.7
734.3,2.28,-17.5,5.0,19,,398,2318,5,34.7
727.4,2.24,-17.5,5.8,20,,408,2389,6,34.6
721.0,2.21,-17.5,5.9,18,,418,2454,7,34.6
715.3,2.21,-17.9,5.5,16,,428,2515,7,34.5
710.2,2.26,-18.3,5.2,23,,438,2568,8,34.5
704.6,2.31,-18.6,5.9,35,,448,2626,8,34.4
699.3,2.28,-18.8,7.1,38,,457,2682,8,34.4
692.5,2.21,-18.8,8.3,35,,468,2756,6,34.3
688.3,2.19,-19.0,8.9,31,,476,2801,9,34.3
681.8,2.14,-19.7,8.9,27,,487,2870,22,34.2
677.1,2.13,-19.9,8.2,24,,496,2923,19,34.2
671.8,2.12,-20.3,7.6,19,,505,2980,18,34.1
666.5,2.07,-20.8,7.5,12,,515,3038,24,34.1
662.4,2.03,-21.2,7.4,8,,525,3085,27,34.0
656.6,1.98,-21.7,7.1,8,,535,3150,35,34.0
651.9,1.98,-22.0,7.0,10,,544,3203,38,34.0
646.8,1.99,-22.5,7.0,10,,552,3261,35,33.9
641.9,2.00,-22.9,7.3,3,,562,3316,35,33.9
637.9,1.95,-23.2,7.6,356,,571,3362,24,33.8
633.2,1.95,-23.3,7.8,354,,581,3416,15,33.8
627.5,1.94,-23.6,8.0,355,,591,3481,35,33.8
622.9,1.93,-23.9,8.6,358,,601,3535,30,33.7
617.8,1.88,-23.9,9.1,4,,611,3595,27,33.7
613.6,1.84,-24.1,10.0,9,,621,3645,22,33.6
608.1,1.88,-23.7,11.1,10,,631,3711,9,33.6
603.5,1.90,-23.6,11.9,9,,641,3767,4,33.5
598.2,1.94,-23.8,12.1,10,,651,3830,3,33.5
593.5,1.99,-24.1,12.3,12,,661,3888,4,33.4
589.4,2.10,-24.5,12.3,11,,671,3939,8,33.4
584.6,2.21,-24.9,11.8,4,,681,3999,4,33.4
580.3,2.14,-25.2,11.5,358,,691,4051,3,33.3
575.8,2.05,-25.5,11.3,357,,701,4108,2,33.3
570.5,1.98,-25.8,10.8,357,,711,4175,2,33.3
566.4,1.91,-26.3,10.1,357,,721,4227,5,33.2
562.1,1.89,-26.7,9.9,356,,731,4283,9,33.2
557.3,1.89,-27.2,10.1,355,,741,4343,9,33.1
552.0,1.89,-27.7,10.3,354,,751,4412,11,33.1
547.7,1.86,-28.2,10.3,351,,761,4470,17,33.1
543.2,1.87,-28.7,10.1,345,,771,4529,21,33.0
538.3,1.84,-29.1,10.2,341,,781,4592,23,33.0
534.0,1.82,-29.6,10.3,341,,791,4650,27,33.0
529.2,1.82,-30.1,10.5,340,,801,4715,29,32.9
524.5,1.84,-30.5,10.9,337,,811,4778,34,32.9
520.5,1.84,-30.8,11.1,337,,820,4832,34,32.9
516.8,1.80,-31.3,11.3,339,,830,4884,38,32.8
513.0,1.77,-31.8,11.5,340,,840,4935,42,32.8
508.7,1.75,-32.0,11.6,338,,850,4994,43,32.8
504.7,1.72,-32.5,11.3,336,,860,5050,47,32.7
499.9,1.69,-33.0,11.1,333,,870,5118,51,32.7
495.5,1.68,-33.4,11.3,330,,880,5180,51,32.6
491.5,1.67,-33.8,11.5,330,,890,5237,45,32.5
487.7,1.63,-34.0,11.7,331,,900,5291,42,32.5
483.4,1.64,-34.3,11.9,330,,910,5353,36,32.5
479.0,1.65,-34.8,11.7,327,,920,5417,36,32.4
474.8,1.65,-35.1,11.1,326,,930,5478,44,32.4
471.2,1.67,-35.6,10.6,327,,940,5532,50,32.3
467.1,1.76,-36.1,10.6,328,,950,5592,56,32.3
462.6,1.79,-36.8,11.1,328,,960,5660,60,32.2
458.6,1.74,-37.1,11.5,331,,970,5718,61,32.2
454.8,1.74,-37.4,12.0,334,,980,5776,59,32.1
450.7,1.79,-37.6,12.6,335,,990,5839,56,32.1
447.2,1.82,-37.6,13.0,333,,1000,5893,34,32.0
442.6,1.87,-37.9,13.1,328,,1011,5964,10,32.0
438.7,1.88,-38.3,12.9,327,,1020,6025,11,32.0
434.1,1.90,-38.8,12.6,327,,1030,6097,40,31.9
430.2,1.90,-39.3,12.6,326,,1040,6159,23,31.8
426.4,1.85,-39.8,13.4,325,,1050,6220,25,31.8
422.8,1.77,-40.3,14.2,325,,1060,6277,50,31.7
419.0,1.72,-40.8,13.9,326,,1070,6340,65,31.7
415.2,1.71,-40.9,13.1,325,,1080,6401,71,31.6
411.4,1.68,-41.4,12.9,321,,1090,6463,74,31.6
407.9,1.65,-41.8,13.7,315,,1100,6521,77,31.5
404.5,1.62,-42.3,14.3,310,,1110,6578,77,31.5
401.3,1.59,-42.8,14.3,311,,1120,6631,77,31.4
398.6,1.65,-43.2,14.6,313,,1129,6677,77,31.4
395.3,1.81,-43.6,15.5,315,,1139,6732,76,31.3
391.7,1.80,-43.9,16.4,316,,1149,6793,74,31.3
387.9,1.70,-43.9,17.2,317,,1159,6861,64,31.2
384.3,1.61,-43.8,17.5,317,,1169,6922,51,31.2
380.6,1.56,-44.3,17.2,318,,1179,6986,50,31.1
377.5,1.53,-44.6,17.1,319,,1189,7042,54,31.0
374.0,1.52,-45.1,17.3,319,,1199,7105,57,31.0
371.0,1.54,-45.6,17.0,320,,1209,7157,59,31.0
367.9,1.53,-46.1,16.5,321,,1219,7213,58,30.9
364.8,1.50,-46.5,16.8,323,,1229,7270,60,30.8
361.6,1.41,-46.9,17.3,323,,1239,7328,62,30.8
358.8,1.32,-47.3,17.7,324,,1249,7381,66,30.7
356.1,1.22,-47.6,17.6,324,,1259,7430,65,30.7
353.1,1.14,-48.1,17.6,323,,1269,7485,72,30.6
350.0,1.08,-48.5,17.8,321,,1279,7544,72,30.6
347.6,1.05,-48.9,17.5,321,,1289,7588,71,30.5
345.1,1.01,-49.3,17.2,321,,1299,7636,71,30.5
342.0,1.02,-49.6,17.3,321,,1309,7694,72,30.4
339.1,1.07,-50.0,17.7,320,,1319,7749,73,30.4
336.8,1.13,-50.3,18.2,320,,1329,7796,73,30.3
334.3,1.20,-50.6,18.5,320,,1339,7844,73,30.3
331.8,1.33,-51.0,18.8,319,,1349,7894,72,30.2
