
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-07-30,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A14223

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,14

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-07-30,00:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
216.1,4,260.5,1.000
* no reference total ozone reading

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.026,26.74,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
987,3.2,-24,4.1,95
950,3.1,-22,4,44
850,2.8,-22,2,25
714,2.7,-23,6,251
700,2.6,-24,7,255
658,2.5,-26,5,266
631,2.4,-28,6,257
532,1.9,-36,7,230
500,1.9,-40,6,238
426,1.6,-49,6,253
300,1.2,-67,10,296
291,1.1,-68,9,292
276,1.5,-70,10,290
237,1.6,-73,9,292
226,2.4,-73,10,287
214,2.7,-74,7,290
200,3.8,-74,7,306
193,4.3,-75,9,305
157,6.3,-75,14,288
150,6.4,-75,14,295
142,7.7,-75,13,282
135,9.9,-76,17,282
128,9.1,-76,15,282
121,9.2,-76,16,286
115,7.2,-77,18,286
109,9.5,-78,17,282
104,8.8,-79,17,285
100,9.1,-80,17,285
93.2,10.9,-80,17,285
88.4,10.5,-81,19.4,290
79.4,15.2,-82,21,290
75.3,13.6,-82,24,292
70,13.9,-82,23,283
64.1,15.2,-82,24,285
60.8,14.4,-83,22,288
54.5,14.5,-83,26,285
51.7,14.2,-84,26,288
50,13.5,-84,28,284
48.9,13.1,-84,26.8,283
46.4,12.5,-85,30,284
41.6,12.1,-84,30,286
37.3,11.1,-85,34,291
33.5,9.9,-84,34,292
31.7,9.8,-84,35,289
30,9,-84,36,290
28.4,8.4,-84,35,284
21.7,6.4,-84,39,292
20,6.1,-83,39,288
16.6,5.3,-82,44,287
