
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-11-20,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6AXXXXX

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,14

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-11-20,23:19:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
169.8,4,289.9,1.000
* no reference total ozone

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.062,26.26,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
995,3.5,36,3.6,130
945,2.2,-8,2,45
850,2,-14,7,34
776,1.6,-17,11,32
700,1.5,-24,11,40
632,1.5,-27,6,15
557,1.5,-33,4,353
534,1.2,-35,5,346
500,1.1,-39,5,353
468,1.1,-42,6,344
428,1.6,-46,4,341
409,1.7,-48,7,306
373,1.8,-51,7,295
340,2.7,-53,6,296
300,3.1,-53,13,272
282,4.9,-53,13,273
270,5.7,-54,11,265
257,6,-54,13,267
234,6.8,-53,16,261
214,6.5,-53,17,262
204,6,-52,17,261
200,6,-52,17,259
169,3.9,-54,18,271
162,3.6,-54,25,272
154,3.6,-54,26,271
150,2.8,-54,27,266
147,2.2,-53,28,265
140,1.6,-52,28,265
134,4,-51,29,266
128,4.6,-51,32.5,264
122,1.5,-50,31,265
117,1.4,-50,31,264
112,2.5,-49,31,270
106,2.6,-48,33,275
102,3.5,-48,35,274
100,4,-48,36,273
97.3,4.9,-48,37,273
92.9,4.1,-47,40,273
88.8,4.8,-47,42,268
84.9,4.2,-46,44,271
81.2,9.3,-45,46,272
77.6,14.1,-45,46,269
74.2,16.1,-44,45,272
70,17,-44,44,272
64.9,17.4,-43,45.3,275
59.4,17,-43,39,270
54.3,17.5,-42,40,280
50,17.1,-43,41,278
47.5,17.2,-41,42,275
43.5,16.9,-41,39,272
41.7,16.6,-41,35,274
38.1,16.2,-41,32,272
36.5,15.7,-41,32,271
34.9,15.4,-41,32,270
33.4,15.6,-40,28,275
