
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2004-06-18,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10741

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,19

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-06-18,23:23:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
267.5,4,295.5,-1.000

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.053,26.36,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
991,2.5,-9,6.2,115
955,3.2,-12,6,59
918,3.1,-14,5,58
850,2.9,-19,10,58
782,2.7,-20,6,125
700,2.4,-24,6,77
586,2,-29,4,160
500,1.7,-36,2,40
433,1.6,-44,3,129
414,1.6,-46,6,117
378,1.5,-50,12,111
300,1.2,-61,13,124
246,1.1,-68,10,124
234,1.8,-68,6,93
222,2.8,-68,5,135
211,3.1,-68,6,159
200,3.7,-68,3,180
191,4.8,-67,5,221
173,4.9,-67,4,237
165,5.3,-67,7,239
157,6.9,-68,7,242
150,7.7,-68,8,249
142,8.7,-69,11,243
135,8.2,-70,9,245
128,8.2,-70,11,259
122,11.6,-70,11,249
116,14.5,-71,13,245
110,11.4,-71,13,252
105,16.4,-71,17,238
100,16.7,-72,16,244
99.5,16.8,-72,16,244
94.6,17.3,-72,19,246
89.9,16.6,-72,20,256
85.4,18.3,-72,21,258
81.2,17,-73,23,253
77.1,15.8,-74,22,254
73.2,16.4,-74,23,252
70,16.3,-74,23,253
66.1,15.7,-75,23,249
62.7,15.4,-75,26,250
56.6,15.1,-76,29,256
53.7,14.9,-77,30,256
50,14.7,-78,33,259
45.8,14.7,-79,32,257
43.5,15.2,-79,35,258
41.2,14.2,-79,35,261
39.1,13.5,-79,32,265
37.1,12.9,-80,30.2,259
35.2,11.4,-81,34,255
31.6,10.3,-81,41,261
30,10.4,-81,42,266
28.4,10.3,-81,38,267
26.9,10.6,-82,40,261
25.5,10.2,-82,40,264
22.9,9.7,-84,37,269
21.7,9.1,-84,40,265
20.6,8,-84,40,270
20,7.3,-84,42,270
19.5,6.7,-84,41,268
18.5,5.9,-84,40.6,268
17.5,5.4,-85,41,267
15.7,4.9,-84,42,263
14.9,4.6,-84,39,263
13.3,4.2,-82,44,261
12.6,4.1,-80,46,261
12,3.8,-80,45,260
11.4,3.6,-80,42,266
10.8,3.3,-80,42,260
