
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-08-03,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10749

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,19

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-08-03,23:23:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
242.4,4,286.3,-1.000

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.015,25.90,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
968,3.1,-24
932,3.2,-21
850,2.9,-21
761,2.8,-22
700,2.4,-26
618,2.1,-33
500,1.8,-44
433,1.6,-51
376,1.5,-57
326,1.6,-62
300,1.7,-63
268,2.1,-66
255,2.1,-67
243,2.8,-68
220,5.3,-69
209,5.8,-70
200,5.8,-70
189,6.1,-70
170,7.4,-72
154,8.9,-74
150,9.5,-74
146,10.1,-74
139,9.6,-74
132,10.6,-75
119,11.4,-76
107,14.6,-77
100,15.1,-78
86.8,16.8,-79
78.1,15.4,-80
74,15.5,-80
70,15.3,-80
66.6,15,-81
63.1,15.2,-81
56.7,15.1,-82
53.8,14.4,-82
50,13.5,-82
43.4,12.4,-82
38.9,10.9,-82
35,9.6,-82
31.4,8.6,-83
30,8.1,-83
25.3,7.3,-83
24,7.1,-82
21.6,6.8,-81
20,6.2,-78
18.4,5.7,-76
16.6,5.3,-77
