# ------------------------------------------------------------
#
# Flight name: V2207
# Station: Davis
# Launch Date: 18 September 2007
# Launch Time: 12:29:14
# 
# This file created: Wed Sep 19 10:11:58 2007
# 
# 
# ------------------------------------------------------------
# DATA COLUMNS
# Time (s)
# Height (m)
# Atmospheric Pressure (hPa)
# Atmospheric Temperature (°C)
# Relative Humidity (%)
# Box Temperature (°C)
# Ozone Partial Pressure (mPa)
# Ozone Mixing Ratio (ppmV)
# Accumulated Ozone to this Height (Dobson Units)
# Remaining Ozone above this Height (Dobson Units)
# 
# ------------------------------------------------------------
# 
# Integrated Ozone = 196.7 DU
# Extrapolated Ozone =  79.0 DU
# 
# Total Ozone = 275.7 DU
# 
# 
# ------------------------------------------------------------
1 , 18 , 981.76 , -13.4 , 32 , 29.42 , 1.920 , 0.020 , 0.00 , 275.75
10 , 63 , 975.92 , -13.8 , 40 , 29.31 , 2.325 , 0.024 , 0.10 , 275.65
20 , 116 , 969.07 , -13.6 , 37 , 29.07 , 2.523 , 0.026 , 0.23 , 275.52
30 , 162 , 963.24 , -13.6 , 34 , 28.87 , 2.765 , 0.029 , 0.36 , 275.39
40 , 215 , 956.59 , -13.9 , 34 , 28.67 , 2.930 , 0.031 , 0.52 , 275.23
50 , 263 , 950.50 , -14.4 , 35 , 28.35 , 2.996 , 0.032 , 0.67 , 275.08
60 , 309 , 944.77 , -14.6 , 35 , 28.09 , 3.008 , 0.032 , 0.81 , 274.94
70 , 350 , 939.63 , -14.8 , 34 , 27.90 , 3.056 , 0.033 , 0.94 , 274.81
80 , 400 , 933.49 , -15.0 , 33 , 27.69 , 3.045 , 0.033 , 1.10 , 274.65
89 , 450 , 927.30 , -15.4 , 33 , 27.53 , 3.058 , 0.033 , 1.26 , 274.49
99 , 500 , 921.22 , -15.8 , 33 , 27.37 , 3.053 , 0.033 , 1.42 , 274.33
109 , 548 , 915.37 , -16.1 , 32 , 27.30 , 3.014 , 0.033 , 1.57 , 274.18
119 , 594 , 909.76 , -16.4 , 32 , 27.22 , 3.028 , 0.033 , 1.72 , 274.03
129 , 647 , 903.38 , -16.8 , 32 , 27.01 , 3.024 , 0.033 , 1.88 , 273.87
138 , 696 , 897.49 , -17.1 , 32 , 26.87 , 2.988 , 0.033 , 2.04 , 273.71
148 , 736 , 892.72 , -17.4 , 33 , 26.74 , 2.990 , 0.033 , 2.16 , 273.59
158 , 779 , 887.57 , -17.8 , 33 , 26.55 , 2.995 , 0.034 , 2.30 , 273.45
168 , 823 , 882.41 , -18.2 , 34 , 26.39 , 2.966 , 0.034 , 2.44 , 273.31
178 , 865 , 877.46 , -18.6 , 36 , 26.25 , 2.927 , 0.033 , 2.57 , 273.18
188 , 907 , 872.52 , -19.0 , 37 , 26.07 , 2.916 , 0.033 , 2.70 , 273.05
198 , 949 , 867.56 , -19.4 , 38 , 25.97 , 2.936 , 0.034 , 2.83 , 272.92
208 , 999 , 861.69 , -19.8 , 37 , 25.78 , 2.917 , 0.034 , 2.99 , 272.76
218 , 1048 , 856.12 , -20.1 , 36 , 25.57 , 2.900 , 0.034 , 3.14 , 272.61
228 , 1099 , 850.18 , -20.4 , 35 , 25.39 , 2.887 , 0.034 , 3.30 , 272.45
238 , 1145 , 844.86 , -20.6 , 36 , 25.26 , 2.919 , 0.035 , 3.44 , 272.31
248 , 1191 , 839.73 , -21.0 , 38 , 25.13 , 2.878 , 0.034 , 3.58 , 272.17
258 , 1236 , 834.59 , -21.2 , 39 , 24.97 , 2.832 , 0.034 , 3.72 , 272.03
268 , 1280 , 829.54 , -21.5 , 41 , 24.82 , 2.812 , 0.034 , 3.85 , 271.90
278 , 1325 , 824.53 , -21.8 , 43 , 24.73 , 2.805 , 0.034 , 3.99 , 271.76
288 , 1371 , 819.46 , -22.1 , 44 , 24.64 , 2.762 , 0.034 , 4.12 , 271.63
298 , 1420 , 813.95 , -22.3 , 44 , 24.55 , 2.743 , 0.034 , 4.27 , 271.48
308 , 1466 , 808.85 , -22.2 , 43 , 24.44 , 2.714 , 0.034 , 4.40 , 271.35
318 , 1514 , 803.63 , -21.1 , 35 , 24.41 , 2.701 , 0.034 , 4.54 , 271.21
328 , 1566 , 798.02 , -19.1 , 20 , 24.25 , 2.672 , 0.033 , 4.69 , 271.06
338 , 1612 , 793.07 , -18.3 , 13 , 24.06 , 2.677 , 0.034 , 4.82 , 270.93
348 , 1662 , 787.76 , -18.1 , 10 , 23.99 , 2.659 , 0.034 , 4.96 , 270.79
358 , 1717 , 782.01 , -17.7 , 8 , 23.90 , 2.602 , 0.033 , 5.12 , 270.63
368 , 1772 , 776.26 , -17.5 , 6 , 23.76 , 2.577 , 0.033 , 5.27 , 270.48
378 , 1826 , 770.72 , -17.6 , 6 , 23.79 , 2.556 , 0.033 , 5.41 , 270.34
388 , 1876 , 765.57 , -17.6 , 6 , 23.73 , 2.535 , 0.033 , 5.55 , 270.20
397 , 1926 , 760.51 , -17.7 , 5 , 23.58 , 2.498 , 0.033 , 5.68 , 270.07
407 , 1970 , 755.98 , -18.1 , 5 , 23.44 , 2.506 , 0.033 , 5.80 , 269.95
417 , 2019 , 751.06 , -18.5 , 4 , 23.30 , 2.498 , 0.033 , 5.92 , 269.83
427 , 2072 , 745.73 , -18.7 , 4 , 23.33 , 2.522 , 0.034 , 6.07 , 269.68
437 , 2124 , 740.56 , -18.6 , 4 , 23.28 , 2.548 , 0.034 , 6.20 , 269.55
447 , 2173 , 735.73 , -18.7 , 4 , 23.10 , 2.532 , 0.034 , 6.34 , 269.41
457 , 2217 , 731.38 , -18.8 , 5 , 23.08 , 2.474 , 0.034 , 6.45 , 269.30
467 , 2264 , 726.79 , -19.1 , 4 , 22.96 , 2.451 , 0.034 , 6.58 , 269.17
477 , 2312 , 722.05 , -19.4 , 5 , 22.89 , 2.417 , 0.033 , 6.70 , 269.05
487 , 2361 , 717.36 , -19.7 , 5 , 22.88 , 2.370 , 0.033 , 6.82 , 268.93
497 , 2409 , 712.65 , -19.9 , 5 , 22.76 , 2.365 , 0.033 , 6.95 , 268.80
507 , 2449 , 708.82 , -19.9 , 5 , 22.73 , 2.357 , 0.033 , 7.05 , 268.70
517 , 2489 , 705.04 , -20.1 , 5 , 22.67 , 2.359 , 0.033 , 7.15 , 268.60
527 , 2528 , 701.35 , -20.1 , 6 , 22.60 , 2.358 , 0.034 , 7.24 , 268.50
537 , 2572 , 697.17 , -20.2 , 7 , 22.52 , 2.355 , 0.034 , 7.36 , 268.39
547 , 2620 , 692.66 , -20.5 , 8 , 22.47 , 2.334 , 0.034 , 7.48 , 268.27
557 , 2669 , 688.13 , -20.9 , 8 , 22.43 , 2.268 , 0.033 , 7.60 , 268.15
567 , 2723 , 683.11 , -21.4 , 9 , 22.41 , 2.209 , 0.032 , 7.72 , 268.03
577 , 2772 , 678.56 , -21.9 , 9 , 22.33 , 2.186 , 0.032 , 7.84 , 267.91
587 , 2820 , 674.12 , -22.1 , 10 , 22.30 , 2.177 , 0.032 , 7.95 , 267.80
597 , 2868 , 669.76 , -22.4 , 10 , 22.27 , 2.167 , 0.032 , 8.06 , 267.69
607 , 2920 , 665.00 , -22.8 , 10 , 22.20 , 2.147 , 0.032 , 8.19 , 267.56
617 , 2971 , 660.44 , -22.9 , 10 , 22.10 , 2.164 , 0.033 , 8.30 , 267.45
627 , 3023 , 655.75 , -23.0 , 11 , 21.99 , 2.137 , 0.033 , 8.42 , 267.33
637 , 3065 , 651.95 , -23.3 , 11 , 21.87 , 2.161 , 0.033 , 8.52 , 267.23
647 , 3116 , 647.47 , -23.6 , 12 , 21.82 , 2.157 , 0.033 , 8.64 , 267.11
657 , 3180 , 641.81 , -24.0 , 12 , 21.75 , 2.135 , 0.033 , 8.79 , 266.96
667 , 3232 , 637.21 , -24.3 , 13 , 21.75 , 2.131 , 0.033 , 8.91 , 266.84
677 , 3276 , 633.42 , -24.6 , 13 , 21.67 , 2.109 , 0.033 , 9.01 , 266.74
687 , 3325 , 629.12 , -25.0 , 13 , 21.55 , 2.088 , 0.033 , 9.12 , 266.63
697 , 3370 , 625.21 , -25.4 , 14 , 21.47 , 2.115 , 0.034 , 9.23 , 266.52
706 , 3415 , 621.36 , -25.9 , 15 , 21.39 , 2.125 , 0.034 , 9.33 , 266.42
716 , 3469 , 616.71 , -26.3 , 15 , 21.30 , 2.135 , 0.035 , 9.46 , 266.29
726 , 3525 , 612.01 , -26.8 , 16 , 21.20 , 2.144 , 0.035 , 9.58 , 266.16
736 , 3575 , 607.77 , -27.2 , 17 , 21.07 , 2.105 , 0.035 , 9.70 , 266.05
746 , 3622 , 603.82 , -27.5 , 17 , 21.10 , 2.051 , 0.034 , 9.81 , 265.94
756 , 3664 , 600.30 , -27.9 , 18 , 21.06 , 1.995 , 0.033 , 9.90 , 265.85
766 , 3708 , 596.61 , -28.2 , 19 , 20.97 , 1.945 , 0.033 , 10.00 , 265.75
776 , 3760 , 592.25 , -28.7 , 19 , 20.92 , 1.907 , 0.032 , 10.11 , 265.64
786 , 3816 , 587.67 , -29.1 , 20 , 20.82 , 1.883 , 0.032 , 10.23 , 265.52
796 , 3869 , 583.30 , -29.4 , 21 , 20.72 , 1.863 , 0.032 , 10.34 , 265.41
806 , 3917 , 579.37 , -29.5 , 20 , 20.62 , 1.829 , 0.032 , 10.43 , 265.32
816 , 3959 , 575.98 , -29.8 , 20 , 20.59 , 1.789 , 0.031 , 10.52 , 265.23
826 , 4005 , 572.28 , -30.2 , 20 , 20.56 , 1.764 , 0.031 , 10.61 , 265.14
836 , 4051 , 568.60 , -30.6 , 20 , 20.47 , 1.733 , 0.030 , 10.70 , 265.05
846 , 4099 , 564.76 , -31.0 , 21 , 20.42 , 1.714 , 0.030 , 10.79 , 264.96
856 , 4153 , 560.44 , -31.4 , 20 , 20.33 , 1.701 , 0.030 , 10.89 , 264.86
866 , 4208 , 556.12 , -31.8 , 19 , 20.19 , 1.685 , 0.030 , 11.00 , 264.75
876 , 4264 , 551.72 , -32.2 , 19 , 20.17 , 1.684 , 0.031 , 11.10 , 264.65
886 , 4319 , 547.41 , -32.4 , 16 , 20.09 , 1.666 , 0.030 , 11.21 , 264.54
896 , 4377 , 542.97 , -32.6 , 12 , 20.04 , 1.661 , 0.031 , 11.31 , 264.44
906 , 4440 , 538.11 , -33.1 , 12 , 20.03 , 1.650 , 0.031 , 11.43 , 264.32
916 , 4501 , 533.46 , -33.7 , 12 , 19.90 , 1.630 , 0.031 , 11.54 , 264.21
926 , 4554 , 529.47 , -34.2 , 12 , 19.81 , 1.625 , 0.031 , 11.64 , 264.11
936 , 4611 , 525.14 , -34.7 , 12 , 19.73 , 1.606 , 0.031 , 11.74 , 264.01
946 , 4667 , 520.91 , -35.2 , 13 , 19.73 , 1.583 , 0.030 , 11.84 , 263.90
956 , 4721 , 516.91 , -35.7 , 14 , 19.59 , 1.570 , 0.030 , 11.94 , 263.81
966 , 4776 , 512.85 , -36.2 , 14 , 19.53 , 1.557 , 0.030 , 12.04 , 263.71
976 , 4826 , 509.13 , -36.6 , 15 , 19.51 , 1.534 , 0.030 , 12.13 , 263.62
986 , 4873 , 505.73 , -37.0 , 15 , 19.46 , 1.521 , 0.030 , 12.21 , 263.54
996 , 4919 , 502.34 , -37.5 , 15 , 19.41 , 1.511 , 0.030 , 12.29 , 263.46
1005 , 4962 , 499.19 , -37.8 , 14 , 19.37 , 1.501 , 0.030 , 12.36 , 263.39
1015 , 5013 , 495.56 , -38.3 , 14 , 19.30 , 1.493 , 0.030 , 12.45 , 263.30
1025 , 5066 , 491.72 , -38.7 , 15 , 19.19 , 1.478 , 0.030 , 12.54 , 263.21
1035 , 5114 , 488.29 , -39.1 , 17 , 19.06 , 1.460 , 0.030 , 12.62 , 263.13
1045 , 5151 , 485.67 , -39.5 , 20 , 19.01 , 1.443 , 0.030 , 12.68 , 263.07
1055 , 5188 , 483.01 , -39.8 , 21 , 19.00 , 1.435 , 0.030 , 12.75 , 263.00
1065 , 5225 , 480.40 , -40.2 , 22 , 18.94 , 1.419 , 0.030 , 12.81 , 262.94
1075 , 5264 , 477.69 , -40.5 , 23 , 18.86 , 1.408 , 0.029 , 12.87 , 262.88
1085 , 5304 , 474.90 , -40.9 , 23 , 18.84 , 1.396 , 0.029 , 12.93 , 262.82
1095 , 5344 , 472.09 , -41.2 , 23 , 18.80 , 1.397 , 0.030 , 13.00 , 262.75
1105 , 5383 , 469.38 , -41.6 , 24 , 18.74 , 1.382 , 0.029 , 13.06 , 262.69
1115 , 5424 , 466.55 , -41.9 , 24 , 18.66 , 1.382 , 0.030 , 13.13 , 262.62
1125 , 5477 , 462.95 , -42.3 , 24 , 18.63 , 1.375 , 0.030 , 13.21 , 262.54
1135 , 5531 , 459.22 , -42.8 , 24 , 18.53 , 1.397 , 0.030 , 13.30 , 262.45
1145 , 5575 , 456.27 , -43.2 , 25 , 18.47 , 1.372 , 0.030 , 13.37 , 262.38
1155 , 5612 , 453.71 , -43.6 , 26 , 18.39 , 1.351 , 0.030 , 13.43 , 262.32
1165 , 5651 , 451.14 , -43.9 , 27 , 18.33 , 1.348 , 0.030 , 13.49 , 262.26
1175 , 5690 , 448.47 , -44.3 , 27 , 18.31 , 1.335 , 0.030 , 13.56 , 262.19
1185 , 5727 , 446.05 , -44.6 , 27 , 18.25 , 1.321 , 0.030 , 13.61 , 262.14
1195 , 5762 , 443.69 , -44.9 , 28 , 18.22 , 1.315 , 0.030 , 13.67 , 262.08
1205 , 5798 , 441.31 , -45.3 , 29 , 18.18 , 1.302 , 0.029 , 13.72 , 262.03
1215 , 5833 , 438.99 , -45.6 , 30 , 18.14 , 1.299 , 0.030 , 13.78 , 261.97
1225 , 5868 , 436.69 , -46.0 , 32 , 18.10 , 1.292 , 0.030 , 13.83 , 261.92
1235 , 5904 , 434.32 , -46.3 , 33 , 18.09 , 1.283 , 0.030 , 13.89 , 261.86
1245 , 5942 , 431.84 , -46.6 , 33 , 18.02 , 1.288 , 0.030 , 13.94 , 261.81
1255 , 5983 , 429.18 , -47.0 , 35 , 17.99 , 1.293 , 0.030 , 14.01 , 261.74
1265 , 6019 , 426.86 , -47.4 , 36 , 17.94 , 1.272 , 0.030 , 14.06 , 261.69
1275 , 6055 , 424.53 , -47.7 , 37 , 17.91 , 1.254 , 0.030 , 14.12 , 261.63
1285 , 6092 , 422.13 , -48.0 , 38 , 17.89 , 1.247 , 0.030 , 14.17 , 261.58
1295 , 6130 , 419.71 , -48.3 , 38 , 17.86 , 1.234 , 0.029 , 14.23 , 261.52
1304 , 6165 , 417.47 , -48.6 , 37 , 17.79 , 1.230 , 0.029 , 14.28 , 261.47
1313 , 6199 , 415.32 , -48.9 , 36 , 17.73 , 1.218 , 0.029 , 14.33 , 261.42
1323 , 6235 , 413.06 , -49.2 , 35 , 17.68 , 1.205 , 0.029 , 14.38 , 261.37
1333 , 6276 , 410.47 , -49.6 , 35 , 17.66 , 1.192 , 0.029 , 14.44 , 261.31
1343 , 6319 , 407.79 , -50.0 , 35 , 17.61 , 1.182 , 0.029 , 14.50 , 261.25
1353 , 6361 , 405.20 , -50.4 , 35 , 17.56 , 1.171 , 0.029 , 14.56 , 261.19
1363 , 6402 , 402.63 , -50.7 , 36 , 17.48 , 1.163 , 0.029 , 14.62 , 261.13
