
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a14260

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-03-05,23:22:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
253.6,2,282.4,-0.98,277,0,DS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.007,28.8,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1004.1,1.88,7.9,14.0,309,,1,11,75,32.8
999.7,1.83,7.5,15.0,308,,10,47,77,32.8
995.0,1.85,7.2,15.7,306,,19,87,78,32.8
989.8,1.86,6.8,16.3,304,,28,130,79,32.8
984.6,1.85,6.4,16.9,302,,37,172,81,32.7
979.9,1.85,6.0,17.4,300,,46,212,82,32.7
975.8,1.85,5.7,17.8,300,,55,246,84,32.6
970.5,1.83,5.3,18.0,298,,64,291,85,32.6
965.2,1.82,4.8,18.0,296,,73,335,86,32.6
958.9,1.81,4.3,18.3,293,,83,389,88,32.5
953.6,1.82,3.9,18.4,290,,92,434,89,32.5
947.2,1.83,3.8,18.2,288,,102,489,83,32.5
941.7,1.81,4.0,17.9,287,,111,536,72,32.5
936.2,1.80,3.9,17.7,287,,120,584,68,32.5
930.6,1.77,3.5,17.7,286,,129,632,69,32.5
924.7,1.76,3.0,17.8,285,,138,683,70,32.5
918.8,1.76,2.6,18.1,283,,148,736,73,32.5
912.6,1.74,2.1,18.4,282,,158,790,75,32.5
907.1,1.73,1.7,18.5,281,,167,840,77,32.5
901.5,1.72,1.2,18.5,280,,176,889,79,32.5
896.1,1.72,0.8,18.3,279,,185,938,81,32.5
890.3,1.72,0.5,17.9,279,,194,990,84,32.5
884.1,1.71,0.2,17.2,278,,204,1045,87,32.6
877.9,1.70,-0.1,16.8,279,,214,1102,89,32.6
872.3,1.70,-0.2,16.6,280,,223,1153,85,32.6
866.9,1.67,-0.0,16.8,281,,232,1203,76,32.6
861.3,1.66,0.1,17.0,281,,241,1255,72,32.6
854.9,1.66,-0.2,17.1,280,,251,1315,74,32.6
849.5,1.67,-0.5,17.4,279,,260,1366,75,32.6
843.3,1.66,-0.9,17.8,278,,270,1425,76,32.7
837.7,1.63,-1.3,18.1,277,,279,1477,76,32.7
831.8,1.61,-1.6,18.5,277,,289,1533,76,32.7
827.3,1.60,-2.0,18.8,277,,297,1577,77,32.7
821.8,1.58,-2.5,19.2,277,,307,1629,79,32.7
815.7,1.55,-2.8,19.5,278,,317,1689,80,32.7
809.2,1.54,-3.4,19.6,279,,327,1752,82,32.7
804.3,1.51,-3.8,19.4,279,,335,1801,84,32.7
798.0,1.50,-4.2,19.1,280,,345,1862,86,32.7
792.0,1.48,-4.7,18.5,281,,355,1922,87,32.7
785.5,1.47,-5.3,18.4,282,,365,1987,89,32.7
780.3,1.46,-5.7,18.4,281,,373,2039,90,32.8
773.9,1.45,-6.2,18.8,281,,383,2103,91,32.8
768.5,1.44,-6.6,19.3,280,,392,2158,91,32.8
762.1,1.41,-6.6,20.2,280,,402,2223,91,32.8
756.3,1.38,-5.6,20.7,280,,411,2282,88,32.9
750.0,1.34,-4.8,21.1,281,,421,2349,81,32.9
744.9,1.32,-4.7,21.3,281,,429,2403,77,32.9
738.0,1.31,-4.8,21.8,281,,440,2476,73,32.9
732.6,1.30,-5.1,22.4,280,,449,2534,67,32.9
727.3,1.32,-5.3,23.2,278,,458,2590,62,32.9
721.9,1.37,-5.3,23.8,276,,467,2649,54,32.9
715.1,1.54,-5.2,24.4,275,,479,2723,43,33.0
710.1,1.63,-5.4,24.4,275,,487,2779,43,33.0
704.7,1.71,-5.8,24.6,277,,496,2838,44,33.0
699.1,1.73,-6.2,24.9,278,,506,2900,42,33.0
694.3,1.77,-6.6,24.9,279,,515,2954,40,33.0
688.6,1.80,-6.9,24.6,279,,525,3019,32,33.0
685.4,1.83,-7.2,24.6,279,,531,3055,30,33.0
676.0,2.05,-7.6,25.0,278,,549,3163,41,33.0
672.8,2.06,-7.6,25.2,278,,555,3199,38,33.0
669.2,2.04,-7.7,25.4,278,,562,3242,39,33.0
664.7,2.06,-8.0,25.6,278,,570,3294,41,33.1
661.8,2.06,-8.3,25.7,277,,576,3328,41,33.1
658.1,1.98,-8.6,25.6,277,,584,3372,49,33.1
654.2,1.85,-9.0,25.5,277,,592,3417,50,33.1
649.5,1.78,-9.3,25.1,277,,602,3472,52,33.1
644.8,1.79,-9.9,24.9,277,,612,3528,53,33.1
640.6,1.79,-10.4,24.9,278,,621,3579,53,33.1
636.2,1.77,-10.8,25.1,278,,630,3632,58,33.1
632.7,1.78,-11.2,25.4,277,,638,3674,59,33.1
628.6,1.78,-11.7,25.9,276,,647,3724,62,33.1
625.3,1.79,-12.0,26.4,275,,655,3765,65,33.1
621.4,1.86,-11.9,27.1,273,,664,3811,52,33.1
617.6,1.94,-11.0,27.9,273,,673,3858,28,33.1
613.9,2.02,-10.4,28.1,273,,682,3906,15,33.1
610.1,2.08,-10.4,28.2,276,,692,3953,12,33.1
606.7,2.12,-10.6,27.7,276,,701,3996,13,33.1
602.7,2.09,-11.0,27.4,275,,711,4047,20,33.2
598.6,1.99,-11.4,27.2,274,,720,4100,31,33.2
595.4,1.88,-11.8,27.3,272,,729,4140,34,33.2
592.3,1.78,-12.1,27.3,272,,737,4180,34,33.2
588.7,1.70,-12.4,27.1,272,,747,4226,34,33.2
585.1,1.66,-12.9,27.1,272,,757,4273,34,33.2
581.9,1.63,-13.2,27.4,272,,766,4315,33,33.2
578.3,1.61,-13.5,28.2,273,,776,4363,32,33.2
574.9,1.59,-13.8,28.4,273,,785,4407,31,33.2
571.2,1.57,-14.3,28.6,272,,795,4457,33,33.2
567.5,1.56,-14.5,29.3,273,,805,4505,28,33.3
564.1,1.53,-14.9,30.2,274,,815,4551,29,33.3
560.5,1.52,-15.2,30.6,277,,825,4599,32,33.3
557.5,1.52,-15.5,30.9,278,,835,4640,33,33.3
554.6,1.52,-15.8,30.9,278,,844,4679,33,33.3
551.3,1.53,-16.2,30.6,277,,854,4723,33,33.3
547.9,1.55,-16.5,30.2,276,,864,4771,33,33.3
544.8,1.55,-16.9,30.0,274,,873,4813,33,33.3
541.2,1.53,-17.5,29.5,273,,884,4862,33,33.3
538.3,1.53,-17.8,29.3,273,,893,4902,34,33.3
535.2,1.53,-18.2,29.7,273,,903,4947,34,33.3
532.3,1.54,-18.6,30.4,272,,912,4987,35,33.3
529.1,1.53,-19.1,31.8,271,,921,5031,35,33.4
526.2,1.52,-19.4,32.2,272,,930,5073,35,33.4
523.3,1.50,-19.8,32.3,272,,939,5113,36,33.4
520.0,1.43,-20.2,31.7,271,,949,5160,38,33.4
516.5,1.30,-20.5,32.0,269,,958,5209,39,33.4
512.9,1.21,-21.1,33.0,269,,969,5261,39,33.4
509.3,1.14,-21.5,33.3,270,,979,5314,39,33.4
505.5,1.13,-22.0,33.6,270,,989,5368,39,33.4
501.7,1.19,-22.4,34.2,270,,999,5423,41,33.4
498.2,1.29,-22.8,34.3,269,,1008,5475,43,33.4
494.0,1.38,-23.3,34.2,269,,1018,5537,41,33.4
490.7,1.50,-23.8,33.9,268,,1027,5586,37,33.4
486.6,1.56,-24.3,33.9,268,,1038,5647,28,33.4
482.9,1.60,-24.5,34.2,268,,1048,5702,22,33.4
479.0,1.64,-24.7,34.8,269,,1058,5761,16,33.4
