
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a14278

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-04-13,23:22:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
273.4,2,319.1,-1.00,319.5,0,ZS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.005,27.6,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1002.0,2.31,6.3,10.8,317,,0,7,81,27.6
997.3,2.28,6.0,11.7,312,,8,45,81,27.6
992.4,2.29,5.7,12.4,310,,17,84,82,27.6
986.6,2.33,5.4,13.2,306,,27,132,84,27.6
981.0,2.36,5.1,13.9,302,,37,179,84,27.5
976.5,2.33,4.8,14.6,299,,46,217,85,27.5
972.3,2.32,4.6,15.2,297,,55,253,85,27.5
968.0,2.30,4.4,15.7,293,,64,287,85,27.4
962.9,2.27,4.0,16.4,290,,74,331,85,27.4
957.9,2.30,3.6,17.0,287,,84,373,85,27.4
952.2,2.27,3.2,17.6,285,,94,422,84,27.4
946.8,2.25,2.8,18.1,283,,103,468,82,27.3
941.4,2.26,2.4,18.4,280,,112,514,78,27.3
935.7,2.28,2.0,18.6,279,,121,563,74,27.2
929.2,2.28,1.8,18.9,278,,131,620,65,27.2
923.9,2.29,1.6,19.1,278,,140,666,58,27.1
918.2,2.29,1.4,19.2,278,,149,715,53,27.1
912.9,2.29,1.1,19.3,278,,159,763,52,27.0
906.6,2.28,0.7,19.5,279,,169,817,54,27.0
902.0,2.25,0.5,20.2,280,,177,859,56,27.0
895.8,2.28,0.5,21.6,282,,188,914,53,26.9
889.5,2.28,0.8,23.5,284,,198,970,47,26.8
884.5,2.28,1.1,24.6,285,,207,1016,42,26.8
879.3,2.35,1.2,25.4,288,,216,1063,37,26.8
873.8,2.34,1.2,26.7,289,,226,1113,31,26.7
869.6,2.35,1.4,27.3,289,,234,1153,23,26.7
863.3,2.41,1.7,28.0,289,,245,1211,11,26.6
859.0,2.46,1.8,27.9,289,,253,1251,10,26.6
853.9,2.49,2.0,28.0,289,,263,1299,6,26.6
848.4,2.52,1.8,28.0,289,,273,1351,17,26.5
845.3,2.54,1.6,27.9,289,,278,1380,24,26.5
836.7,2.52,1.3,27.3,287,,293,1463,13,26.5
833.8,2.50,1.4,26.9,286,,298,1491,7,26.5
828.0,2.52,1.3,26.2,284,,309,1547,2,26.4
822.3,2.51,1.1,25.6,282,,319,1602,2,26.4
817.3,2.51,0.8,25.3,281,,328,1650,2,26.4
812.4,2.52,0.5,25.0,281,,337,1700,1,26.3
807.2,2.52,0.2,24.9,282,,346,1750,3,26.3
801.7,2.52,-0.1,24.7,282,,355,1805,5,26.3
795.3,2.52,-0.6,24.4,283,,365,1870,8,26.3
789.9,2.49,-0.9,24.1,283,,374,1924,8,26.3
785.0,2.54,-1.2,23.9,283,,383,1973,8,26.2
779.4,2.56,-1.5,23.8,283,,393,2030,8,26.2
774.2,2.58,-1.7,23.8,282,,402,2083,8,26.2
768.8,2.57,-2.0,23.6,281,,412,2139,8,26.2
763.9,2.55,-2.3,23.2,281,,420,2190,8,26.2
759.1,2.67,-2.7,23.2,281,,429,2240,5,26.2
754.1,2.77,-2.8,23.4,282,,438,2292,4,26.1
748.1,2.80,-2.9,23.9,284,,448,2354,4,26.1
743.1,2.81,-3.0,24.6,284,,456,2408,7,26.1
736.1,2.85,-3.4,25.1,284,,466,2483,21,26.1
728.6,2.83,-4.0,25.6,284,,477,2564,25,26.1
723.2,2.92,-4.5,26.1,284,,485,2622,32,26.1
717.3,2.79,-5.3,26.5,284,,494,2687,44,26.1
711.2,2.75,-6.0,26.8,283,,503,2753,49,26.0
704.8,2.72,-6.8,26.7,283,,513,2824,59,26.0
699.8,2.68,-7.3,26.6,281,,522,2879,63,26.0
694.7,2.63,-7.7,26.5,279,,531,2938,67,26.0
688.9,2.58,-7.6,26.6,276,,541,3001,74,26.0
684.2,2.51,-7.5,26.8,275,,550,3055,78,25.9
679.4,2.43,-7.9,27.3,274,,559,3110,76,25.9
674.7,2.36,-8.0,27.8,274,,568,3164,76,25.9
670.0,2.36,-8.2,28.4,275,,577,3219,76,25.9
665.0,2.32,-8.3,28.9,276,,587,3278,76,25.9
660.3,2.28,-8.6,29.5,276,,596,3332,76,25.8
655.0,2.26,-8.9,30.3,276,,606,3395,78,25.8
650.9,2.26,-8.9,31.2,276,,614,3443,78,25.8
645.6,2.21,-9.0,32.0,276,,624,3505,78,25.8
641.7,2.27,-9.3,32.6,277,,632,3552,77,25.8
636.3,2.30,-9.5,33.5,278,,642,3618,79,25.7
631.6,2.19,-9.8,33.7,279,,651,3676,80,25.7
626.7,2.10,-10.2,33.7,280,,660,3736,82,25.7
622.5,2.03,-10.5,33.1,280,,669,3788,81,25.7
617.8,1.98,-10.9,33.2,280,,678,3846,81,25.8
612.4,1.93,-11.4,33.6,280,,688,3913,81,25.8
608.0,1.87,-11.8,34.3,280,,697,3967,82,25.8
