
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a16133

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-05-25,23:34:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
255.7,2,276.9,-1.01,281,2,ZS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.019,26.6,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998.9,2.98,4.8,14.4,292,,0,7,74,29.9
992.5,2.91,4.3,14.7,290,,8,60,74,29.9
987.1,2.94,3.9,15.1,288,,18,104,76,29.9
981.4,2.95,3.5,15.4,287,,28,151,77,29.8
976.1,2.97,3.1,15.8,285,,38,195,79,29.8
971.5,2.95,2.7,16.2,284,,47,233,81,29.8
966.1,2.94,2.2,16.6,282,,57,279,83,29.7
960.5,2.95,1.7,17.0,281,,67,326,86,29.7
954.7,2.95,1.2,17.3,280,,76,374,87,29.7
948.2,2.95,0.8,17.7,279,,86,429,89,29.6
942.0,2.93,0.3,18.0,278,,96,482,91,29.6
936.4,2.91,-0.2,18.4,277,,105,530,93,29.5
930.2,2.89,-0.5,18.8,276,,115,583,94,29.5
924.4,2.88,-0.8,19.2,276,,124,633,94,29.5
918.7,2.87,-1.1,19.8,275,,135,682,95,29.4
914.3,2.85,-1.4,20.1,275,,144,720,96,29.4
909.8,2.85,-1.7,20.1,277,,153,760,96,29.3
903.7,2.83,-2.0,19.9,278,,163,813,96,29.2
897.3,2.80,-2.3,19.8,280,,173,870,96,29.2
892.0,2.78,-2.7,19.8,280,,182,918,96,29.1
886.6,2.78,-3.0,20.1,278,,192,965,95,29.1
881.4,2.75,-3.4,20.3,274,,202,1013,95,29.0
876.3,2.73,-3.3,20.4,268,,211,1058,94,29.0
869.9,2.72,-1.7,20.2,263,,221,1116,86,29.0
864.2,2.72,-0.7,19.7,261,,231,1169,76,28.9
858.5,2.69,-0.4,19.4,262,,241,1222,65,28.8
852.6,2.68,-0.2,19.4,263,,250,1277,55,28.8
846.6,2.70,-0.3,20.0,266,,260,1333,53,28.7
840.9,2.79,-0.4,20.4,267,,269,1387,52,28.7
835.1,2.91,-0.6,20.6,267,,279,1443,50,28.7
829.0,2.98,-0.8,20.7,267,,289,1501,47,28.7
822.9,3.01,-1.0,21.2,267,,299,1559,44,28.7
817.1,2.98,-1.2,21.1,266,,308,1616,44,28.7
810.4,2.96,-1.6,20.8,266,,318,1682,45,28.6
804.6,2.92,-1.9,20.2,266,,327,1739,47,28.6
799.0,2.89,-2.4,20.0,266,,337,1794,45,28.6
793.1,2.85,-2.7,19.9,267,,347,1853,41,28.5
787.0,2.83,-2.9,20.3,268,,357,1914,35,28.5
781.4,2.89,-3.2,20.7,268,,366,1971,28,28.5
774.5,2.91,-3.2,21.0,269,,377,2041,16,28.5
769.1,2.84,-3.0,21.4,271,,386,2095,11,28.5
763.3,2.71,-3.2,22.0,272,,396,2155,9,28.5
758.3,2.70,-3.3,22.9,273,,405,2208,9,28.5
752.4,2.74,-3.6,23.5,274,,415,2270,11,28.5
745.7,2.73,-3.7,23.9,274,,425,2341,12,28.5
739.9,2.68,-4.1,24.1,274,,434,2401,12,28.5
734.0,2.66,-4.5,24.5,274,,444,2465,10,28.5
728.2,2.67,-4.7,24.9,274,,454,2527,8,28.5
722.9,2.68,-5.0,25.2,274,,464,2585,8,28.5
717.8,2.67,-5.4,25.4,276,,473,2639,8,28.5
712.0,2.64,-5.9,25.8,277,,483,2703,9,28.5
706.4,2.62,-6.3,26.4,278,,493,2766,9,28.5
701.7,2.56,-6.6,26.8,280,,502,2818,10,28.5
696.7,2.48,-7.0,27.0,280,,512,2873,11,28.5
691.7,2.45,-7.5,27.2,280,,522,2929,11,28.4
687.2,2.44,-7.9,27.2,281,,532,2980,12,28.4
683.2,2.42,-8.3,27.1,281,,541,3024,13,28.4
678.5,2.37,-8.5,27.0,282,,551,3079,14,28.4
674.8,2.31,-8.8,27.0,283,,560,3122,16,28.4
670.1,2.26,-9.3,27.4,284,,571,3175,16,28.3
666.3,2.22,-9.6,27.6,285,,580,3220,17,28.3
661.7,2.21,-9.9,27.5,287,,590,3272,17,28.2
657.4,2.19,-10.3,27.1,289,,600,3323,17,28.2
652.9,2.18,-10.6,27.0,290,,610,3376,16,28.2
649.3,2.15,-10.9,27.2,290,,619,3418,15,28.1
645.5,2.12,-11.2,27.2,291,,629,3463,15,28.1
641.6,2.10,-11.5,27.1,292,,639,3509,15,28.1
637.9,2.08,-11.9,27.1,292,,649,3554,15,28.0
634.8,2.08,-12.2,27.0,293,,658,3590,15,28.0
631.1,2.06,-12.7,27.1,293,,668,3635,15,28.0
627.3,2.07,-13.0,27.5,294,,678,3682,15,28.0
623.7,2.10,-13.0,27.8,293,,688,3726,13,28.0
620.8,2.13,-13.1,27.5,293,,697,3761,11,27.9
617.5,2.19,-13.2,27.3,293,,706,3801,9,27.9
614.0,2.28,-13.4,27.6,294,,716,3846,7,27.9
610.7,2.33,-13.6,27.8,295,,725,3886,8,27.8
606.8,2.28,-13.8,27.9,296,,735,3934,9,27.8
602.8,2.20,-14.2,27.9,295,,745,3984,9,27.8
599.4,2.12,-14.5,27.6,295,,754,4026,9,27.8
596.1,2.07,-14.9,27.5,294,,764,4068,9,27.8
592.3,2.02,-15.3,27.3,294,,774,4118,9,27.8
588.4,1.99,-15.7,26.5,295,,784,4167,8,27.8
584.7,1.95,-16.1,26.1,296,,794,4215,7,27.8
581.0,1.93,-16.2,26.1,296,,803,4262,7,27.7
576.8,1.90,-16.5,26.0,297,,813,4317,7,27.7
571.6,1.88,-16.9,26.2,296,,823,4384,6,27.7
567.0,1.91,-17.4,26.8,296,,833,4445,6,27.6
563.1,1.95,-17.7,27.1,295,,843,4496,6,27.6
559.7,1.99,-18.0,26.8,295,,852,4542,6,27.6
555.6,2.00,-18.5,27.0,294,,862,4597,6,27.6
551.3,1.95,-18.9,27.7,294,,872,4655,5,27.5
547.6,1.90,-19.2,28.9,294,,882,4705,5,27.5
543.8,1.88,-19.5,29.6,295,,892,4756,5,27.5
539.6,1.84,-19.9,30.1,295,,902,4814,5,27.5
535.6,1.82,-20.3,30.3,295,,911,4870,5,27.5
531.3,1.80,-20.6,30.4,295,,921,4928,5,27.5
527.6,1.78,-21.1,30.3,295,,930,4981,5,27.5
522.8,1.76,-21.6,30.0,296,,941,5047,4,27.4
518.8,1.75,-22.0,29.7,297,,951,5106,4,27.4
515.0,1.76,-22.2,29.2,298,,960,5159,5,27.4
511.2,1.79,-22.7,29.0,298,,970,5212,4,27.4
507.2,1.85,-23.1,29.1,297,,980,5270,4,27.4
502.9,1.89,-23.5,29.8,296,,990,5332,4,27.4
498.5,1.90,-24.0,29.9,296,,1000,5396,4,27.3
494.0,1.97,-24.4,29.9,297,,1010,5462,5,27.3
490.4,2.02,-24.8,29.6,298,,1019,5516,5,27.3
486.4,2.10,-25.2,29.2,298,,1029,5575,5,27.3
