
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a16132

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-06-02,23:27:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
323.5,2,349.6,-0.86,300,2,ZB,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.015,27.4,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
980.4,2.94,4.1,13.9,305,,0,7,65,22.6
974.1,2.94,3.7,14.7,297,,9,59,58,22.6
968.5,2.96,3.1,15.0,293,,18,105,57,22.6
963.0,2.97,2.7,15.4,290,,27,152,58,22.6
957.4,2.98,2.2,15.7,286,,37,199,61,22.6
952.7,3.00,1.8,15.9,283,,46,238,63,22.6
948.6,2.98,1.4,16.0,282,,55,274,64,22.6
944.1,2.97,1.0,16.1,281,,64,312,63,22.5
938.4,2.97,0.5,16.0,281,,74,361,63,22.5
933.3,2.97,0.1,16.0,281,,83,405,64,22.4
927.2,2.95,-0.4,15.8,281,,93,457,63,22.3
922.0,2.95,-0.8,15.7,282,,102,501,64,22.2
915.9,2.93,-1.3,15.7,281,,112,554,70,22.2
910.9,2.90,-1.8,15.6,280,,120,598,74,22.1
904.7,2.90,-2.2,15.7,278,,130,653,71,22.0
899.1,2.90,-2.6,16.0,276,,139,701,65,21.9
894.0,2.89,-2.9,16.4,276,,148,747,65,21.9
888.4,2.88,-3.3,16.7,275,,157,796,64,21.8
882.9,2.88,-3.7,16.9,276,,166,845,64,21.7
876.6,2.86,-4.2,17.0,276,,176,902,63,21.6
870.5,2.84,-4.6,17.0,276,,185,958,63,21.5
