
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a16130

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-06-08,23:15:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
270.3,2,295.4,-0.98,288.5,2,ZB,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.023,27.6,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1007.3,2.94,4.4,6.2,288,,0,7,88,27.3
1000.7,3.04,4.0,8.7,283,,10,61,89,27.4
995.4,3.14,3.6,9.9,278,,19,103,90,27.4
989.5,3.13,3.2,11.1,275,,30,152,91,27.5
985.0,3.14,3.0,11.8,271,,39,189,89,27.5
980.2,3.17,2.8,12.2,266,,48,228,88,27.5
975.3,3.19,2.5,12.0,262,,57,269,86,27.5
971.3,3.16,2.3,12.2,262,,65,302,85,27.6
966.4,3.15,1.9,12.2,264,,75,344,86,27.6
961.3,3.14,1.5,12.1,266,,84,386,86,27.6
954.7,3.07,1.0,11.9,268,,94,441,88,27.7
947.0,3.08,0.4,11.9,269,,105,507,91,27.7
941.0,3.09,-0.2,11.6,270,,114,558,93,27.8
934.5,3.08,-0.7,11.3,270,,124,612,95,27.8
928.0,3.06,-1.0,10.7,272,,134,669,96,27.8
921.8,3.05,-1.1,10.2,274,,144,722,96,27.8
916.6,3.05,-1.1,10.0,274,,153,767,94,27.8
910.0,3.03,-1.0,9.6,274,,164,825,90,27.9
903.6,3.01,-0.9,9.1,277,,174,881,86,27.9
898.2,3.00,-0.9,8.8,278,,183,930,81,27.9
891.4,2.99,-0.8,8.5,279,,194,991,73,28.0
