
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-27,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16127

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-02-01,23:18:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
214.2,2,276.7,-1.11,306.2,0,ZS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.010,27.8,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1000.8,1.43,7.9,7.7,337,,0,7,86,25.5
995.1,1.52,8.1,8.5,333,,9,52,89,25.5
988.5,1.61,8.7,9.2,331,,19,108,90,25.6
982.8,1.63,9.5,9.8,329,,28,156,90,25.6
977.1,1.67,10.4,10.4,327,,38,204,90,25.6
972.0,1.71,10.9,10.9,325,,47,248,90,25.6
965.5,1.75,11.0,11.3,323,,57,304,90,25.6
960.7,1.80,10.9,11.6,322,,66,346,91,25.6
955.4,1.83,10.8,11.9,321,,76,391,91,25.6
950.2,1.85,10.6,12.0,321,,85,438,91,25.7
944.4,1.88,10.3,12.0,320,,95,489,90,25.7
939.1,1.89,10.1,11.9,320,,104,536,90,25.7
932.8,1.91,9.8,11.7,321,,114,592,90,25.8
926.8,1.89,9.6,12.0,320,,123,645,90,25.8
920.4,1.90,9.5,12.9,317,,133,702,90,25.8
915.2,1.91,9.2,13.9,313,,142,750,90,25.8
909.5,1.92,9.0,14.8,309,,152,802,89,25.9
903.5,1.93,8.7,15.5,307,,161,857,88,25.9
898.3,1.91,8.4,16.1,308,,170,905,87,25.9
893.3,1.89,8.0,16.7,309,,180,951,88,25.9
887.5,1.85,7.8,17.0,312,,188,1004,87,25.9
881.7,1.86,7.8,17.5,314,,197,1059,86,26.0
876.5,1.88,7.6,18.1,315,,206,1107,84,26.0
871.5,2.00,7.3,18.7,317,,215,1155,81,26.0
865.8,2.24,7.1,19.3,320,,225,1209,80,26.0
860.5,2.51,7.2,19.7,323,,235,1259,81,26.1
856.2,2.60,7.5,19.8,324,,244,1300,81,26.1
850.8,2.59,7.7,20.2,324,,254,1352,79,26.1
846.3,2.55,7.5,20.7,324,,263,1396,77,26.1
841.3,2.57,7.3,21.4,323,,273,1445,76,26.1
836.7,2.53,7.1,22.3,322,,282,1490,76,26.2
831.5,2.55,6.9,23.5,321,,292,1542,78,26.2
826.8,2.52,6.8,24.9,319,,301,1589,79,26.3
821.8,2.51,6.7,26.2,317,,311,1637,81,26.3
817.0,2.51,6.8,27.3,316,,321,1685,82,26.3
812.0,2.50,6.5,28.0,315,,330,1737,82,26.4
806.4,2.50,6.1,28.4,315,,340,1794,83,26.4
801.7,2.48,5.8,28.6,314,,349,1842,82,26.4
796.0,2.45,5.6,28.7,315,,359,1900,81,26.4
790.9,2.42,5.5,28.8,315,,368,1954,81,26.5
785.3,2.39,5.1,29.1,315,,378,2011,79,26.5
780.4,2.36,4.9,29.7,316,,387,2062,79,26.5
774.3,2.37,5.0,30.4,316,,397,2125,80,26.6
768.9,2.44,4.9,30.8,315,,407,2184,82,26.6
764.2,2.50,4.5,31.0,315,,416,2233,82,26.6
758.9,2.56,4.2,31.0,315,,426,2290,82,26.7
753.7,2.60,3.9,30.6,314,,435,2346,81,26.7
747.7,2.57,3.6,30.0,314,,445,2412,80,26.7
742.7,2.59,3.2,29.4,313,,454,2465,80,26.8
737.3,2.55,3.1,28.9,313,,464,2525,77,26.8
731.3,2.47,2.9,28.9,312,,474,2591,76,26.8
725.8,2.43,2.5,28.8,311,,483,2652,76,26.9
719.9,2.33,2.0,28.5,309,,493,2718,77,26.9
714.8,2.33,1.6,28.3,307,,502,2776,77,26.9
709.1,2.39,1.5,28.4,306,,512,2841,76,27.0
703.6,2.30,1.4,28.6,306,,521,2901,75,27.0
698.1,2.21,1.0,28.7,306,,531,2966,75,27.0
692.5,2.16,0.7,28.9,307,,541,3031,75,27.0
687.4,2.16,0.4,29.1,307,,550,3090,76,27.0
681.7,2.15,0.1,29.8,306,,560,3156,76,27.1
676.5,2.15,0.0,30.7,304,,569,3218,71,27.1
671.2,2.24,0.4,32.1,303,,579,3280,67,27.1
665.7,2.32,0.3,33.7,303,,589,3347,65,27.1
660.8,2.37,0.1,34.8,302,,598,3406,64,27.2
655.5,2.41,-0.2,35.6,303,,608,3470,64,27.2
651.0,2.46,-0.7,36.7,303,,617,3526,64,27.2
645.7,2.49,-1.0,38.3,304,,627,3591,64,27.3
641.3,2.51,-0.8,40.5,304,,637,3645,63,27.3
637.4,2.57,-1.1,41.9,305,,646,3695,63,27.3
632.9,2.57,-1.6,43.6,306,,656,3751,64,27.3
628.4,2.53,-1.4,44.9,308,,665,3808,61,27.4
623.2,2.48,-1.3,45.8,309,,674,3874,57,27.4
618.4,2.54,-1.3,46.3,310,,683,3934,53,27.4
613.6,2.48,-1.5,46.4,311,,693,3998,51,27.4
609.2,2.50,-1.9,46.3,312,,702,4055,50,27.4
604.0,2.50,-2.4,45.8,313,,712,4123,53,27.4
599.4,2.52,-2.9,45.5,313,,721,4183,55,27.4
594.6,2.50,-3.5,45.2,314,,731,4247,58,27.4
589.8,2.47,-4.1,45.1,314,,741,4312,60,27.4
585.3,2.46,-4.7,45.1,314,,749,4372,62,27.4
575.7,2.38,-5.9,45.0,313,,769,4501,67,27.4
572.2,2.37,-6.4,45.0,312,,776,4548,69,27.4
567.8,2.34,-7.0,45.2,312,,785,4609,73,27.4
562.6,2.31,-7.6,45.4,312,,795,4682,76,27.4
557.8,2.32,-8.2,45.7,312,,805,4748,79,27.4
555.2,2.25,-8.4,45.8,312,,810,4784,80,27.4
512.7,2.12,-12.9,43.5,311,,895,5396,77,27.3
509.9,2.15,-13.3,43.4,310,,901,5438,79,27.3
505.5,2.20,-13.9,43.4,310,,910,5504,82,27.3
500.4,2.18,-14.3,43.5,308,,920,5581,86,27.3
495.6,2.16,-14.6,43.7,308,,930,5653,82,27.3
491.4,2.13,-15.2,43.9,307,,939,5718,82,27.3
486.9,2.12,-15.6,44.3,307,,949,5788,83,27.3
481.7,2.12,-16.1,44.7,307,,959,5867,84,27.3
477.5,2.11,-16.7,44.8,307,,968,5934,84,27.3
473.3,2.11,-17.2,44.6,307,,978,6000,85,27.3
469.4,2.08,-17.5,44.4,308,,987,6062,81,27.3
465.1,2.09,-17.7,44.0,308,,997,6130,77,27.2
460.5,2.08,-18.1,43.4,308,,1007,6205,74,27.2
456.6,2.04,-18.4,43.0,309,,1016,6268,72,27.2
452.6,2.05,-18.6,43.0,310,,1026,6334,70,27.2
450.1,2.03,-19.0,43.2,310,,1032,6376,69,27.2
443.0,1.98,-19.7,44.4,310,,1048,6493,69,27.2
440.9,1.93,-19.8,44.7,310,,1053,6529,69,27.2
436.9,1.86,-20.3,45.1,311,,1063,6597,70,27.2
433.0,1.81,-20.8,44.9,312,,1073,6663,71,27.2
429.4,1.77,-21.4,44.7,312,,1082,6724,72,27.2
425.1,1.77,-22.0,44.7,312,,1092,6799,74,27.2
421.1,1.73,-22.4,44.6,312,,1102,6867,74,27.2
417.8,1.72,-22.9,44.4,312,,1111,6925,73,27.2
414.2,1.70,-23.4,44.5,313,,1121,6989,73,27.2
410.3,1.70,-24.0,44.7,313,,1131,7058,74,27.2
406.3,1.67,-24.6,45.2,313,,1140,7130,76,27.2
402.3,1.65,-25.1,45.9,312,,1150,7201,76,27.2
399.2,1.63,-25.5,46.3,312,,1159,7257,75,27.2
396.0,1.61,-25.9,46.5,313,,1168,7316,75,27.2
392.8,1.57,-26.5,46.5,313,,1177,7373,74,27.2
389.1,1.55,-27.0,46.2,312,,1187,7443,71,27.2
385.0,1.55,-27.6,45.8,311,,1197,7519,69,27.2
381.7,1.54,-27.9,45.9,311,,1206,7580,64,27.1
378.0,1.52,-28.4,46.6,311,,1216,7649,65,27.1
374.3,1.52,-29.0,47.1,311,,1226,7720,68,27.1
371.1,1.50,-29.6,47.6,311,,1235,7782,70,27.1
367.5,1.50,-30.1,48.3,310,,1245,7851,69,27.1
363.8,1.46,-30.6,48.7,310,,1255,7922,70,27.1
360.4,1.43,-31.0,48.9,311,,1265,7990,69,27.1
357.5,1.39,-31.5,49.0,311,,1274,8047,69,27.1
354.2,1.35,-31.9,49.5,312,,1284,8111,68,27.1
350.4,1.32,-32.4,50.5,312,,1294,8189,67,27.1
347.1,1.31,-33.1,51.8,313,,1303,8254,63,27.0
343.6,1.35,-33.6,53.1,313,,1313,8325,59,27.0
340.4,1.34,-33.8,54.1,313,,1323,8392,61,27.0
337.5,1.31,-34.2,55.0,314,,1332,8450,63,27.0
333.8,1.27,-34.7,55.9,314,,1342,8527,65,27.0
330.2,1.24,-35.3,56.6,314,,1352,8604,65,27.0
327.2,1.22,-35.6,56.9,314,,1362,8666,63,27.0
324.5,1.21,-36.1,56.8,314,,1371,8725,62,27.0
321.6,1.22,-36.6,56.3,314,,1381,8787,60,27.0
318.6,1.22,-37.1,56.0,315,,1391,8852,55,27.0
315.5,1.25,-37.7,56.2,315,,1400,8919,51,27.0
256.9,0.85,-48.0,65.7,313,,1598,10301,58,26.7
255.4,0.84,-48.3,65.8,313,,1604,10337,58,26.7
253.6,0.83,-48.7,65.8,314,,1612,10386,58,26.7
251.6,0.82,-49.1,65.6,314,,1620,10438,57,26.7
249.7,0.83,-49.5,65.4,314,,1628,10488,55,26.6
248.2,0.84,-49.9,65.2,314,,1634,10529,55,26.6
241.0,0.87,-51.7,64.6,314,,1663,10718,51,26.6
239.3,0.87,-52.1,65.0,313,,1670,10764,51,26.5
237.3,0.87,-52.7,65.4,313,,1679,10818,50,26.5
235.1,0.87,-53.2,65.1,313,,1689,10877,49,26.5
233.0,0.88,-53.7,64.7,313,,1699,10935,47,26.5
230.6,0.89,-54.2,64.5,313,,1709,11000,46,26.4
228.9,0.91,-54.5,64.0,314,,1719,11050,44,26.4
227.4,0.93,-54.8,63.3,314,,1728,11094,43,26.4
225.3,1.02,-55.3,62.8,314,,1738,11150,41,26.3
223.3,1.16,-55.6,62.7,314,,1748,11208,39,26.3
221.5,1.23,-55.9,63.0,314,,1758,11258,36,26.3
220.1,1.30,-56.1,63.4,314,,1767,11300,35,26.2
218.3,1.39,-56.2,63.9,314,,1777,11349,34,26.2
216.4,1.44,-56.6,64.7,313,,1787,11406,33,26.2
214.6,1.47,-56.6,65.6,312,,1797,11458,31,26.2
213.2,1.50,-56.6,66.2,311,,1806,11499,31,26.2
211.6,1.54,-56.6,66.6,310,,1816,11548,29,26.1
209.9,1.62,-56.7,66.5,310,,1826,11597,28,26.1
208.1,1.71,-56.9,66.1,309,,1836,11653,27,26.1
206.2,1.84,-57.0,65.5,309,,1846,11710,26,26.1
204.8,1.94,-57.2,65.1,309,,1854,11753,25,26.1
203.6,2.03,-57.1,65.0,308,,1861,11789,25,26.0
202.5,2.14,-57.0,64.8,308,,1868,11826,24,26.0
200.6,2.26,-56.6,64.2,308,,1878,11884,22,26.0
168.4,4.93,-54.1,42.0,303,,2095,13003,1,25.5
167.4,4.92,-53.9,41.2,303,,2103,13039,0,25.5
166.5,4.93,-53.8,40.4,304,,2111,13076,0,25.5
165.4,4.95,-53.3,39.4,306,,2121,13118,0,25.5
164.3,4.95,-52.9,38.8,307,,2131,13161,0,25.5
154.8,4.93,-52.5,42.0,318,,2213,13543,0,25.3
154.1,4.96,-52.2,42.7,319,,2220,13572,-1,25.3
153.1,4.98,-52.0,43.2,319,,2228,13614,-1,25.3
139.3,5.12,-51.4,49.4,304,,2355,14227,-2,25.0
138.7,5.17,-51.4,49.4,303,,2361,14255,-2,25.0
137.8,5.19,-51.4,49.1,302,,2370,14298,-2,24.9
136.6,5.19,-51.5,48.5,300,,2380,14352,-2,24.9
135.7,5.18,-51.6,47.5,298,,2390,14398,-2,24.9
134.7,5.20,-51.8,46.3,296,,2400,14445,-2,24.9
133.6,5.18,-51.8,44.7,295,,2410,14498,-2,24.9
132.7,5.21,-51.8,43.6,294,,2419,14542,-2,24.9
131.7,5.22,-51.7,42.5,293,,2429,14588,-2,24.8
130.9,5.22,-51.6,42.0,293,,2437,14627,-2,24.8
129.9,5.22,-51.7,41.1,292,,2446,14678,-2,24.8
128.8,5.25,-51.7,40.0,291,,2455,14735,-2,24.8
127.2,5.40,-51.9,38.2,289,,2465,14812,-2,24.8
125.8,5.44,-52.4,36.6,288,,2475,14883,-2,24.8
124.8,5.43,-52.9,35.2,288,,2485,14938,-2,24.7
124.0,5.42,-53.2,34.1,288,,2494,14980,-2,24.7
123.1,5.43,-53.1,33.0,288,,2504,15023,-2,24.7
122.3,5.40,-53.2,32.1,289,,2514,15068,-2,24.7
121.4,5.37,-53.4,31.3,290,,2524,15115,-2,24.7
120.6,5.32,-53.7,30.8,291,,2533,15157,-2,24.6
119.8,5.27,-53.9,30.0,292,,2543,15198,-2,24.6
119.1,5.18,-54.1,29.1,293,,2553,15239,-2,24.6
118.3,5.11,-54.2,28.6,295,,2562,15276,-2,24.6
117.5,5.09,-54.2,28.3,298,,2573,15325,-2,24.6
116.7,5.05,-54.4,28.5,300,,2582,15365,-2,24.6
115.8,5.05,-54.3,29.1,302,,2592,15412,-2,24.5
115.0,5.16,-53.9,30.1,302,,2602,15459,-2,24.5
114.2,5.41,-53.4,30.6,300,,2612,15502,-2,24.5
113.5,5.69,-53.0,30.6,297,,2621,15545,-2,24.5
112.6,5.88,-52.8,30.9,294,,2631,15592,-2,24.5
111.8,6.05,-52.6,31.5,292,,2641,15637,-2,24.5
111.0,6.12,-52.4,31.3,291,,2651,15686,-2,24.4
110.1,6.13,-52.3,30.3,291,,2661,15736,-2,24.4
109.2,6.17,-51.9,28.8,293,,2670,15790,-2,24.4
107.0,6.40,-51.0,23.5,302,,2697,15920,-2,24.3
106.4,6.57,-50.4,22.9,305,,2705,15958,-2,24.3
105.8,6.69,-50.2,23.0,306,,2714,16001,-2,24.3
105.0,6.80,-50.4,23.6,308,,2724,16049,-2,24.3
104.3,6.84,-50.5,24.4,308,,2734,16093,-2,24.3
103.6,6.88,-50.8,25.3,306,,2743,16137,-2,24.3
102.7,6.91,-51.2,26.5,306,,2754,16189,-2,24.2
102.1,6.96,-51.3,27.5,306,,2763,16231,-2,24.2
101.4,7.00,-51.2,28.2,306,,2773,16276,-2,24.2
100.6,7.01,-51.0,28.2,305,,2783,16321,-2,24.2
99.9,6.94,-50.6,27.6,304,,2793,16366,-2,24.1
99.4,6.87,-50.3,26.9,303,,2800,16398,-2,24.1
98.8,6.85,-50.0,25.6,302,,2809,16444,-2,24.1
98.1,6.78,-50.1,24.8,300,,2817,16486,-2,24.1
97.3,6.71,-50.4,24.0,297,,2827,16541,-2,24.1
96.5,6.65,-50.7,23.4,296,,2837,16595,-2,24.1
95.8,6.61,-50.9,22.8,295,,2846,16637,-2,24.0
95.4,6.55,-51.1,22.2,295,,2854,16671,-2,24.0
93.9,6.58,-51.5,20.3,298,,2875,16771,-2,24.0
93.5,6.55,-51.6,19.9,299,,2881,16797,-2,24.0
92.9,6.54,-51.8,19.5,302,,2890,16842,-2,24.0
