
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-27,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16161

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-04-05,23:44:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
237.9,2,257.5,-0.99,256,0,ZS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.008,28.7,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
993.3,2.35,5.1,15.3,275,,-1,0,65,31.0
986.3,2.23,4.5,16.2,274,,8,57,62,31.0
980.6,2.20,4.0,16.6,273,,17,104,62,31.1
975.7,2.18,3.6,16.9,273,,26,144,63,31.1
970.9,2.20,3.2,17.3,273,,35,186,64,31.1
966.0,2.19,2.8,17.7,273,,44,226,66,31.2
960.9,2.19,2.4,17.9,272,,53,269,68,31.2
955.5,2.20,2.0,18.3,272,,62,314,70,31.2
950.5,2.19,1.6,18.6,272,,71,357,71,31.3
945.1,2.20,1.2,19.0,272,,80,403,72,31.3
940.8,2.16,0.8,19.3,271,,88,439,73,31.3
935.3,2.15,0.3,19.6,271,,97,486,75,31.3
929.9,2.16,-0.1,19.9,271,,106,533,77,31.4
924.1,2.15,-0.6,20.2,271,,115,583,79,31.4
918.1,2.13,-1.1,20.6,271,,124,634,79,31.4
911.8,2.12,-1.6,20.8,271,,133,690,80,31.4
905.8,2.11,-2.1,21.1,270,,142,742,82,31.4
900.5,2.15,-2.6,21.3,270,,151,789,85,31.5
895.7,2.16,-3.0,21.6,270,,160,832,89,31.5
890.0,2.09,-3.4,21.9,271,,169,882,87,31.5
883.3,2.05,-3.5,22.1,271,,179,942,82,31.5
877.6,2.04,-3.9,22.3,271,,187,993,82,31.5
870.6,2.11,-4.5,22.5,271,,197,1056,83,31.6
864.3,2.05,-5.0,22.7,271,,206,1113,84,31.6
852.6,2.01,-5.3,22.8,273,,225,1221,80,31.6
849.1,2.02,-5.4,22.8,273,,231,1252,74,31.6
843.5,2.01,-5.8,22.9,273,,240,1305,66,31.7
837.9,1.98,-6.0,23.1,273,,249,1356,53,31.7
832.4,1.99,-5.9,23.3,273,,258,1408,41,31.8
826.4,2.00,-6.0,23.6,273,,268,1465,39,31.8
821.1,2.01,-6.5,23.7,274,,277,1515,40,31.8
815.1,2.02,-6.8,23.8,274,,287,1572,42,31.8
809.8,1.97,-7.2,23.9,274,,296,1624,42,31.8
804.7,1.98,-7.7,24.1,274,,305,1673,42,31.9
799.4,1.98,-8.1,24.5,274,,314,1724,42,31.9
793.2,2.02,-8.5,25.1,274,,325,1785,42,31.9
788.3,1.99,-8.7,25.4,274,,334,1832,44,31.9
783.8,1.97,-9.0,25.6,275,,343,1877,45,31.9
779.4,1.99,-9.4,25.6,275,,352,1920,46,31.9
774.9,1.97,-9.8,25.8,275,,361,1965,47,32.0
768.6,1.94,-10.3,26.0,276,,372,2028,47,32.0
763.7,1.92,-10.7,26.1,276,,381,2076,48,32.0
758.7,1.91,-11.0,26.2,277,,390,2128,49,32.0
754.1,1.90,-11.4,26.5,278,,399,2174,49,32.0
749.1,1.91,-11.8,26.9,279,,409,2226,50,32.1
743.9,1.88,-12.1,27.2,280,,418,2277,51,32.1
739.0,1.85,-12.5,27.6,281,,428,2328,52,32.1
734.3,1.82,-12.7,28.0,282,,437,2378,51,32.1
729.7,1.82,-12.9,28.5,283,,446,2425,50,32.1
725.0,1.81,-13.2,28.9,284,,455,2475,50,32.2
720.5,1.80,-13.5,29.3,284,,463,2522,50,32.2
715.5,1.77,-13.8,29.9,284,,472,2575,48,32.2
710.5,1.77,-14.0,30.7,285,,482,2628,43,32.2
705.5,1.80,-14.3,31.4,285,,492,2681,44,32.2
701.2,1.79,-14.8,32.2,285,,501,2728,46,32.2
696.6,1.79,-15.2,32.9,285,,510,2778,48,32.2
691.8,1.77,-15.6,33.8,285,,520,2830,51,32.2
686.9,1.81,-16.0,34.9,286,,530,2883,53,32.2
682.2,1.85,-16.2,35.8,286,,539,2935,53,32.3
678.1,1.94,-16.3,36.8,286,,548,2980,56,32.3
672.8,2.04,-16.5,38.1,287,,559,3039,60,32.3
668.7,2.13,-16.4,39.2,288,,568,3084,63,32.3
665.1,2.23,-16.0,40.1,289,,576,3126,66,32.4
661.3,2.38,-15.3,41.2,290,,585,3170,70,32.4
657.5,2.51,-14.4,42.4,291,,594,3213,70,32.4
653.2,2.55,-13.8,44.0,293,,604,3262,72,32.4
649.3,2.44,-12.9,45.2,295,,613,3308,75,32.4
645.1,2.24,-12.6,46.1,297,,623,3357,74,32.4
641.0,2.11,-12.7,46.4,299,,632,3406,74,32.4
637.3,2.02,-13.1,46.5,301,,642,3450,73,32.4
633.3,1.95,-13.4,46.2,302,,652,3498,72,32.4
629.8,1.88,-13.8,46.0,303,,661,3540,72,32.4
625.8,1.87,-14.2,46.0,303,,671,3588,72,32.4
622.6,1.86,-14.5,46.1,303,,680,3628,73,32.5
619.1,1.85,-14.9,46.1,303,,690,3671,73,32.5
615.8,1.87,-15.2,45.9,303,,700,3711,74,32.5
612.3,1.88,-15.5,45.6,303,,710,3754,75,32.6
609.1,1.86,-15.8,45.1,303,,719,3793,75,32.6
606.1,1.87,-16.2,44.9,303,,729,3831,75,32.6
602.8,1.85,-16.5,44.8,304,,739,3871,76,32.6
599.7,1.83,-16.6,44.5,304,,749,3909,76,32.7
596.8,1.81,-16.9,44.5,305,,759,3946,75,32.7
594.1,1.80,-17.1,44.7,306,,768,3981,75,32.7
590.8,1.79,-17.3,45.2,307,,778,4022,76,32.7
588.3,1.78,-17.5,46.0,308,,787,4054,76,32.8
585.2,1.72,-17.5,47.0,309,,797,4092,77,32.8
582.4,1.67,-17.4,47.9,309,,807,4130,76,32.8
579.3,1.64,-17.5,48.8,310,,817,4170,76,32.9
576.2,1.60,-17.7,49.7,309,,827,4210,76,32.9
573.5,1.59,-17.7,50.4,309,,836,4244,76,32.9
570.6,1.55,-17.7,51.1,309,,846,4283,76,33.0
567.7,1.50,-17.8,51.7,309,,855,4321,76,33.0
564.2,1.56,-18.0,52.4,308,,866,4365,76,33.0
561.5,1.53,-18.0,52.9,308,,875,4403,76,33.1
558.3,1.50,-18.1,53.4,307,,885,4445,75,33.1
555.5,1.46,-18.2,54.0,307,,895,4483,75,33.1
552.9,1.45,-18.3,54.4,306,,904,4517,74,33.2
549.9,1.43,-18.5,54.9,305,,915,4558,74,33.2
547.6,1.43,-18.8,55.2,305,,924,4590,74,33.2
544.9,1.43,-19.0,55.3,304,,934,4625,74,33.2
542.2,1.43,-19.2,55.5,304,,944,4663,74,33.3
539.8,1.42,-19.5,55.2,305,,953,4695,73,33.3
536.9,1.43,-19.7,54.9,305,,963,4737,73,33.3
534.0,1.41,-20.0,54.7,305,,973,4777,73,33.3
531.5,1.42,-20.2,54.6,305,,982,4811,73,33.3
528.9,1.42,-20.5,54.3,305,,992,4848,73,33.3
526.2,1.40,-20.7,54.3,305,,1002,4885,73,33.3
523.6,1.38,-20.9,54.3,305,,1012,4922,73,33.4
520.9,1.38,-21.2,54.5,305,,1022,4959,73,33.4
518.8,1.38,-21.4,54.8,304,,1031,4990,72,33.5
516.5,1.39,-21.6,55.2,304,,1041,5022,72,33.5
