
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-27,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16174

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-05-17,23:29:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
238.4,2,254.1,-0.96,245,0,ZB,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.012,28.0,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1006.9,1.86,6.6,14.4,320,,0,7,83,23.0
1002.4,2.28,6.2,15.9,316,,10,43,86,23.0
998.8,2.39,6.1,16.9,313,,17,72,87,23.1
987.1,2.02,5.4,19.7,306,,39,168,91,23.2
984.2,2.01,5.3,20.4,305,,45,193,92,23.2
980.5,1.96,5.0,21.4,302,,54,223,92,23.3
975.6,1.99,5.0,22.5,300,,65,265,93,23.3
971.4,1.96,4.8,23.2,298,,74,301,93,23.4
966.3,1.98,4.6,23.9,296,,83,342,93,23.4
961.2,1.95,4.4,24.6,294,,92,386,93,23.5
955.2,1.97,4.2,25.8,293,,102,437,93,23.5
950.3,2.00,3.9,26.3,292,,111,479,93,23.5
944.4,2.04,3.6,26.6,291,,121,529,93,23.6
939.4,2.10,3.3,26.6,291,,130,573,93,23.6
934.6,2.15,3.1,26.4,290,,139,613,93,23.6
929.4,2.17,2.9,26.1,289,,149,659,92,23.7
924.0,2.23,2.8,25.7,289,,159,706,92,23.7
919.2,2.22,2.5,25.5,289,,168,749,92,23.7
914.2,2.23,2.3,25.4,289,,177,793,91,23.7
908.6,2.21,2.1,25.2,290,,187,842,91,23.8
903.5,2.22,1.7,25.2,290,,196,888,91,23.8
898.0,2.25,1.4,25.3,290,,206,936,91,23.8
893.1,2.29,1.1,25.5,290,,215,982,92,23.8
888.1,2.30,0.9,25.7,290,,224,1026,91,23.8
882.5,2.29,0.7,25.9,291,,235,1078,90,23.8
877.5,2.27,0.4,26.3,292,,244,1123,89,23.8
872.7,2.26,0.3,26.4,293,,252,1167,86,23.8
866.6,2.30,0.6,26.2,294,,263,1223,72,23.9
861.6,2.36,0.8,25.8,293,,273,1270,61,23.9
857.3,2.42,1.0,25.5,293,,282,1309,49,23.9
852.7,2.47,1.0,25.3,292,,291,1352,46,23.9
848.9,2.52,0.9,25.2,292,,299,1388,46,23.9
844.6,2.59,1.1,25.4,292,,308,1430,49,24.0
840.7,2.65,1.1,25.5,292,,316,1467,53,24.0
835.7,2.70,1.0,25.5,293,,326,1515,56,24.1
