
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-27,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16102

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-08-16,23:16:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
278.9,2,348.5,-0.98,341,0,DS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.013,28.1,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003.9,3.23,2.0,10.1,267,,-1,0,77,26.6
997.5,3.26,1.6,11.7,265,,8,52,77,26.7
991.8,3.21,1.3,12.9,262,,18,98,77,26.7
987.1,3.27,1.0,13.6,257,,27,137,78,26.7
982.9,3.36,0.8,14.1,253,,36,171,78,26.8
978.8,3.38,0.4,14.6,251,,46,205,79,26.8
974.6,3.35,0.2,15.2,251,,56,239,79,26.8
969.6,3.35,-0.1,16.1,251,,66,280,78,26.8
966.1,3.37,-0.3,16.5,251,,74,309,78,26.8
961.2,3.37,-0.7,16.4,252,,84,349,79,26.8
956.1,3.31,-1.1,16.1,254,,94,393,80,26.8
951.2,3.32,-1.5,16.2,255,,103,433,82,26.9
946.2,3.32,-1.9,16.4,257,,112,475,84,26.9
941.1,3.31,-2.2,17.0,257,,122,518,85,26.9
936.4,3.31,-2.3,17.4,257,,131,558,80,26.9
931.8,3.31,-2.5,17.7,257,,140,597,80,27.0
927.1,3.30,-3.0,17.8,256,,150,638,83,27.0
922.4,3.27,-3.2,17.5,256,,159,677,81,27.0
917.9,3.27,-3.3,17.4,257,,168,716,77,27.0
911.7,3.22,-3.7,17.4,258,,179,770,80,27.1
906.1,3.23,-4.1,17.2,258,,189,818,82,27.1
901.2,3.21,-4.5,17.1,258,,198,861,84,27.1
896.0,3.19,-4.8,17.2,256,,208,906,83,27.1
