
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-27,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16104

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,7.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-09-06,23:21:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
360.3,2,385.6,-0.95,367.2,0,DS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.007,26.8,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1013.0,2.95,3.5,6.7,311,,0,7,78,28.3
1008.2,3.02,3.4,4.4,318,,9,45,80,28.3
1001.9,3.04,3.4,3.8,324,,20,96,81,28.4
996.4,3.11,3.3,3.4,328,,29,141,81,28.4
991.5,3.17,2.9,3.1,331,,38,181,82,28.4
986.6,3.18,2.7,2.8,333,,47,220,83,28.4
981.1,3.18,3.1,2.6,334,,56,265,79,28.4
976.3,3.28,4.7,2.6,333,,65,306,66,28.4
971.1,3.31,5.2,2.7,330,,75,350,62,28.4
966.6,3.38,5.4,2.9,325,,83,387,57,28.4
960.9,3.46,5.7,3.3,319,,92,436,52,28.4
955.1,3.46,5.7,3.9,309,,101,485,49,28.4
949.3,3.51,5.5,4.5,299,,110,535,47,28.4
942.8,3.57,5.1,6.0,287,,120,591,47,28.4
937.0,3.55,4.9,6.9,283,,129,641,46,28.4
931.1,3.51,4.8,7.7,287,,139,693,44,28.4
926.1,3.57,4.6,8.0,291,,147,737,43,28.4
921.1,3.58,4.5,8.4,292,,156,781,42,28.4
915.6,3.60,4.4,8.9,292,,165,830,42,28.4
910.6,3.54,4.4,9.5,289,,173,874,40,28.4
906.9,3.53,4.3,9.9,288,,179,907,46,28.4
902.0,3.47,3.9,10.2,288,,187,952,57,28.4
897.0,3.39,3.8,10.4,288,,195,997,61,28.4
891.1,3.35,3.8,10.1,286,,205,1050,60,28.4
886.4,3.28,3.8,9.6,282,,213,1093,57,28.4
880.8,3.24,3.6,8.9,281,,222,1144,56,28.4
875.6,3.23,3.4,8.2,281,,231,1193,55,28.4
870.1,3.22,3.0,7.7,282,,240,1244,56,28.4
864.5,3.19,2.5,7.1,284,,249,1296,56,28.4
859.2,3.17,2.3,6.7,286,,258,1345,56,28.5
853.9,3.17,2.0,6.7,285,,267,1396,56,28.5
848.2,3.16,1.6,7.2,283,,276,1450,56,28.5
842.5,3.16,1.3,7.4,281,,285,1505,56,28.5
836.4,3.15,1.0,7.2,277,,294,1562,52,28.5
830.6,3.18,0.7,7.1,274,,303,1618,50,28.5
825.2,3.23,0.6,7.2,272,,312,1671,47,28.5
819.5,3.32,0.7,7.6,272,,321,1726,43,28.5
813.8,3.36,0.7,7.5,272,,330,1783,40,28.5
808.2,3.38,0.6,7.0,277,,339,1837,39,28.5
803.0,3.36,0.4,6.3,280,,348,1889,38,28.5
797.5,3.37,0.2,6.3,279,,358,1945,31,28.5
792.8,3.39,0.3,6.3,275,,366,1992,23,28.5
787.4,3.42,0.1,6.8,270,,375,2047,24,28.5
782.5,3.36,-0.2,7.5,267,,384,2096,24,28.5
777.7,3.36,-0.0,7.9,265,,393,2145,21,28.5
772.8,3.35,-0.0,8.3,265,,402,2196,18,28.5
768.1,3.34,-0.3,8.4,267,,411,2245,18,28.5
763.1,3.32,-0.7,8.8,268,,420,2297,19,28.5
758.2,3.29,-1.0,9.3,268,,429,2349,21,28.5
753.2,3.22,-1.3,10.0,265,,438,2401,22,28.5
748.3,3.12,-1.4,10.5,265,,447,2454,20,28.5
743.3,3.04,-1.4,10.8,265,,456,2506,17,28.5
738.4,2.98,-1.3,11.1,267,,465,2559,15,28.5
733.9,2.93,-1.4,11.0,268,,474,2608,13,28.5
729.6,2.90,-1.6,10.8,267,,482,2655,13,28.5
725.4,2.85,-1.8,10.9,265,,491,2700,12,28.5
720.9,2.89,-1.9,11.1,264,,500,2750,12,28.5
716.1,2.99,-2.1,11.3,263,,509,2803,11,28.5
711.0,3.11,-2.1,11.3,263,,519,2860,9,28.5
706.9,3.17,-2.1,11.1,263,,527,2905,9,28.5
702.5,3.26,-2.3,11.0,262,,536,2955,9,28.5
698.3,3.35,-2.6,11.0,262,,545,3003,9,28.5
694.2,3.43,-2.9,11.2,260,,554,3050,10,28.5
689.3,3.37,-3.3,11.2,259,,564,3105,14,28.5
685.1,3.26,-3.6,11.2,259,,572,3152,14,28.5
