
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-04-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a16074

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-01-04,23:31:46

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
271.6,2,315.8,-1.01,320.5,0,DS,Dobson (Beck),12

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.128,29.7,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
989.4,1.31,5.6,7.2,241,,0,6,71,31.9
983.8,1.38,4.3,8.6,231,,9,52,57,31.9
976.6,1.33,3.8,10.0,222,,18,112,60,31.9
967.8,1.31,3.0,11.3,214,,27,185,61,31.9
958.2,1.36,2.1,12.7,209,,38,266,66,32.0
948.9,1.31,1.4,13.8,208,,48,345,69,32.0
938.4,1.28,0.6,14.5,212,,58,434,73,32.1
927.4,1.26,-0.4,15.2,221,,68,528,78,32.1
915.5,1.27,-1.4,16.5,228,,78,632,83,32.1
905.0,1.27,-2.3,18.4,231,,89,724,84,32.1
898.6,1.28,-2.8,19.4,230,,98,780,85,32.1
892.9,1.28,-3.0,19.3,229,,107,829,86,32.2
887.1,1.26,-3.3,18.1,229,,118,882,86,32.2
882.2,1.27,-3.6,17.2,233,,128,925,83,32.2
878.6,1.28,-4.0,16.8,234,,137,958,83,32.2
873.8,1.30,-4.2,16.7,233,,147,1001,82,32.3
870.1,1.28,-4.5,16.8,232,,156,1035,85,32.3
865.5,1.29,-4.8,17.2,231,,165,1077,85,32.3
860.9,1.26,-5.0,17.8,232,,176,1118,84,32.3
857.1,1.27,-5.1,17.9,233,,185,1153,84,32.3
852.7,1.26,-5.4,18.0,231,,196,1193,84,32.4
