
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-04-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a16144

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-04-04,23:28:01

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
270.2,2,297.2,-1.02,303,0,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.023,27.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003.8,1.95,5.8,4.6,100,,0,6,81,27.5
997.1,2.11,4.4,5.3,92,,10,60,77,27.6
990.4,2.16,3.9,4.5,88,,20,116,80,27.6
984.5,2.21,3.4,4.0,93,,30,164,82,27.6
978.3,2.24,2.9,3.9,98,,40,215,84,27.6
972.4,2.27,2.5,3.8,95,,50,264,86,27.6
966.6,2.30,2.0,3.9,87,,60,313,90,27.6
961.0,2.29,1.5,4.1,77,,69,359,91,27.6
954.8,2.30,1.1,4.4,66,,79,411,91,27.6
947.6,2.29,0.7,4.3,58,,89,472,90,27.6
941.4,2.28,0.3,3.9,58,,99,525,91,27.6
934.8,2.25,-0.2,3.5,68,,109,581,92,27.6
928.3,2.26,-0.6,3.2,79,,119,637,95,27.6
921.9,2.26,-1.1,2.5,83,,129,692,96,27.6
915.2,2.25,-1.5,1.8,71,,139,751,97,27.6
907.9,2.22,-1.9,1.7,49,,149,814,97,27.6
901.5,2.23,-2.2,1.3,26,,159,871,98,27.6
895.1,2.23,-2.5,1.5,320,,169,927,97,27.6
888.6,2.21,-1.9,3.5,297,,179,985,86,27.6
882.2,2.20,-2.0,5.4,300,,189,1043,85,27.6
876.0,2.19,-2.2,6.4,308,,199,1099,84,27.6
869.7,2.18,-2.6,6.5,315,,209,1156,84,27.6
862.8,2.17,-3.2,7.0,321,,219,1218,87,27.6
856.9,2.18,-3.6,8.2,326,,229,1273,88,27.6
850.5,2.16,-4.2,9.4,329,,239,1333,90,27.5
844.3,2.13,-4.7,9.9,330,,249,1390,93,27.5
839.2,2.12,-5.0,9.8,331,,258,1438,95,27.5
833.4,2.11,-5.4,9.6,332,,268,1492,96,27.5
827.4,2.10,-5.9,9.8,334,,278,1550,96,27.5
822.0,2.08,-4.9,9.6,333,,287,1600,88,27.5
816.1,2.07,-5.1,8.5,331,,297,1657,81,27.5
809.7,2.06,-5.4,7.4,326,,307,1719,73,27.5
804.0,2.06,-5.8,6.8,325,,317,1773,65,27.5
798.2,2.07,-6.1,6.7,329,,327,1831,58,27.5
793.0,2.07,-6.0,6.9,331,,337,1882,45,27.5
787.5,2.08,-6.1,6.9,325,,347,1936,47,27.5
781.9,2.13,-5.3,6.1,319,,357,1992,24,27.5
776.2,2.17,-4.5,4.8,320,,367,2051,10,27.5
770.3,2.23,-4.8,3.8,321,,377,2109,8,27.5
764.7,2.22,-5.0,3.8,316,,387,2167,8,27.5
759.5,2.15,-5.4,4.3,313,,397,2220,8,27.5
754.3,2.16,-5.4,4.8,310,,407,2275,5,27.5
748.9,2.23,-5.5,5.1,304,,417,2331,5,27.5
742.8,2.19,-5.9,5.4,304,,427,2395,8,27.5
737.2,2.17,-6.1,6.1,311,,437,2455,8,27.5
732.2,2.17,-6.3,7.0,316,,447,2508,8,27.5
726.8,2.20,-6.6,7.8,323,,457,2564,12,27.5
721.3,2.24,-7.1,8.4,330,,467,2623,20,27.5
716.3,2.28,-7.6,8.2,335,,477,2678,22,27.5
710.8,2.31,-8.0,6.7,336,,487,2738,22,27.5
705.8,2.29,-8.3,5.4,336,,497,2794,26,27.5
700.8,2.27,-8.7,5.7,333,,507,2848,30,27.5
695.3,2.24,-9.2,6.7,328,,517,2909,31,27.5
690.0,2.21,-9.5,7.1,322,,527,2969,33,27.5
685.0,2.20,-9.4,6.9,314,,537,3023,25,27.4
680.1,2.22,-9.0,7.2,308,,547,3079,25,27.4
675.4,2.24,-8.6,7.4,308,,557,3134,13,27.4
670.8,2.31,-8.4,7.4,313,,567,3187,8,27.4
666.6,2.39,-8.4,7.2,314,,576,3235,6,27.4
661.6,2.47,-8.3,7.0,305,,586,3293,5,27.4
657.0,2.57,-8.1,7.2,296,,596,3348,4,27.4
652.2,2.67,-8.1,7.2,296,,606,3405,3,27.4
647.2,2.78,-8.4,7.2,299,,616,3464,2,27.4
642.6,2.81,-8.4,7.7,299,,626,3519,3,27.4
637.9,2.76,-8.9,8.3,300,,636,3576,5,27.4
633.6,2.70,-9.4,8.1,304,,646,3628,6,27.4
629.0,2.63,-9.8,7.5,308,,656,3685,7,27.4
624.2,2.55,-10.1,7.1,314,,666,3743,10,27.4
619.1,2.46,-10.5,6.7,318,,676,3807,14,27.3
614.4,2.36,-10.9,6.3,319,,686,3866,18,27.3
609.8,2.32,-11.4,6.3,319,,696,3923,23,27.3
605.0,2.27,-11.9,6.5,319,,706,3983,26,27.3
600.6,2.24,-12.4,6.2,316,,716,4040,24,27.3
595.7,2.22,-12.9,5.2,308,,726,4101,23,27.3
591.0,2.19,-13.4,4.7,303,,736,4162,24,27.2
586.3,2.15,-13.9,5.3,308,,746,4223,28,27.2
581.7,2.12,-14.4,6.0,315,,756,4283,28,27.2
576.9,2.10,-14.9,6.1,315,,766,4345,29,27.2
572.2,2.06,-15.4,5.8,312,,776,4408,34,27.2
567.5,2.04,-16.0,5.6,306,,786,4470,37,27.2
562.7,2.04,-16.6,5.7,299,,796,4533,38,27.2
558.0,2.03,-16.9,6.0,294,,806,4596,34,27.2
553.4,2.04,-17.3,6.2,294,,816,4658,34,27.1
549.0,2.12,-17.8,6.2,295,,826,4718,34,27.1
544.4,2.20,-18.3,6.1,297,,836,4781,36,27.1
539.5,2.27,-18.8,6.1,299,,846,4848,35,27.1
535.0,2.31,-19.3,6.5,296,,856,4910,33,27.1
531.0,2.28,-19.6,7.0,292,,865,4967,30,27.1
526.5,2.23,-19.9,7.3,293,,875,5029,31,27.1
521.8,2.12,-20.3,7.3,297,,885,5095,30,27.0
517.6,2.06,-20.7,7.4,299,,895,5156,31,27.0
513.0,2.00,-21.1,7.6,298,,905,5222,29,26.9
508.5,1.90,-21.5,7.9,298,,915,5286,34,26.9
504.1,1.87,-22.0,8.3,298,,925,5350,36,26.9
500.0,1.82,-22.4,8.3,299,,935,5411,35,26.8
495.8,1.79,-22.9,7.9,301,,945,5472,35,26.8
491.5,1.80,-23.3,7.9,301,,955,5535,36,26.7
487.5,1.79,-23.8,8.3,300,,965,5596,35,26.6
483.4,1.76,-24.3,8.6,298,,975,5658,36,26.6
479.3,1.73,-24.9,8.8,294,,985,5720,37,26.6
475.2,1.69,-25.5,9.3,290,,995,5782,38,26.5
471.0,1.67,-25.9,9.5,288,,1005,5846,40,26.5
466.8,1.66,-26.3,9.4,289,,1015,5910,42,26.5
462.8,1.67,-26.8,9.2,291,,1025,5973,41,26.4
458.6,1.67,-27.3,9.1,293,,1035,6039,42,26.4
454.5,1.61,-27.9,9.1,293,,1045,6103,45,26.4
451.0,1.59,-28.3,9.4,296,,1054,6158,46,26.4
447.0,1.66,-28.8,10.1,299,,1064,6224,43,26.4
443.1,1.74,-29.3,10.7,300,,1074,6286,44,26.3
439.0,1.81,-29.8,10.7,301,,1084,6351,45,26.3
435.3,1.84,-30.1,10.3,303,,1094,6412,47,26.3
431.6,1.88,-30.5,10.1,305,,1104,6473,44,26.2
427.6,1.93,-30.9,10.4,306,,1114,6539,41,26.2
423.7,1.95,-31.4,10.9,308,,1124,6604,39,26.2
420.1,1.94,-31.8,11.0,311,,1134,6664,38,26.1
416.4,1.89,-32.3,10.9,313,,1144,6727,44,26.1
412.7,1.85,-32.8,10.7,313,,1154,6790,40,26.1
409.3,1.81,-33.3,10.6,312,,1163,6847,43,26.0
405.5,1.76,-33.9,10.4,313,,1173,6913,45,26.0
401.6,1.72,-34.5,10.1,312,,1183,6981,53,26.0
397.6,1.73,-35.0,9.7,310,,1193,7049,55,26.0
394.0,1.73,-35.6,9.6,308,,1203,7113,54,25.9
390.3,1.76,-36.1,9.8,308,,1213,7179,58,25.9
386.5,1.80,-36.7,10.1,309,,1223,7247,60,25.8
382.7,1.76,-37.3,10.1,311,,1233,7315,64,25.8
379.0,1.68,-37.8,9.8,311,,1243,7383,68,25.8
375.4,1.62,-38.4,9.5,308,,1253,7448,71,25.7
371.8,1.57,-38.9,9.6,306,,1263,7515,71,25.7
368.2,1.52,-39.6,10.1,302,,1273,7580,73,25.7
364.5,1.48,-40.2,10.6,298,,1283,7651,74,25.6
360.3,1.45,-40.8,10.9,294,,1293,7728,71,25.6
356.6,1.43,-41.3,11.4,295,,1303,7798,72,25.6
353.0,1.45,-41.6,11.7,300,,1313,7867,61,25.5
349.1,1.44,-42.4,11.9,305,,1323,7942,57,25.5
345.0,1.42,-42.9,12.2,308,,1333,8022,55,25.5
341.0,1.43,-43.6,12.6,310,,1343,8100,53,25.4
337.4,1.48,-44.1,13.1,310,,1353,8173,50,25.4
333.6,1.61,-44.6,13.2,309,,1363,8248,47,25.3
329.6,1.72,-45.2,13.1,307,,1373,8328,46,25.3
325.7,1.75,-45.6,13.2,306,,1383,8408,44,25.2
322.0,1.78,-46.1,13.6,307,,1393,8483,40,25.2
318.2,1.87,-46.8,13.8,309,,1403,8562,38,25.2
314.6,1.89,-47.4,13.9,311,,1413,8638,37,25.1
311.1,1.90,-47.8,14.0,310,,1423,8711,36,25.1
308.0,1.91,-48.3,14.0,308,,1433,8778,34,25.0
305.0,1.95,-48.8,14.2,309,,1443,8844,33,25.0
301.5,2.00,-49.2,14.4,311,,1453,8919,31,25.0
298.5,2.04,-49.4,14.0,314,,1462,8985,29,24.9
295.3,2.05,-49.9,13.4,317,,1472,9054,29,24.9
292.1,1.97,-50.5,13.5,318,,1482,9126,32,24.8
289.1,1.79,-51.0,14.0,317,,1492,9192,34,24.8
286.3,1.65,-51.6,14.0,313,,1502,9255,36,24.7
283.6,1.59,-51.9,13.9,310,,1512,9316,37,24.7
280.7,1.67,-52.4,13.9,310,,1522,9385,37,24.6
277.3,1.84,-52.9,13.9,313,,1532,9462,35,24.6
274.2,1.98,-53.4,13.9,315,,1542,9535,34,24.5
271.4,2.10,-53.8,13.9,316,,1552,9601,33,24.5
268.7,2.19,-53.9,14.4,315,,1562,9664,32,24.5
265.9,2.23,-54.1,15.2,314,,1572,9733,31,24.4
262.9,2.23,-54.6,15.7,315,,1582,9803,30,24.3
260.3,2.25,-55.0,15.5,317,,1592,9869,29,24.3
257.3,2.19,-55.4,15.0,318,,1602,9941,30,24.2
254.1,2.18,-55.8,14.8,316,,1612,10022,31,24.1
250.7,2.28,-56.0,15.3,312,,1622,10106,30,24.1
247.9,2.35,-56.3,16.1,311,,1632,10179,28,24.1
245.1,2.36,-56.5,16.4,310,,1642,10250,26,24.0
242.3,2.35,-56.8,16.3,308,,1652,10322,25,24.0
239.6,2.39,-57.0,16.1,306,,1662,10395,24,23.9
236.3,2.43,-57.3,15.7,305,,1672,10482,23,23.8
233.4,2.43,-57.4,14.9,305,,1682,10561,23,23.8
230.8,2.44,-57.3,13.7,307,,1692,10630,22,23.7
228.9,2.44,-57.5,13.1,309,,1702,10684,22,23.7
226.2,2.41,-57.8,13.7,312,,1712,10757,21,23.6
223.8,2.39,-57.8,14.4,313,,1722,10826,20,23.5
221.5,2.44,-57.1,14.7,313,,1732,10891,18,23.5
219.4,2.56,-57.0,14.6,313,,1742,10950,15,23.4
217.2,2.61,-57.3,14.6,312,,1751,11014,13,23.4
215.1,2.68,-56.8,15.4,313,,1761,11074,11,23.3
213.0,2.64,-56.1,17.0,314,,1771,11138,10,23.3
210.6,2.66,-55.9,18.0,313,,1781,11208,8,23.2
208.7,2.80,-56.3,17.4,311,,1791,11269,7,23.1
206.1,2.87,-56.3,16.2,311,,1801,11346,6,23.1
204.0,2.86,-56.2,15.3,314,,1811,11412,6,23.0
201.9,2.90,-55.8,15.3,321,,1821,11475,5,23.0
199.8,2.98,-55.6,16.8,326,,1831,11544,5,22.9
197.6,3.04,-54.5,19.1,323,,1841,11617,4,22.8
195.4,2.90,-54.4,20.9,317,,1851,11685,4,22.8
193.2,2.92,-54.0,21.5,309,,1861,11759,3,22.7
191.3,3.20,-54.1,21.4,301,,1871,11825,2,22.6
189.8,3.42,-54.3,21.0,298,,1881,11874,2,22.6
188.0,3.58,-54.5,20.5,297,,1891,11936,2,22.5
186.2,3.66,-54.8,19.9,297,,1901,11997,2,22.5
184.5,3.72,-55.1,18.5,298,,1911,12054,2,22.4
182.9,3.80,-55.1,17.0,298,,1921,12109,1,22.4
181.1,3.91,-54.8,15.6,299,,1931,12172,1,22.3
179.4,4.01,-54.3,13.9,305,,1941,12231,1,22.2
177.2,3.91,-54.3,12.4,316,,1951,12313,1,22.2
175.5,3.60,-54.6,11.6,318,,1961,12376,1,22.1
174.0,3.24,-54.7,11.5,315,,1971,12428,1,22.1
172.4,2.98,-55.0,11.4,315,,1981,12490,1,22.0
170.9,2.82,-54.7,11.3,321,,1991,12547,1,22.0
169.4,2.84,-54.4,11.8,325,,2001,12603,1,21.9
167.6,3.02,-54.4,13.0,325,,2011,12670,1,21.8
166.0,3.30,-54.2,14.2,327,,2021,12727,1,21.8
164.4,3.56,-54.3,15.0,330,,2031,12793,1,21.7
162.8,3.77,-53.6,15.6,327,,2041,12856,1,21.7
161.1,3.97,-53.8,16.5,323,,2051,12923,1,21.6
159.7,4.16,-54.0,17.2,322,,2060,12979,1,21.5
158.1,4.43,-54.3,17.8,320,,2070,13043,1,21.5
156.7,4.61,-54.4,18.7,316,,2080,13101,1,21.4
155.2,4.78,-54.3,19.7,311,,2090,13161,1,21.4
153.6,5.01,-54.3,20.0,309,,2100,13227,1,21.3
152.2,5.30,-54.5,19.6,310,,2110,13286,1,21.3
151.1,5.49,-54.8,19.3,309,,2120,13334,1,21.2
150.0,5.68,-55.1,18.9,307,,2130,13379,1,21.1
148.8,5.85,-54.8,18.2,305,,2140,13433,1,21.1
147.3,5.80,-54.5,18.0,305,,2150,13495,1,21.0
145.8,5.81,-54.3,18.7,305,,2160,13562,1,21.0
144.2,6.09,-54.3,18.8,306,,2170,13632,1,20.9
