
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-04-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a19364

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-08-09,00:23:02

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.6,2,284.0,-1.13,319.5,2,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.044,27.8,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
989.7,2.60,6.3,17.0,337,,0,6,97,25.8
984.2,2.64,6.1,19.4,335,,9,52,99,25.9
977.9,2.72,6.0,20.6,331,,19,104,100,25.9
971.1,2.75,5.9,22.5,329,,29,161,100,25.9
965.1,2.80,5.9,24.4,328,,39,212,100,25.9
958.8,2.84,5.8,26.0,326,,49,266,100,25.9
951.9,2.81,5.6,27.4,324,,59,325,100,25.9
947.0,2.83,5.8,28.0,322,,69,368,100,26.0
942.0,2.84,5.6,28.3,320,,79,411,100,26.0
936.8,2.86,5.5,28.7,317,,89,455,100,26.0
932.1,2.85,5.4,28.8,316,,99,497,100,26.0
927.7,2.86,5.3,28.5,315,,109,536,100,26.0
922.9,2.84,5.1,28.4,312,,119,578,100,26.0
918.2,2.84,5.1,28.5,308,,129,620,100,26.1
913.3,2.87,5.0,28.3,305,,139,665,100,26.1
908.1,2.84,4.8,27.8,304,,149,710,100,26.1
904.5,2.84,4.6,27.1,305,,159,743,100,26.1
900.2,2.83,4.5,26.3,305,,169,782,100,26.1
896.6,2.83,4.5,26.1,306,,178,814,100,26.1
892.7,2.83,4.3,26.5,306,,188,851,100,26.1
888.6,2.83,4.1,27.4,306,,198,888,100,26.1
884.3,2.83,4.0,28.2,307,,208,927,100,26.1
879.3,2.83,3.9,28.4,307,,218,973,100,26.1
874.7,2.80,3.6,28.4,308,,228,1016,100,26.1
870.8,2.78,3.4,28.3,308,,237,1051,100,26.2
866.3,2.77,3.1,28.3,308,,247,1094,100,26.2
862.3,2.77,3.0,28.3,308,,257,1132,100,26.2
858.4,2.77,2.8,28.7,308,,267,1167,100,26.2
853.9,2.77,2.5,29.0,309,,277,1211,100,26.2
849.6,2.74,2.3,29.0,310,,287,1251,100,26.2
845.5,2.73,2.1,28.8,308,,297,1290,100,26.2
840.3,2.74,1.8,28.9,307,,307,1340,100,26.2
835.8,2.70,1.5,29.0,306,,317,1383,100,26.3
830.8,2.69,1.1,28.9,306,,327,1432,100,26.3
826.1,2.68,0.8,29.0,306,,337,1478,100,26.3
