
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-06,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A19338

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-01-16,23:16:03

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
211.6,2,254.2,-1.01,256,0,DS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.035,28.2,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1017.9,1.06,6.9,6.7,357,,0,6,82,30.3
1011.7,1.16,5.2,7.4,6,,9,56,81,30.4
1005.6,1.21,4.7,9.8,1,,19,105,83,30.4
999.3,1.25,4.3,11.4,355,,29,156,84,30.4
993.8,1.29,4.0,12.3,352,,39,202,85,30.4
987.5,1.30,3.6,12.4,348,,49,252,83,30.4
981.9,1.31,3.4,12.0,346,,59,299,80,30.4
976.3,1.32,3.1,11.5,343,,68,346,81,30.4
969.7,1.33,2.8,11.7,341,,78,400,81,30.4
964.3,1.35,2.4,12.1,340,,88,446,81,30.5
958.5,1.36,2.0,12.3,340,,98,495,83,30.5
952.7,1.35,1.5,12.3,339,,108,544,85,30.5
947.2,1.36,1.1,12.4,337,,118,590,88,30.5
941.6,1.36,0.8,12.3,335,,128,638,90,30.6
936.1,1.36,0.5,12.1,333,,138,685,88,30.6
931.9,1.36,0.6,11.9,334,,147,721,81,30.6
926.3,1.42,1.6,11.8,337,,158,769,30,30.6
921.3,1.46,2.0,11.7,338,,168,813,27,30.6
916.9,1.48,2.0,11.7,338,,178,851,26,30.7
912.3,1.48,1.9,11.6,339,,188,892,27,30.7
907.7,1.49,1.6,11.5,338,,198,933,25,30.7
903.2,1.50,1.6,11.6,337,,208,973,27,30.7
898.8,1.48,1.6,11.6,336,,217,1011,25,30.7
893.6,1.46,1.6,11.4,335,,228,1059,24,30.7
889.1,1.44,1.9,11.0,333,,238,1099,18,30.7
884.4,1.47,1.9,10.7,333,,248,1142,18,30.7
879.7,1.49,1.8,10.5,332,,258,1185,24,30.7
874.8,1.55,2.0,10.4,330,,268,1230,20,30.7
869.2,1.62,2.1,10.0,328,,278,1281,20,30.7
864.3,1.64,2.1,9.5,325,,288,1327,20,30.7
858.6,1.59,2.3,9.3,319,,298,1380,16,30.7
853.2,1.52,2.1,9.5,312,,308,1431,14,30.7
847.7,1.50,2.0,9.6,306,,318,1484,13,30.7
841.8,1.50,1.6,9.5,303,,328,1540,11,30.7
835.5,1.51,1.6,9.2,303,,338,1601,10,30.7
829.8,1.52,1.5,9.0,304,,348,1655,7,30.7
824.5,1.60,1.4,9.3,304,,358,1707,7,30.7
818.7,1.60,1.3,9.5,303,,367,1764,18,30.7
813.3,1.56,1.1,9.5,303,,376,1817,21,30.7
807.4,1.52,0.9,9.4,301,,387,1875,10,30.7
803.1,1.56,0.9,9.4,298,,395,1918,7,30.7
800.5,1.62,0.9,9.7,294,,400,1944,15,30.7
795.8,1.66,1.2,10.5,288,,409,1991,78,30.7
791.4,1.55,1.6,11.0,284,,418,2036,81,30.7
786.5,1.48,1.6,10.8,282,,428,2087,79,30.8
781.5,1.43,1.5,11.0,281,,438,2137,77,30.8
776.4,1.42,1.3,11.9,279,,448,2190,77,30.8
771.0,1.49,1.4,12.9,277,,458,2247,79,30.8
767.1,1.61,1.5,13.9,277,,468,2287,79,30.8
762.9,1.67,1.6,14.6,277,,478,2332,79,30.8
758.3,1.79,2.0,14.9,278,,488,2381,75,30.8
753.4,2.00,2.0,14.7,280,,498,2433,70,30.8
748.9,2.19,1.6,14.2,281,,508,2481,70,30.8
744.0,2.30,1.6,13.7,279,,518,2534,68,30.8
740.6,2.30,1.9,13.6,276,,527,2571,59,30.9
736.2,2.30,2.1,13.7,274,,538,2619,50,30.8
732.0,2.34,2.0,13.9,272,,548,2665,54,30.8
727.6,2.39,1.6,14.3,272,,558,2714,55,30.8
722.8,2.38,1.1,14.6,271,,568,2767,56,30.8
719.1,2.34,0.8,14.6,273,,578,2808,57,30.8
714.8,2.30,0.4,14.7,274,,588,2857,59,30.9
710.7,2.27,-0.1,15.4,274,,598,2903,60,30.8
706.5,2.25,-0.5,16.3,275,,608,2950,63,30.8
702.0,2.25,-1.0,17.0,276,,618,3001,67,30.9
697.0,2.24,-1.6,17.4,277,,628,3058,69,30.9
692.7,2.25,-1.9,17.9,277,,638,3107,76,30.9
689.0,2.28,-2.4,18.3,277,,647,3150,78,30.9
684.7,2.28,-2.8,18.5,276,,657,3199,79,30.8
680.9,2.28,-3.0,18.0,276,,666,3244,78,30.9
676.7,2.29,-3.5,17.3,275,,676,3293,77,30.8
671.7,2.30,-3.9,17.2,274,,686,3351,76,30.9
666.4,2.29,-4.4,17.9,274,,696,3414,74,30.8
661.8,2.31,-4.9,18.8,276,,706,3468,77,30.8
657.3,2.30,-5.4,19.6,277,,716,3522,83,30.9
652.5,2.29,-5.4,20.7,278,,726,3579,91,30.9
647.4,2.33,-5.4,21.7,278,,736,3642,91,30.9
642.7,2.38,-5.4,22.2,277,,746,3699,88,30.9
638.5,2.43,-5.8,22.5,276,,755,3750,86,30.9
633.3,2.43,-6.4,22.6,276,,765,3813,87,30.9
628.7,2.46,-6.9,22.5,276,,775,3871,87,30.8
624.0,2.49,-7.1,22.3,275,,785,3929,81,30.9
619.4,2.49,-7.6,22.5,274,,795,3987,80,30.9
614.6,2.50,-8.1,23.0,275,,805,4047,81,30.8
609.5,2.51,-8.6,23.2,276,,815,4113,83,30.8
604.7,2.49,-9.2,23.2,277,,825,4174,86,30.8
599.9,2.48,-9.7,23.5,277,,835,4235,88,30.8
595.8,2.47,-10.1,24.2,276,,843,4287,91,30.8
587.7,2.58,-7.9,25.5,273,,859,4393,16,30.8
584.3,2.67,-7.8,25.4,272,,866,4439,9,30.8
580.0,2.78,-7.9,25.1,271,,876,4497,8,30.8
575.3,2.86,-8.4,24.9,270,,886,4559,9,30.9
571.4,2.88,-8.6,24.3,270,,896,4613,10,30.9
566.9,2.85,-8.5,23.0,272,,906,4673,7,30.9
562.4,2.80,-8.6,22.4,273,,916,4734,6,30.8
558.0,2.76,-8.9,22.6,273,,926,4795,7,30.8
553.8,2.75,-9.1,22.7,275,,936,4854,6,30.8
549.4,2.87,-9.4,22.3,278,,946,4915,9,30.9
545.8,2.98,-9.7,22.1,279,,955,4966,9,30.9
541.8,3.03,-10.1,22.3,279,,965,5024,14,30.9
537.8,3.09,-10.5,23.0,279,,975,5081,16,30.9
533.7,3.23,-10.9,23.5,278,,985,5140,7,30.9
529.7,3.31,-11.4,23.7,278,,994,5198,8,30.9
525.0,3.26,-11.9,24.3,277,,1005,5266,13,30.9
520.1,3.17,-12.4,25.0,277,,1015,5337,26,30.9
515.7,3.14,-13.0,25.4,277,,1025,5402,30,30.9
511.5,3.16,-13.4,25.5,276,,1034,5464,21,30.9
506.4,3.19,-13.9,25.6,276,,1045,5540,25,30.9
502.1,3.12,-14.5,25.6,276,,1055,5604,33,30.9
498.0,3.03,-14.8,25.5,275,,1065,5667,38,30.9
494.0,3.03,-15.4,25.4,275,,1075,5728,38,30.9
490.1,3.03,-15.6,25.9,275,,1084,5787,36,30.9
486.1,2.98,-15.9,26.9,275,,1094,5850,17,30.9
481.9,2.90,-16.1,28.3,274,,1104,5915,33,30.9
477.8,2.79,-16.5,29.8,274,,1114,5980,46,31.0
473.4,2.61,-16.6,31.5,274,,1124,6049,54,31.0
469.2,2.38,-17.1,32.8,273,,1134,6115,56,31.0
465.0,2.18,-17.8,33.5,273,,1144,6182,59,30.9
461.1,1.97,-18.3,34.0,272,,1154,6246,64,31.0
457.2,1.76,-18.8,34.7,272,,1164,6309,63,31.0
453.3,1.63,-19.4,35.2,272,,1173,6373,60,30.9
449.3,1.56,-20.0,35.2,272,,1183,6439,61,30.9
445.5,1.51,-20.6,34.8,272,,1193,6502,62,30.9
441.2,1.48,-21.2,34.2,272,,1203,6573,66,30.9
437.3,1.46,-21.8,33.5,272,,1213,6639,68,30.9
433.2,1.43,-22.4,33.2,272,,1223,6708,71,30.9
429.1,1.40,-22.9,33.0,272,,1233,6777,74,30.9
425.4,1.37,-23.4,32.5,271,,1242,6842,79,30.9
421.4,1.33,-24.0,31.5,270,,1252,6909,82,30.9
417.4,1.32,-24.4,30.6,268,,1262,6980,84,30.9
413.2,1.33,-24.8,30.0,266,,1272,7054,74,30.9
408.9,1.34,-25.5,29.7,265,,1282,7129,72,30.9
404.8,1.34,-26.3,29.4,265,,1292,7202,75,30.9
400.7,1.35,-26.8,29.4,265,,1302,7275,76,30.8
397.0,1.36,-27.4,29.6,266,,1312,7343,79,30.8
392.9,1.36,-28.3,30.0,266,,1322,7416,83,30.8
388.9,1.35,-28.8,30.3,265,,1332,7490,86,30.8
385.1,1.34,-29.3,30.6,264,,1342,7560,86,30.8
381.5,1.34,-29.9,30.9,264,,1352,7628,87,30.8
377.7,1.32,-30.3,31.2,265,,1362,7698,87,30.8
373.9,1.31,-30.6,31.3,266,,1372,7770,86,30.8
370.5,1.29,-31.2,31.3,265,,1381,7836,83,30.7
367.8,1.34,-31.8,31.4,264,,1388,7887,72,30.7
364.5,1.73,-30.5,31.8,263,,1397,7950,34,30.7
361.3,2.04,-30.6,32.2,263,,1406,8014,27,30.7
357.4,2.29,-31.3,32.4,263,,1416,8090,21,30.7
354.4,2.43,-31.5,32.7,263,,1426,8149,17,30.7
350.9,2.48,-31.9,33.8,264,,1436,8220,17,30.6
347.7,2.54,-32.4,35.5,265,,1446,8286,15,30.6
344.6,2.60,-32.8,36.6,266,,1456,8349,14,30.6
341.3,2.62,-33.3,36.6,267,,1466,8415,13,30.6
338.0,2.62,-33.8,36.5,268,,1476,8484,13,30.6
335.5,2.56,-34.3,37.1,268,,1486,8535,15,30.6
333.6,2.41,-34.6,37.4,267,,1496,8576,16,30.5
331.4,2.32,-35.0,37.2,267,,1506,8621,17,30.5
328.3,2.30,-35.6,36.9,267,,1516,8686,17,30.5
325.1,2.28,-36.1,36.8,267,,1526,8754,18,30.5
322.3,2.27,-36.7,37.0,267,,1535,8815,18,30.5
319.1,2.25,-37.5,37.5,267,,1545,8882,18,30.5
316.1,2.25,-38.0,37.6,266,,1555,8948,19,30.4
313.6,2.24,-38.5,37.3,267,,1565,9004,18,30.4
310.5,2.28,-39.2,37.5,266,,1575,9070,19,30.4
307.5,2.31,-39.8,38.3,266,,1585,9139,20,30.4
305.1,2.34,-40.2,39.5,267,,1595,9190,21,30.3
302.5,2.38,-40.8,40.5,268,,1605,9249,21,30.3
299.6,2.38,-41.3,41.4,269,,1615,9316,19,30.3
296.6,2.29,-41.8,42.0,268,,1625,9381,18,30.3
294.5,2.24,-42.1,42.0,267,,1635,9430,18,30.2
292.6,2.24,-42.5,41.3,267,,1645,9476,18,30.2
289.9,2.24,-43.0,40.7,267,,1655,9539,18,30.2
287.7,2.27,-43.5,40.5,268,,1665,9588,19,30.1
285.9,2.28,-43.8,40.7,268,,1675,9631,20,30.1
283.9,2.29,-44.1,40.8,267,,1685,9677,19,30.1
282.0,2.32,-44.4,40.5,267,,1695,9723,19,30.1
279.9,2.33,-44.9,40.3,267,,1705,9774,19,30.0
277.8,2.32,-45.1,40.4,267,,1715,9823,19,30.0
275.8,2.29,-45.3,40.8,267,,1725,9873,17,30.0
273.8,2.31,-45.1,40.7,266,,1735,9920,15,30.0
272.0,2.31,-45.3,40.0,266,,1745,9965,14,30.0
270.1,2.27,-45.4,39.3,265,,1755,10010,13,29.9
268.1,2.28,-45.8,38.5,264,,1765,10060,12,29.9
265.0,2.26,-46.5,37.4,263,,1775,10138,12,29.9
263.1,2.28,-46.4,36.7,263,,1785,10185,12,29.8
261.5,2.29,-46.7,36.4,263,,1795,10226,11,29.8
259.9,2.27,-46.8,36.5,264,,1805,10268,11,29.8
258.0,2.23,-46.8,37.0,265,,1815,10314,11,29.7
256.3,2.22,-47.1,37.9,266,,1824,10358,9,29.7
254.9,2.20,-47.3,38.9,266,,1833,10398,7,29.7
253.2,2.20,-47.5,39.9,265,,1843,10439,7,29.6
251.5,2.16,-47.8,40.8,265,,1853,10483,6,29.6
249.9,2.18,-48.0,41.5,265,,1863,10525,6,29.6
248.3,2.20,-48.1,41.9,265,,1873,10569,6,29.5
246.8,2.22,-48.1,42.0,265,,1883,10610,7,29.5
245.1,2.20,-48.3,42.0,264,,1893,10652,8,29.5
243.5,2.09,-48.5,42.3,265,,1903,10697,9,29.4
241.5,1.92,-48.8,42.7,265,,1913,10752,10,29.4
240.0,1.84,-49.0,43.3,266,,1923,10792,11,29.4
238.5,1.80,-49.3,43.8,267,,1933,10836,11,29.3
237.1,1.72,-49.3,44.0,268,,1942,10873,11,29.3
235.7,1.67,-49.3,44.3,268,,1952,10912,11,29.3
234.3,1.55,-49.3,44.6,268,,1962,10950,10,29.2
232.8,1.45,-49.5,44.5,268,,1972,10991,10,29.2
231.4,1.42,-49.8,44.0,268,,1982,11030,10,29.1
230.0,1.30,-50.1,43.6,268,,1992,11072,10,29.1
228.6,1.20,-50.3,43.6,268,,2002,11109,10,29.0
227.3,1.18,-50.4,44.0,268,,2012,11148,10,29.0
225.9,1.16,-50.5,44.5,268,,2022,11189,10,29.0
224.5,1.16,-50.8,44.8,268,,2032,11229,10,28.9
223.0,1.21,-51.0,44.9,268,,2042,11271,10,28.9
221.6,1.27,-51.4,45.0,268,,2052,11312,10,28.8
220.3,1.33,-51.5,45.1,268,,2062,11353,10,28.8
218.9,1.39,-51.8,45.2,268,,2072,11394,9,28.8
217.4,1.45,-51.9,45.5,269,,2082,11436,9,28.7
216.1,1.49,-52.1,45.9,269,,2092,11477,9,28.6
214.7,1.48,-52.3,46.3,269,,2102,11517,9,28.6
213.3,1.38,-52.3,46.6,270,,2112,11559,9,28.6
212.1,1.29,-52.6,46.8,270,,2121,11595,9,28.6
210.8,1.20,-52.8,47.0,270,,2131,11638,9,28.5
209.4,1.11,-53.1,46.9,270,,2141,11680,9,28.5
208.0,1.02,-53.5,46.7,270,,2151,11722,9,28.4
206.6,0.94,-53.8,46.6,271,,2161,11764,9,28.4
205.3,0.88,-54.2,46.6,270,,2171,11806,9,28.3
204.0,0.83,-54.4,46.8,270,,2181,11848,9,28.3
202.7,0.81,-54.8,47.2,270,,2191,11888,9,28.2
201.5,0.80,-54.6,47.8,270,,2201,11928,9,28.2
200.0,0.78,-54.9,48.5,269,,2211,11971,8,28.1
198.8,0.77,-55.1,49.4,268,,2221,12011,8,28.1
197.5,0.77,-54.9,50.0,268,,2231,12055,9,28.0
196.2,0.76,-55.0,50.5,268,,2241,12095,8,28.0
195.0,0.77,-54.9,50.6,267,,2251,12135,8,28.0
193.8,0.78,-54.8,50.8,266,,2261,12176,7,27.9
192.5,0.78,-54.8,51.0,265,,2271,12217,6,27.9
