
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-06,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A19367

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-06-05,23:23:43

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
257.8,2,271.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.022,27.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
964.0,2.34,2.8,5.1,233,,0,6,94,26.7
959.5,2.72,1.9,4.1,239,,9,43,90,26.6
954.0,2.49,1.4,4.9,242,,19,90,93,26.6
948.5,2.44,1.0,7.0,241,,29,136,95,26.7
943.6,2.52,0.7,9.0,238,,39,178,97,26.8
939.1,2.58,0.6,9.9,235,,49,217,97,26.9
935.3,2.61,0.3,9.9,229,,59,249,97,26.9
931.7,2.66,0.1,9.2,220,,69,281,98,26.9
928.2,2.68,0.0,7.8,216,,79,311,97,26.9
924.8,2.67,-0.1,7.0,224,,89,340,97,27.0
921.1,2.67,-0.4,7.5,231,,99,371,97,27.0
917.3,2.66,-0.6,8.0,228,,109,405,98,27.0
913.1,2.64,-0.8,8.1,224,,119,442,96,26.9
909.0,2.66,-0.9,8.8,225,,129,477,95,26.8
904.8,2.66,-1.1,9.6,226,,139,515,95,26.6
901.0,2.66,-1.4,9.0,221,,149,549,95,26.5
897.1,2.66,-1.5,7.8,220,,158,582,94,26.5
892.8,2.65,-1.9,7.3,226,,168,621,94,26.4
888.3,2.65,-2.0,8.1,230,,178,661,92,26.3
883.9,2.65,-2.3,8.7,223,,188,701,92,26.2
879.2,2.66,-2.4,8.2,215,,198,743,91,26.1
874.7,2.65,-2.8,7.2,214,,208,784,91,26.0
870.0,2.63,-3.0,6.7,222,,218,826,91,25.9
865.5,2.61,-3.4,7.3,233,,228,867,91,25.8
860.8,2.59,-3.6,8.6,237,,238,910,93,25.8
856.0,2.57,-4.0,9.6,233,,248,955,95,25.7
851.3,2.55,-4.4,9.8,226,,258,998,97,25.7
846.8,2.55,-4.6,9.1,225,,268,1040,98,25.6
841.8,2.54,-4.9,8.1,232,,278,1086,97,25.5
836.7,2.52,-5.4,8.1,243,,288,1134,99,25.5
831.4,2.49,-5.6,9.2,251,,298,1184,99,25.4
826.7,2.48,-5.9,10.8,252,,308,1229,100,25.4
821.9,2.47,-6.1,12.3,248,,318,1275,100,25.3
816.9,2.43,-6.4,13.0,244,,328,1322,100,25.2
812.4,2.40,-6.6,12.5,240,,338,1366,100,25.1
807.8,2.36,-6.9,11.1,238,,348,1410,100,25.1
803.5,2.35,-7.3,10.1,239,,358,1451,100,25.0
799.2,2.32,-7.5,10.4,237,,368,1493,100,24.9
794.9,2.30,-7.9,11.3,235,,378,1534,100,24.9
791.0,2.29,-8.0,11.6,237,,388,1573,100,24.8
786.9,2.28,-8.4,12.1,241,,398,1614,100,24.8
782.3,2.26,-8.8,13.8,244,,408,1659,99,24.7
778.1,2.25,-8.9,15.3,246,,418,1700,100,24.7
774.3,2.24,-9.2,15.3,247,,427,1738,100,24.6
769.9,2.24,-9.4,14.1,248,,437,1782,99,24.6
765.8,2.22,-9.8,13.6,250,,447,1823,100,24.5
762.4,2.21,-10.0,14.3,249,,456,1858,100,24.5
758.9,2.20,-10.2,15.1,246,,465,1893,99,24.5
754.8,2.19,-10.5,15.3,244,,475,1935,99,24.4
749.8,2.17,-10.9,15.1,247,,485,1986,99,24.3
745.6,2.16,-11.1,15.1,250,,495,2030,98,24.2
741.7,2.14,-11.4,15.6,251,,505,2069,97,24.1
737.5,2.13,-11.5,16.0,252,,515,2114,97,24.1
733.5,2.14,-11.8,16.7,253,,525,2154,98,24.1
729.8,2.14,-12.1,17.1,252,,535,2194,98,24.0
725.9,2.10,-12.4,16.5,251,,545,2234,96,24.0
722.3,2.12,-12.6,16.0,253,,555,2272,96,24.0
718.4,2.13,-12.9,16.1,256,,565,2314,96,23.9
714.8,2.11,-13.1,15.8,254,,575,2353,96,23.9
710.8,2.09,-13.5,15.1,254,,585,2395,95,23.9
707.6,2.07,-13.6,15.4,258,,595,2430,94,23.8
704.3,2.06,-13.9,16.0,262,,605,2465,93,23.8
700.8,2.05,-14.0,15.6,262,,615,2503,92,23.7
697.0,2.03,-14.4,15.1,260,,625,2544,92,23.6
693.8,2.02,-14.5,15.4,259,,635,2578,91,23.6
690.0,2.02,-14.9,16.0,258,,645,2621,90,23.5
686.6,2.00,-15.1,16.5,257,,655,2658,89,23.4
683.1,1.98,-15.3,16.3,254,,665,2696,88,23.3
679.5,1.97,-15.6,15.9,253,,675,2737,92,23.3
675.8,1.96,-15.9,16.0,253,,685,2778,90,23.2
672.3,1.95,-16.1,17.2,254,,695,2817,88,23.1
668.3,1.96,-16.4,18.8,253,,705,2861,86,23.1
664.9,1.95,-16.6,19.5,254,,715,2899,87,23.1
662.0,1.94,-16.9,19.6,257,,724,2933,86,23.0
658.4,1.94,-17.0,19.5,257,,734,2974,85,23.0
654.9,1.92,-17.3,19.4,256,,744,3014,86,23.0
651.6,1.91,-17.5,19.4,254,,753,3051,86,23.0
647.9,1.91,-17.8,19.5,253,,763,3093,85,22.9
644.4,1.90,-18.1,19.5,252,,773,3134,83,22.8
640.8,1.90,-18.3,18.8,252,,783,3176,79,22.8
637.3,1.89,-18.6,18.0,251,,793,3218,79,22.8
633.6,1.89,-18.9,18.2,249,,803,3261,76,22.8
630.1,1.88,-19.1,18.9,250,,813,3302,75,22.7
626.3,1.86,-19.4,19.5,251,,823,3346,74,22.7
622.8,1.85,-19.7,19.7,253,,833,3389,73,22.6
619.2,1.84,-20.1,20.0,254,,843,3432,74,22.5
615.7,1.85,-20.3,20.2,256,,853,3474,76,22.4
612.1,1.85,-20.5,20.5,257,,863,3517,78,22.4
608.7,1.84,-20.8,21.0,258,,873,3559,80,22.3
605.0,1.83,-21.2,21.4,260,,883,3603,82,22.2
601.6,1.82,-21.4,21.8,261,,893,3645,85,22.2
597.9,1.81,-21.8,22.4,262,,903,3690,86,22.1
594.4,1.80,-22.1,23.0,263,,913,3733,88,22.1
591.2,1.81,-22.3,23.5,265,,923,3774,89,22.1
587.7,1.83,-22.6,23.8,266,,933,3817,92,22.0
584.3,1.89,-23.0,24.1,267,,943,3858,93,22.0
581.0,1.86,-23.3,24.2,267,,953,3901,95,22.0
577.5,1.84,-23.7,24.1,268,,963,3945,95,21.9
574.0,1.83,-24.0,24.0,268,,973,3989,96,21.9
571.0,1.81,-24.4,23.5,267,,983,4026,95,21.9
568.0,1.81,-24.5,23.3,265,,993,4066,94,21.9
564.9,1.79,-24.4,23.0,263,,1003,4106,90,21.9
561.9,1.77,-24.3,22.5,261,,1013,4145,88,21.8
558.8,1.74,-24.4,22.3,261,,1023,4185,89,21.8
555.7,1.75,-24.5,22.1,262,,1033,4226,89,21.8
552.6,1.79,-24.8,21.9,262,,1043,4266,89,21.8
549.7,1.83,-25.0,21.9,261,,1052,4304,86,21.8
546.9,1.84,-25.3,22.1,260,,1062,4342,86,21.9
544.0,1.84,-25.6,22.1,260,,1072,4380,86,21.9
541.1,1.84,-25.9,21.9,260,,1082,4418,86,21.8
