
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-06,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a19995

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-07-17,23:32:40

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
280.9,2,299.9,-1.04,313.2,2,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.053,26.3,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1010.5,2.34,4.9,4.1,315,,0,6,95,27.5
1003.8,2.45,4.6,7.0,290,,10,60,90,27.5
997.6,2.62,4.4,7.1,287,,20,111,89,27.5
991.2,2.73,4.3,7.3,286,,30,163,86,27.5
985.6,2.86,3.9,7.6,291,,40,209,86,27.5
979.1,2.89,3.4,8.0,294,,50,263,84,27.5
973.8,2.93,3.0,8.4,293,,60,307,86,27.5
968.6,2.96,2.6,8.4,291,,69,350,86,27.5
964.3,2.97,2.4,8.1,290,,78,387,86,27.5
958.9,2.98,1.9,7.7,288,,88,431,87,27.5
952.9,3.01,1.5,7.6,288,,98,482,88,27.5
947.4,3.00,1.0,7.8,291,,108,529,90,27.5
941.2,3.01,0.6,8.0,293,,118,582,91,27.5
934.9,3.03,0.1,7.9,294,,128,635,88,27.4
928.1,3.02,-0.1,7.5,297,,138,694,83,27.4
922.5,2.98,-0.5,7.1,300,,148,743,83,27.4
917.1,2.99,-0.9,7.0,303,,158,789,84,27.4
911.5,2.98,-1.0,7.3,302,,168,838,80,27.4
905.7,2.98,-1.0,7.9,300,,178,889,68,27.3
900.2,2.95,-1.3,8.1,299,,187,938,62,27.3
894.3,2.96,-1.1,7.6,301,,198,990,48,27.3
888.7,2.98,-1.3,6.9,304,,208,1041,42,27.2
882.6,2.97,-1.3,6.5,304,,218,1095,35,27.2
876.8,2.96,-1.1,6.4,302,,228,1148,22,27.2
871.1,2.94,-1.4,6.4,303,,238,1199,20,27.2
866.4,2.95,-1.9,6.0,305,,248,1243,19,27.1
861.3,2.95,-2.1,5.7,309,,258,1290,19,27.1
856.3,2.93,-2.4,6.1,312,,268,1335,19,27.1
851.4,2.93,-2.9,6.7,310,,278,1382,20,27.1
846.3,2.92,-3.1,7.0,308,,288,1429,20,27.0
840.8,2.90,-3.6,6.9,309,,298,1480,21,27.0
835.4,2.90,-4.0,6.7,312,,308,1531,20,27.0
829.7,2.87,-4.4,6.6,315,,318,1585,20,27.0
824.3,2.86,-4.9,6.8,317,,328,1636,25,27.0
819.3,2.85,-5.3,7.1,318,,337,1684,33,27.0
815.6,2.87,-5.6,7.1,322,,344,1720,44,27.0
811.1,2.84,-6.0,7.2,326,,352,1763,85,26.9
806.8,2.81,-6.2,7.4,327,,359,1804,58,26.9
800.6,2.77,-6.0,7.7,323,,370,1864,43,26.9
796.8,2.76,-6.4,8.2,320,,378,1902,40,26.9
791.4,2.75,-6.9,8.7,323,,388,1955,46,26.9
785.2,2.72,-7.4,8.9,325,,398,2016,50,26.9
780.4,2.71,-7.9,8.7,323,,408,2064,54,26.8
774.5,2.69,-8.4,8.5,318,,418,2123,55,26.8
770.0,2.67,-8.8,8.5,314,,428,2168,56,26.8
764.8,2.65,-9.3,8.7,311,,438,2221,60,26.8
759.4,2.65,-9.6,9.1,309,,448,2275,62,26.7
753.5,2.62,-10.3,9.4,306,,458,2335,63,26.7
748.3,2.59,-10.8,9.3,304,,468,2389,65,26.7
743.7,2.59,-11.1,9.2,301,,478,2436,70,26.6
739.2,2.57,-11.5,9.1,299,,488,2482,72,26.6
735.1,2.55,-11.9,9.0,301,,498,2526,73,26.6
730.9,2.54,-12.4,9.3,305,,508,2570,74,26.6
726.9,2.54,-12.6,10.0,306,,518,2611,75,26.6
722.1,2.57,-12.3,10.5,305,,528,2662,82,26.5
717.8,2.59,-12.4,10.5,306,,538,2708,85,26.5
712.4,2.61,-12.9,9.9,310,,548,2765,88,26.5
707.5,2.60,-13.1,9.1,314,,558,2818,90,26.5
703.3,2.63,-13.0,8.8,318,,568,2863,92,26.4
698.7,2.65,-13.0,9.3,322,,578,2913,90,26.4
693.5,2.63,-13.0,10.2,325,,588,2969,90,26.4
689.1,2.60,-13.3,11.0,326,,598,3018,89,26.3
684.7,2.60,-13.5,11.4,325,,608,3067,89,26.3
680.6,2.56,-13.6,11.7,323,,618,3113,89,26.3
676.7,2.53,-13.9,12.1,320,,628,3156,89,26.3
672.2,2.49,-14.0,12.2,317,,638,3207,90,26.2
667.8,2.48,-14.4,11.9,316,,648,3257,89,26.2
664.1,2.47,-14.6,11.8,320,,658,3300,90,26.2
660.0,2.44,-14.9,12.1,323,,667,3346,90,26.1
656.0,2.43,-15.1,12.6,325,,677,3392,90,26.1
651.8,2.41,-15.4,12.9,325,,687,3440,90,26.1
648.1,2.41,-15.6,12.9,325,,697,3483,89,26.1
644.2,2.39,-15.9,12.6,324,,707,3528,88,26.0
640.3,2.37,-16.1,12.6,324,,717,3574,88,26.0
636.1,2.36,-16.4,13.3,324,,727,3624,88,25.9
632.2,2.35,-16.8,14.1,323,,737,3671,88,25.8
628.2,2.34,-17.0,14.1,321,,747,3718,87,25.8
624.6,2.32,-17.3,13.9,321,,757,3760,86,25.8
620.9,2.31,-17.5,14.3,323,,767,3806,86,25.7
616.9,2.29,-17.9,15.1,326,,777,3853,86,25.7
613.6,2.26,-18.2,15.6,326,,787,3895,86,25.7
609.9,2.25,-18.5,15.9,326,,797,3939,86,25.7
605.4,2.23,-18.8,16.5,325,,807,3993,87,25.7
601.8,2.21,-19.1,17.0,324,,817,4038,87,25.7
597.0,2.18,-19.3,17.2,325,,827,4098,84,25.7
593.0,2.17,-19.6,17.1,325,,837,4148,82,25.7
588.5,2.15,-20.1,16.9,325,,847,4204,79,25.6
583.2,2.13,-20.6,17.0,324,,857,4273,78,25.6
578.4,2.11,-21.1,17.5,322,,867,4333,78,25.6
573.9,2.07,-21.4,18.4,321,,877,4390,80,25.6
569.8,2.06,-21.9,19.2,321,,887,4443,82,25.5
565.9,1.99,-22.3,20.1,323,,897,4492,85,25.5
562.3,1.97,-22.7,21.3,324,,907,4539,88,25.5
557.5,1.92,-23.1,22.3,328,,917,4603,93,25.5
554.1,1.88,-23.3,22.8,331,,926,4649,99,25.4
550.7,1.87,-23.5,23.2,331,,936,4694,99,25.4
546.9,1.85,-23.9,23.1,329,,946,4744,99,25.4
543.8,1.83,-24.3,22.7,330,,956,4786,99,25.4
541.1,1.81,-24.5,22.4,331,,965,4822,99,25.3
537.7,1.80,-24.8,22.4,331,,975,4868,99,25.3
534.3,1.81,-25.0,22.8,332,,985,4913,93,25.3
529.8,1.81,-25.5,23.3,334,,995,4975,92,25.3
526.7,1.80,-25.8,23.5,335,,1005,5018,93,25.3
522.9,1.80,-26.3,23.2,333,,1015,5070,94,25.2
519.3,1.80,-26.6,23.0,334,,1025,5118,97,25.2
515.9,1.79,-27.0,23.4,337,,1034,5167,98,25.2
512.2,1.78,-27.4,23.9,337,,1044,5219,98,25.1
508.2,1.77,-27.9,23.8,335,,1054,5276,99,25.1
504.8,1.76,-28.3,24.2,334,,1064,5323,97,25.1
501.7,1.74,-28.8,25.2,334,,1074,5367,97,25.1
498.9,1.72,-28.8,25.6,334,,1084,5408,84,25.0
495.3,1.70,-29.3,25.0,332,,1094,5459,72,25.0
491.3,1.72,-29.8,24.5,330,,1104,5517,67,25.0
487.4,1.66,-30.3,24.2,329,,1114,5574,63,25.0
484.2,1.63,-30.6,24.3,329,,1124,5621,61,24.9
480.5,1.61,-31.0,24.4,327,,1134,5676,61,24.9
477.2,1.61,-31.5,24.6,325,,1144,5724,63,24.8
474.0,1.60,-31.9,25.5,324,,1154,5772,65,24.8
470.2,1.58,-32.3,26.5,323,,1164,5828,67,24.8
467.0,1.57,-32.8,26.0,322,,1174,5876,68,24.7
463.5,1.56,-33.1,25.3,322,,1184,5930,69,24.7
