
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-06,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A20017

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-10-23,23:53:27

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
392.0,2,421.1,-0.93,390,0,ZB,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.018,27.6,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
976.2,2.25,3.4,10.8,275,,0,6,89,21.0
966.8,2.38,2.5,12.1,231,,10,85,77,21.0
957.5,2.44,1.6,12.5,235,,19,162,79,21.0
950.1,2.43,1.0,15.3,235,,29,225,81,21.1
944.5,2.44,0.5,17.8,236,,39,272,83,21.1
936.3,2.43,-0.2,17.9,241,,49,342,84,21.1
931.4,2.45,-0.6,17.2,244,,59,384,88,21.1
929.1,2.48,-0.9,16.5,240,,69,404,90,21.1
926.8,2.53,-1.0,15.9,236,,79,424,91,21.1
922.3,2.50,-1.4,16.2,236,,89,462,93,21.1
915.1,2.45,-2.0,18.6,238,,99,525,96,21.1
909.8,2.45,-2.6,21.6,235,,109,571,95,21.1
905.8,2.50,-2.8,22.5,229,,119,607,95,21.1
900.6,2.51,-3.1,21.8,226,,129,651,95,21.0
892.4,2.47,-3.4,22.1,229,,139,723,97,21.0
887.8,2.47,-3.6,23.2,233,,149,765,98,21.0
883.6,2.50,-3.9,23.6,233,,159,802,98,21.0
878.6,2.51,-4.4,23.7,229,,169,847,97,20.9
872.3,2.48,-4.7,23.7,225,,179,904,97,20.9
866.7,2.46,-5.3,23.3,224,,189,955,96,20.9
861.7,2.47,-5.5,23.5,225,,199,1000,94,20.8
856.2,2.44,-6.0,24.0,225,,209,1051,94,20.8
851.8,2.42,-6.3,23.5,224,,218,1090,94,20.8
847.5,2.42,-6.4,21.5,223,,228,1130,92,20.7
843.7,2.42,-6.5,19.2,218,,238,1166,88,20.7
838.9,2.41,-6.8,18.4,215,,248,1209,87,20.6
833.5,2.38,-7.0,18.8,217,,258,1260,86,20.6
828.9,2.37,-7.4,18.9,219,,267,1303,88,20.6
823.5,2.36,-7.6,18.7,219,,277,1354,85,20.5
818.0,2.34,-8.1,18.5,219,,287,1406,88,20.5
813.0,2.33,-8.3,17.8,221,,297,1453,84,20.5
808.5,2.32,-8.6,16.8,224,,307,1497,83,20.4
804.0,2.32,-9.0,16.2,223,,317,1540,85,20.4
799.1,2.30,-9.4,15.9,219,,327,1587,87,20.4
794.2,2.30,-9.9,17.0,217,,337,1635,90,20.3
788.7,2.27,-10.4,18.8,218,,347,1688,92,20.3
784.9,2.27,-10.6,18.9,219,,357,1725,90,20.3
780.7,2.26,-10.9,18.0,221,,367,1767,91,20.2
776.2,2.26,-11.2,18.3,225,,377,1812,89,20.2
771.3,2.24,-11.1,20.0,231,,387,1860,80,20.2
768.1,2.25,-11.4,20.9,234,,396,1892,76,20.1
764.6,2.24,-11.4,20.3,234,,406,1926,73,20.1
761.4,2.23,-11.4,19.2,232,,416,1959,69,20.0
758.1,2.20,-11.4,19.5,229,,426,1993,66,20.0
755.2,2.19,-11.5,20.3,230,,436,2021,66,20.0
752.7,2.20,-11.5,20.3,233,,446,2047,63,20.0
750.2,2.27,-11.5,19.7,235,,456,2073,52,20.0
747.8,2.33,-11.6,18.6,233,,466,2098,50,19.9
744.7,2.39,-11.8,17.2,229,,476,2129,50,19.9
742.1,2.42,-11.5,16.1,227,,486,2156,46,19.9
739.2,2.44,-11.5,16.1,227,,496,2186,41,19.8
737.0,2.40,-11.4,16.9,225,,506,2208,39,19.8
734.8,2.36,-11.6,17.7,223,,516,2231,40,19.8
732.5,2.33,-11.8,18.4,221,,526,2256,40,19.8
730.1,2.30,-12.0,18.5,221,,536,2280,43,19.7
728.2,2.26,-12.1,17.6,223,,546,2301,42,19.7
726.2,2.24,-12.1,16.6,228,,556,2322,40,19.7
724.5,2.23,-12.0,16.3,230,,565,2339,36,19.7
722.8,2.23,-11.9,16.2,229,,575,2358,32,19.7
720.8,2.24,-11.8,16.5,224,,585,2378,30,19.7
718.9,2.27,-11.9,16.8,220,,595,2399,27,19.6
716.8,2.32,-12.0,16.8,218,,605,2421,25,19.6
714.1,2.34,-12.1,16.3,216,,615,2450,24,19.6
711.3,2.35,-12.2,16.2,214,,625,2480,19,19.5
708.8,2.36,-12.4,16.3,211,,635,2506,20,19.5
706.3,2.36,-12.6,16.3,211,,645,2534,19,19.5
703.7,2.35,-12.6,16.7,213,,655,2563,16,19.5
700.4,2.34,-12.8,17.3,219,,665,2598,17,19.5
697.3,2.40,-12.9,17.8,225,,675,2632,17,19.4
694.5,2.52,-12.9,18.1,229,,685,2663,16,19.4
691.8,2.61,-13.0,18.5,231,,695,2691,16,19.4
689.1,2.68,-13.1,19.4,231,,705,2722,19,19.4
686.3,2.71,-13.3,20.6,229,,715,2753,22,19.4
683.4,2.74,-13.4,21.5,226,,725,2785,25,19.4
680.5,2.77,-13.8,21.6,222,,735,2817,28,19.4
677.6,2.78,-13.9,21.7,221,,745,2850,30,19.4
674.6,2.77,-14.2,21.8,222,,755,2883,31,19.4
671.6,2.75,-14.5,22.2,223,,765,2917,32,19.3
668.5,2.72,-14.7,22.3,223,,775,2951,31,19.3
665.3,2.67,-15.0,21.6,222,,785,2988,32,19.3
662.1,2.63,-15.3,20.0,221,,795,3025,35,19.3
658.8,2.59,-15.5,19.0,220,,805,3062,36,19.3
655.3,2.53,-15.9,19.9,221,,815,3102,39,19.3
651.9,2.46,-16.1,21.8,224,,825,3142,43,19.3
648.3,2.39,-16.1,23.4,227,,835,3185,38,19.3
644.8,2.29,-16.4,23.9,230,,845,3224,36,19.2
641.5,2.18,-16.8,23.6,233,,854,3263,36,19.2
638.4,2.11,-17.0,22.8,235,,863,3299,34,19.2
634.7,2.05,-17.3,22.6,237,,873,3343,31,19.2
631.2,2.00,-17.7,23.0,234,,883,3385,28,19.2
627.7,1.95,-18.1,23.0,229,,893,3427,29,19.2
624.2,1.92,-18.3,22.5,226,,903,3468,32,19.2
620.7,1.90,-18.6,22.5,225,,913,3510,32,19.2
617.3,1.88,-19.0,23.4,226,,923,3551,29,19.2
613.7,1.90,-19.3,24.4,228,,933,3594,28,19.2
610.2,1.92,-19.7,25.5,232,,943,3636,28,19.2
606.8,1.96,-19.9,26.6,235,,953,3678,28,19.1
603.4,2.01,-20.1,27.5,235,,963,3719,25,19.1
600.3,2.04,-20.3,27.7,235,,973,3757,24,19.1
597.0,2.05,-20.6,27.8,236,,983,3798,23,19.1
593.3,2.06,-20.6,28.0,236,,993,3844,18,19.0
590.7,2.06,-20.8,27.9,235,,1002,3877,17,19.0
587.3,2.06,-21.1,26.8,233,,1012,3920,16,19.0
584.3,2.11,-21.3,25.4,232,,1022,3957,10,19.0
581.3,2.16,-21.6,24.8,236,,1032,3995,9,19.0
578.4,2.18,-21.8,24.8,238,,1042,4032,7,19.0
575.5,2.19,-22.0,24.5,237,,1052,4069,5,19.0
572.5,2.16,-22.3,24.5,236,,1062,4107,4,18.9
569.8,2.10,-22.3,25.6,236,,1072,4142,3,18.9
566.4,2.08,-22.6,26.9,235,,1082,4185,2,18.9
563.8,2.12,-22.8,27.3,233,,1092,4220,2,18.9
560.7,2.14,-23.1,27.4,230,,1102,4260,2,18.8
557.7,2.14,-23.4,27.5,228,,1112,4299,2,18.8
555.0,2.13,-23.6,27.2,227,,1122,4334,2,18.8
551.1,2.08,-23.9,26.5,227,,1132,4386,3,18.7
547.7,2.03,-24.3,26.2,227,,1142,4431,3,18.6
545.0,2.00,-24.6,26.5,228,,1151,4467,3,18.6
542.1,2.01,-24.9,26.9,230,,1161,4506,4,18.6
539.3,2.01,-25.1,27.0,230,,1171,4544,4,18.6
536.7,2.03,-25.3,26.3,228,,1181,4579,5,18.6
533.3,2.05,-25.6,25.0,226,,1191,4624,5,18.5
530.3,2.06,-25.8,24.3,226,,1201,4665,5,18.5
527.5,2.07,-26.4,24.5,227,,1211,4703,5,18.5
524.5,2.07,-26.8,25.1,227,,1221,4744,6,18.5
521.2,2.07,-27.1,26.1,226,,1231,4791,6,18.5
518.4,2.07,-27.3,27.5,227,,1241,4829,6,18.4
515.2,2.06,-27.5,28.9,229,,1251,4874,7,18.4
512.5,2.03,-27.9,30.0,231,,1261,4912,6,18.4
509.5,2.00,-28.3,30.6,229,,1271,4953,5,18.4
506.4,1.99,-28.5,30.3,229,,1281,4997,3,18.4
503.5,2.00,-28.9,29.4,231,,1291,5038,3,18.3
499.5,2.00,-29.4,28.5,233,,1301,5095,3,18.3
496.5,1.99,-29.8,28.3,232,,1311,5138,3,18.2
493.2,1.97,-30.2,29.3,230,,1321,5186,3,18.2
490.3,1.96,-30.6,30.6,231,,1331,5227,3,18.2
486.9,1.93,-31.1,31.6,233,,1341,5277,4,18.2
483.5,1.91,-31.5,32.2,234,,1351,5326,4,18.2
480.5,1.89,-31.9,32.2,235,,1361,5371,4,18.2
477.6,1.86,-32.3,31.4,233,,1371,5413,4,18.1
474.5,1.85,-32.7,30.4,232,,1381,5460,4,18.1
471.1,1.84,-33.2,29.7,232,,1391,5508,4,18.1
468.0,1.82,-33.6,29.8,234,,1401,5555,4,18.1
464.5,1.81,-34.1,30.3,235,,1411,5609,4,18.0
461.1,1.80,-34.5,30.6,236,,1421,5659,5,18.0
457.8,1.79,-34.9,31.3,236,,1431,5710,6,18.0
454.3,1.78,-35.4,32.2,237,,1441,5764,6,17.9
451.5,1.78,-35.8,32.3,238,,1451,5808,6,17.9
448.4,1.76,-36.1,31.9,239,,1460,5854,6,17.9
445.3,1.77,-36.4,31.6,238,,1470,5902,6,17.8
442.7,1.77,-36.8,31.7,237,,1480,5943,6,17.8
439.7,1.77,-37.3,32.1,235,,1490,5990,5,17.8
436.7,1.77,-37.5,32.7,235,,1500,6037,5,17.7
433.4,1.75,-38.0,33.3,236,,1510,6089,4,17.7
430.6,1.74,-38.5,33.6,236,,1520,6135,4,17.6
428.2,1.72,-38.8,33.3,236,,1530,6172,4,17.6
425.1,1.71,-39.3,33.0,236,,1540,6222,3,17.6
422.7,1.71,-39.4,33.0,237,,1550,6261,3,17.5
420.5,1.71,-39.8,33.1,237,,1560,6297,3,17.5
418.2,1.71,-40.0,33.0,238,,1570,6334,3,17.6
416.0,1.71,-40.3,32.8,237,,1580,6371,3,17.6
413.8,1.70,-40.6,32.7,237,,1590,6406,3,17.6
411.6,1.71,-40.9,33.0,237,,1600,6443,3,17.6
409.2,1.70,-41.3,34.1,237,,1610,6482,3,17.5
406.0,1.71,-41.6,35.2,236,,1620,6535,3,17.5
403.4,1.73,-41.9,36.0,235,,1630,6579,4,17.4
401.0,1.76,-42.3,36.6,234,,1640,6619,5,17.4
398.3,1.83,-42.4,37.5,233,,1650,6665,5,17.4
395.8,1.93,-42.5,38.4,232,,1660,6707,6,17.3
393.0,2.09,-42.6,38.8,231,,1670,6756,6,17.3
390.6,2.21,-42.8,39.0,230,,1680,6797,6,17.2
387.9,2.29,-43.0,39.3,229,,1690,6843,7,17.1
385.9,2.35,-43.3,39.5,229,,1700,6878,7,17.1
383.8,2.38,-43.4,39.7,228,,1710,6916,7,17.1
381.6,2.38,-43.5,40.4,227,,1720,6954,8,17.1
379.8,2.35,-43.6,41.1,226,,1729,6985,9,17.1
377.9,2.33,-43.7,41.8,225,,1739,7019,9,17.1
376.1,2.31,-43.8,42.3,225,,1748,7052,9,17.1
374.1,2.28,-44.1,42.9,224,,1758,7088,9,17.1
371.8,2.26,-44.3,43.5,224,,1768,7129,9,17.1
369.7,2.16,-44.5,43.8,223,,1778,7166,9,17.0
367.6,2.04,-44.9,43.7,222,,1788,7204,9,17.0
365.6,1.94,-45.3,43.4,222,,1798,7240,10,17.0
363.8,1.87,-45.5,43.2,221,,1808,7274,10,17.0
361.8,1.84,-45.8,43.2,221,,1818,7310,10,17.0
359.8,1.91,-45.9,43.6,221,,1828,7347,10,16.9
357.7,1.91,-46.1,44.1,221,,1838,7386,10,16.9
355.7,1.82,-46.5,44.3,222,,1848,7423,11,16.9
353.7,1.72,-46.8,44.4,222,,1858,7460,12,16.9
351.7,1.65,-47.1,44.6,222,,1868,7499,13,16.8
349.6,1.60,-47.6,44.8,222,,1877,7537,14,16.8
347.5,1.57,-47.9,45.0,222,,1887,7577,15,16.8
345.1,1.56,-48.1,45.5,223,,1897,7623,16,16.8
342.9,1.60,-48.3,46.2,223,,1907,7666,17,16.7
340.6,1.64,-48.5,47.1,223,,1917,7709,18,16.7
338.6,1.66,-49.0,48.1,223,,1927,7748,19,16.6
336.3,1.65,-49.3,48.4,224,,1937,7793,21,16.6
334.2,1.65,-49.8,48.3,224,,1947,7833,22,16.6
332.2,1.65,-49.9,48.7,224,,1957,7873,23,16.5
330.3,1.72,-49.9,49.5,224,,1967,7911,24,16.5
328.3,1.84,-50.0,50.0,224,,1977,7951,24,16.5
326.1,1.95,-50.3,50.3,224,,1987,7993,24,16.4
323.9,2.03,-50.7,50.8,225,,1997,8039,24,16.4
322.0,2.08,-50.9,51.3,226,,2007,8076,25,16.4
320.2,2.14,-51.1,51.8,226,,2017,8113,26,16.3
318.5,2.22,-51.3,52.3,227,,2027,8149,26,16.3
316.9,2.29,-51.4,52.9,227,,2036,8180,27,16.3
315.2,2.35,-51.5,53.2,226,,2046,8215,27,16.3
313.3,2.40,-51.8,53.3,226,,2056,8255,23,16.3
311.3,2.42,-52.0,53.5,226,,2066,8295,19,16.2
309.5,2.40,-52.3,53.8,226,,2076,8332,15,16.2
307.9,2.39,-52.4,53.8,226,,2086,8367,11,16.2
306.2,2.39,-52.6,53.5,226,,2096,8403,9,16.2
304.5,2.44,-52.5,53.3,227,,2106,8439,8,16.1
302.7,2.52,-52.6,53.1,227,,2116,8478,8,16.1
300.9,2.57,-52.8,53.0,227,,2126,8516,7,16.1
299.1,2.62,-52.8,53.0,228,,2136,8554,6,16.1
297.3,2.69,-53.0,53.0,228,,2146,8593,6,16.0
295.5,2.80,-53.3,53.0,228,,2156,8632,6,16.0
293.7,2.93,-53.4,53.0,228,,2166,8671,6,16.0
291.9,3.04,-53.3,53.2,228,,2176,8710,6,15.9
290.1,3.15,-53.1,53.2,227,,2186,8750,6,15.9
288.3,3.27,-53.5,52.9,226,,2196,8791,6,15.9
286.6,3.44,-53.0,52.1,226,,2206,8830,6,15.9
284.8,3.68,-53.1,51.5,226,,2216,8870,6,15.9
283.1,3.90,-53.3,51.2,226,,2226,8908,5,15.8
281.4,4.07,-53.3,51.3,226,,2236,8947,5,15.7
279.5,4.28,-53.8,51.5,226,,2246,8989,5,15.7
277.9,4.39,-53.9,51.4,226,,2256,9027,5,15.7
276.1,4.46,-54.1,51.0,227,,2266,9068,4,15.6
274.4,4.53,-54.4,50.5,227,,2276,9109,4,15.6
272.7,4.61,-54.4,50.1,227,,2286,9149,4,15.6
271.1,4.68,-54.0,50.1,227,,2296,9185,4,15.6
269.6,4.77,-54.0,49.9,227,,2306,9221,4,15.6
268.0,4.84,-54.1,49.4,227,,2316,9260,4,15.5
266.5,4.98,-54.0,48.8,226,,2325,9293,4,15.5
265.0,5.12,-54.3,48.3,226,,2335,9331,4,15.4
263.5,5.22,-54.3,48.0,226,,2345,9369,4,15.4
262.0,5.32,-54.4,47.8,225,,2355,9407,3,15.4
260.5,5.42,-54.5,47.7,225,,2365,9444,3,15.4
