
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-06,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A19968

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-12-11,23:16:06

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
286.8,2,315.7,-0.99,312.2,0,DS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.014,25.6,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1024.4,1.07,8.5,8.2,335,,0,6,85,25.1
1020.5,1.19,6.0,11.2,327,,10,37,84,25.1
1015.4,1.27,5.9,12.4,320,,20,78,86,25.1
1010.2,1.31,5.8,14.2,314,,30,120,86,25.1
1004.5,1.38,5.8,15.3,308,,40,167,82,25.1
999.1,1.42,5.6,15.2,304,,50,210,80,25.0
994.3,1.43,5.6,14.6,301,,60,250,80,25.0
988.5,1.45,5.1,13.9,297,,70,298,84,24.9
981.6,1.45,4.6,13.5,294,,80,355,84,24.9
976.1,1.46,4.1,13.6,294,,90,401,86,24.8
970.8,1.46,3.8,14.2,296,,100,446,88,24.8
964.5,1.46,3.4,14.4,298,,110,498,90,24.7
958.7,1.46,3.1,14.0,299,,120,547,85,24.6
954.2,1.47,2.9,13.4,298,,130,586,80,24.6
949.1,1.46,2.8,12.8,296,,140,629,71,24.5
944.8,1.47,2.8,12.1,295,,149,665,62,24.5
939.8,1.47,2.6,11.5,292,,159,708,60,24.5
935.2,1.47,2.2,12.0,289,,169,748,60,24.4
930.3,1.47,1.9,12.6,290,,179,790,62,24.4
924.7,1.47,1.5,12.6,292,,189,839,62,24.3
920.0,1.48,1.4,11.9,294,,199,880,54,24.3
914.9,1.47,1.1,11.7,296,,209,925,61,24.2
910.7,1.48,1.1,11.7,298,,218,961,53,24.1
906.0,1.47,1.0,11.2,297,,228,1003,56,24.1
901.5,1.46,0.6,10.4,293,,238,1043,58,24.0
896.9,1.48,0.5,10.1,290,,248,1084,54,24.0
892.8,1.50,0.4,10.4,289,,258,1121,53,23.9
888.5,1.52,0.3,11.2,288,,268,1160,49,23.9
882.9,1.53,-0.0,12.5,287,,278,1211,46,23.9
878.7,1.53,-0.3,13.3,286,,288,1248,49,23.9
874.5,1.54,-0.4,13.3,286,,297,1287,44,23.8
869.5,1.57,-0.5,12.9,286,,306,1333,38,23.8
863.2,1.57,-0.6,12.5,287,,317,1391,36,23.7
858.5,1.59,-0.6,12.4,289,,327,1435,28,23.7
853.4,1.61,-0.9,12.4,288,,337,1481,27,23.6
848.3,1.60,-1.0,12.1,287,,347,1530,24,23.6
843.2,1.57,-1.1,11.8,287,,357,1578,24,23.5
838.5,1.57,-1.3,11.0,288,,367,1623,19,23.5
833.2,1.60,-1.4,10.6,289,,377,1673,16,23.5
828.8,1.60,-1.6,11.4,295,,387,1715,14,23.5
823.5,1.58,-1.8,12.2,301,,397,1765,12,23.4
818.5,1.59,-2.0,11.9,302,,407,1814,12,23.4
814.5,1.58,-2.3,11.4,298,,417,1852,11,23.3
809.7,1.55,-2.5,11.6,294,,427,1900,10,23.3
804.3,1.54,-2.7,11.8,294,,437,1953,9,23.2
798.9,1.54,-2.9,11.8,295,,447,2005,9,23.2
794.5,1.59,-3.0,11.6,295,,456,2050,14,23.2
787.7,1.66,-3.6,11.6,295,,467,2118,14,23.1
782.7,1.69,-4.0,11.9,295,,477,2168,22,23.1
778.5,1.69,-4.4,12.2,293,,487,2210,23,23.0
774.1,1.68,-4.7,12.0,289,,497,2255,22,23.0
769.9,1.70,-5.0,11.9,287,,507,2298,21,22.9
766.0,1.74,-5.3,11.9,286,,516,2337,16,22.9
761.7,1.79,-5.6,11.8,286,,526,2382,18,22.9
756.9,1.76,-5.9,11.7,287,,536,2432,19,22.9
751.9,1.72,-6.0,11.5,286,,546,2483,16,22.8
747.4,1.73,-6.4,11.7,283,,556,2530,18,22.8
743.2,1.73,-6.6,12.5,283,,566,2574,17,22.8
739.2,1.73,-6.9,13.0,282,,576,2616,18,22.8
735.0,1.73,-7.3,13.1,281,,586,2660,18,22.7
731.0,1.73,-7.5,12.7,284,,596,2703,17,22.7
727.0,1.73,-7.9,11.4,287,,606,2746,16,22.7
723.1,1.73,-8.0,9.7,284,,616,2787,15,22.6
719.3,1.72,-8.3,8.8,278,,626,2828,15,22.6
715.8,1.73,-8.4,8.7,276,,636,2867,14,22.6
712.1,1.74,-8.8,9.0,274,,646,2906,14,22.6
708.7,1.76,-8.9,9.3,275,,656,2943,14,22.6
705.2,1.79,-8.9,9.7,281,,666,2981,10,22.6
700.4,1.81,-8.6,10.2,288,,676,3035,8,22.6
696.0,1.82,-8.9,10.9,293,,686,3083,9,22.6
691.9,1.87,-9.1,11.4,294,,696,3129,9,22.5
688.6,1.90,-9.4,11.2,293,,706,3166,9,22.5
683.9,1.87,-9.5,10.6,290,,716,3218,9,22.5
679.3,1.91,-9.9,9.9,288,,726,3271,9,22.5
675.2,1.94,-10.1,9.2,285,,736,3317,9,22.4
671.3,1.97,-10.1,9.0,277,,746,3362,7,22.4
668.7,2.00,-10.1,9.8,272,,755,3392,6,22.4
665.7,2.06,-10.0,10.4,275,,765,3426,5,22.4
662.6,2.11,-9.9,9.9,281,,775,3463,4,22.4
659.3,2.13,-9.4,9.5,281,,785,3500,3,22.3
655.9,2.28,-8.7,9.6,271,,795,3541,1,22.3
653.2,2.45,-8.6,10.1,263,,805,3572,3,22.3
650.7,2.50,-8.9,10.8,264,,814,3602,4,22.3
647.7,2.49,-9.1,11.2,273,,824,3638,5,22.3
644.9,2.46,-9.4,11.0,282,,834,3672,5,22.2
642.3,2.41,-9.6,10.6,284,,844,3703,6,22.2
639.2,2.39,-9.9,10.6,277,,854,3740,5,22.2
635.7,2.38,-10.3,10.9,273,,864,3783,5,22.2
632.3,2.35,-10.4,9.9,275,,874,3824,6,22.2
628.9,2.26,-10.6,8.4,274,,884,3865,7,22.2
626.1,2.21,-10.9,7.6,270,,894,3899,8,22.1
623.4,2.16,-10.9,7.8,270,,903,3932,9,22.1
620.6,2.13,-11.1,8.9,274,,913,3967,10,22.1
616.7,2.10,-11.5,10.3,279,,923,4016,11,22.1
613.6,2.13,-11.8,10.9,283,,933,4055,10,22.1
610.3,2.13,-11.9,10.9,286,,943,4096,10,22.0
607.3,2.13,-11.9,11.3,284,,953,4133,7,22.0
603.5,1.99,-12.1,12.0,280,,963,4181,9,22.0
599.9,1.84,-12.5,12.3,281,,973,4226,12,22.0
597.0,1.75,-12.8,11.6,284,,983,4263,11,21.9
592.8,1.68,-13.3,10.8,281,,993,4317,9,21.9
589.4,1.65,-13.6,10.5,277,,1003,4360,10,21.9
586.2,1.63,-14.0,10.1,281,,1013,4402,13,21.9
583.2,1.60,-14.2,9.9,286,,1023,4441,8,21.8
580.2,1.59,-14.6,10.4,284,,1033,4481,7,21.8
576.8,1.58,-15.0,10.8,280,,1043,4525,7,21.8
574.0,1.61,-15.4,10.7,282,,1053,4561,7,21.8
571.0,1.64,-15.6,10.5,287,,1063,4601,6,21.8
567.6,1.71,-15.9,10.3,291,,1073,4646,4,21.7
564.0,1.67,-16.2,10.1,289,,1083,4694,5,21.7
560.8,1.64,-16.6,9.8,284,,1093,4736,4,21.7
557.5,1.62,-16.9,9.6,280,,1103,4781,3,21.7
555.0,1.78,-17.0,9.6,276,,1112,4814,3,21.6
551.9,1.90,-17.3,9.6,272,,1122,4856,3,21.6
548.7,2.00,-17.6,9.1,272,,1132,4900,4,21.6
545.7,2.06,-17.8,8.8,272,,1142,4941,3,21.6
543.1,2.00,-18.0,8.9,271,,1152,4977,2,21.5
540.1,1.87,-18.3,9.1,272,,1162,5018,2,21.5
537.1,1.77,-18.8,9.3,275,,1172,5060,2,21.5
534.2,1.69,-19.0,9.7,279,,1182,5100,3,21.5
531.3,1.64,-19.4,10.5,279,,1192,5141,3,21.4
528.8,1.59,-19.6,11.0,277,,1202,5176,3,21.4
525.7,1.56,-19.9,10.5,273,,1212,5219,5,21.4
522.6,1.57,-20.3,9.2,268,,1222,5264,8,21.3
520.0,1.60,-20.6,8.1,270,,1232,5300,8,21.3
517.6,1.62,-20.9,8.3,279,,1242,5334,7,21.3
514.8,1.61,-21.3,9.0,281,,1252,5373,7,21.2
512.2,1.60,-21.8,9.2,278,,1262,5411,6,21.2
510.0,1.59,-22.0,9.1,278,,1272,5443,6,21.2
507.3,1.57,-22.3,8.7,277,,1282,5482,4,21.1
504.9,1.54,-22.6,8.0,273,,1292,5517,4,21.1
502.6,1.56,-22.8,7.5,270,,1302,5550,4,21.1
500.1,1.57,-23.0,7.2,270,,1312,5586,3,21.1
497.8,1.59,-23.3,7.4,271,,1322,5620,3,21.0
495.0,1.57,-23.6,8.1,271,,1332,5661,3,21.0
491.7,1.57,-23.9,9.0,270,,1342,5711,3,21.0
488.9,1.58,-24.3,9.0,268,,1352,5752,3,21.0
486.7,1.59,-24.5,8.3,263,,1362,5785,3,20.9
483.7,1.56,-24.8,7.3,260,,1372,5830,3,20.9
480.3,1.60,-25.0,6.2,260,,1382,5881,3,20.8
477.7,1.62,-25.4,5.7,261,,1392,5921,3,20.8
475.3,1.64,-25.7,6.2,258,,1401,5957,3,20.7
472.7,1.65,-26.0,7.1,253,,1410,5996,3,20.7
470.2,1.74,-26.3,8.1,249,,1420,6036,5,20.7
466.9,1.88,-26.6,8.5,247,,1430,6085,8,20.6
464.4,2.05,-26.8,8.3,246,,1440,6124,13,20.6
461.7,2.17,-27.3,7.8,246,,1450,6166,13,20.6
459.1,2.20,-27.5,7.6,245,,1460,6207,12,20.6
456.5,2.24,-27.8,7.8,242,,1470,6248,11,20.5
453.9,2.28,-28.1,8.2,238,,1480,6290,12,20.5
451.2,2.24,-28.4,8.3,236,,1490,6332,21,20.5
448.6,2.14,-28.8,7.9,235,,1500,6373,36,20.5
446.0,2.07,-29.1,7.4,234,,1509,6414,32,20.5
443.6,2.03,-29.4,7.2,234,,1519,6452,34,20.5
441.1,1.99,-29.8,7.3,234,,1529,6493,43,20.4
438.1,1.95,-30.3,7.5,235,,1539,6542,46,20.4
435.4,1.93,-30.7,7.8,234,,1549,6586,47,20.4
432.9,1.97,-31.0,7.8,229,,1559,6628,44,20.3
430.3,2.06,-31.3,7.8,226,,1569,6671,41,20.3
427.7,2.14,-31.4,7.8,227,,1579,6712,36,20.3
424.7,2.21,-31.8,7.9,229,,1589,6762,34,20.3
422.3,2.26,-32.1,7.6,225,,1599,6803,35,20.3
419.9,2.31,-32.4,7.1,221,,1609,6842,35,20.2
417.5,2.32,-32.8,6.9,220,,1619,6884,36,20.2
415.0,2.31,-33.3,7.1,220,,1629,6926,38,20.1
412.5,2.22,-33.3,7.6,220,,1639,6966,36,20.1
410.4,2.19,-33.3,7.7,220,,1649,7004,29,20.1
408.0,2.16,-33.4,7.5,219,,1659,7044,27,20.1
405.8,2.11,-33.8,7.5,219,,1669,7083,26,20.0
403.5,2.10,-33.9,7.8,220,,1679,7121,25,20.0
401.0,2.10,-34.3,8.3,219,,1689,7166,23,20.0
398.8,2.12,-34.6,8.8,218,,1699,7204,21,19.9
396.9,2.10,-34.8,9.0,218,,1708,7238,21,19.9
394.8,2.10,-35.3,9.1,218,,1718,7274,22,19.9
392.7,2.07,-35.4,9.4,219,,1728,7312,22,19.8
390.6,2.03,-35.8,10.1,222,,1738,7348,22,19.8
388.6,1.98,-36.0,10.6,222,,1748,7384,22,19.8
386.6,1.94,-36.1,10.5,222,,1758,7421,22,19.7
384.6,1.91,-36.4,10.2,220,,1768,7457,23,19.7
382.4,1.90,-36.8,10.0,217,,1778,7497,25,19.7
380.2,1.90,-37.0,10.2,214,,1788,7535,27,19.6
378.1,1.90,-37.3,10.6,214,,1798,7574,32,19.6
375.8,1.89,-37.6,10.9,214,,1808,7616,38,19.5
373.7,1.90,-38.0,10.8,215,,1818,7655,37,19.5
371.6,1.90,-38.3,10.8,217,,1828,7693,42,19.5
369.5,1.91,-38.5,10.7,219,,1838,7732,41,19.5
367.3,1.92,-38.8,10.6,221,,1848,7773,44,19.5
365.1,1.93,-39.1,10.4,221,,1858,7815,37,19.4
363.0,1.98,-39.3,10.0,219,,1868,7855,31,19.4
360.7,1.94,-39.6,9.8,216,,1878,7898,42,19.4
358.5,1.80,-39.9,9.7,216,,1888,7939,53,19.3
356.5,1.68,-40.3,9.7,216,,1898,7978,54,19.3
354.3,1.56,-40.5,9.8,218,,1908,8020,52,19.3
352.2,1.48,-40.8,10.1,221,,1918,8060,49,19.2
350.0,1.42,-41.1,10.6,223,,1928,8102,49,19.2
347.8,1.40,-41.5,11.1,224,,1938,8146,49,19.1
345.5,1.38,-41.9,11.3,225,,1948,8190,49,19.1
343.2,1.35,-42.3,11.1,225,,1958,8236,51,19.1
341.0,1.35,-42.6,10.8,225,,1968,8280,49,19.0
338.8,1.33,-43.0,10.8,227,,1978,8322,51,19.0
336.9,1.32,-43.3,11.1,229,,1987,8361,53,19.0
334.9,1.32,-43.8,11.4,230,,1996,8400,53,18.9
332.8,1.31,-44.0,11.5,231,,2006,8443,54,18.9
330.7,1.31,-44.3,11.4,233,,2016,8486,52,18.8
328.5,1.30,-44.8,11.3,234,,2026,8531,54,18.8
326.4,1.28,-45.1,11.4,235,,2036,8573,56,18.7
324.3,1.26,-45.5,11.7,235,,2046,8616,57,18.7
322.2,1.23,-45.8,11.7,236,,2056,8660,59,18.7
320.1,1.22,-46.3,11.5,237,,2066,8703,58,18.6
318.0,1.21,-46.4,11.4,238,,2076,8746,55,18.6
315.9,1.21,-46.8,11.3,239,,2086,8790,52,18.5
313.9,1.20,-47.1,11.1,240,,2096,8832,52,18.5
311.9,1.20,-47.5,10.9,240,,2106,8874,53,18.5
310.0,1.20,-47.9,10.6,240,,2116,8916,55,18.4
308.1,1.20,-48.3,10.6,240,,2126,8956,56,18.4
306.1,1.20,-48.6,10.9,238,,2136,8999,57,18.3
304.1,1.27,-48.9,11.2,237,,2146,9042,54,18.3
302.1,1.32,-49.3,11.2,237,,2156,9085,51,18.2
300.0,1.42,-49.6,11.0,239,,2166,9129,48,18.2
298.1,1.55,-50.0,10.6,239,,2176,9172,44,18.1
296.2,1.62,-50.3,10.3,238,,2186,9214,41,18.1
294.5,1.65,-50.7,10.1,238,,2195,9252,37,18.0
292.7,1.70,-50.9,10.2,238,,2205,9292,35,18.0
290.9,1.72,-50.9,10.3,237,,2215,9331,29,17.9
289.1,1.67,-51.1,10.4,235,,2225,9371,23,17.9
287.3,1.62,-51.4,10.5,233,,2235,9411,21,17.8
285.5,1.66,-51.6,10.6,231,,2245,9453,23,17.8
283.6,1.76,-52.0,10.6,230,,2255,9493,26,17.7
282.0,1.88,-52.3,10.5,229,,2265,9533,28,17.7
280.3,2.06,-52.5,10.1,229,,2275,9572,28,17.6
278.8,2.23,-52.8,9.7,231,,2284,9606,28,17.6
277.2,2.35,-52.8,9.3,235,,2294,9643,28,17.6
275.4,2.40,-52.8,8.9,240,,2304,9684,29,17.5
273.8,2.40,-53.0,8.8,245,,2314,9723,30,17.5
272.1,2.29,-53.1,8.9,247,,2324,9764,29,17.4
270.4,2.22,-53.4,9.3,246,,2334,9804,28,17.4
268.8,2.16,-53.6,9.9,245,,2343,9842,27,17.3
267.0,2.21,-53.9,11.0,244,,2353,9886,28,17.3
264.6,2.36,-54.2,12.2,242,,2363,9943,29,17.2
262.8,2.51,-54.3,12.6,240,,2373,9985,29,17.2
261.0,2.66,-54.7,12.4,240,,2383,10030,26,17.1
259.3,2.83,-55.0,12.3,242,,2393,10073,24,17.1
257.6,2.93,-55.1,12.1,244,,2403,10114,24,17.0
256.0,2.97,-55.0,11.9,243,,2413,10155,25,17.0
254.1,3.08,-55.2,11.8,242,,2423,10201,23,16.9
252.4,3.18,-55.3,11.7,241,,2433,10244,22,16.9
250.6,3.22,-55.6,11.6,240,,2443,10287,21,16.8
249.0,3.24,-55.2,11.4,237,,2453,10331,21,16.8
247.4,3.48,-54.8,11.3,235,,2463,10372,18,16.7
245.8,3.86,-54.5,11.4,236,,2473,10413,15,16.7
244.1,4.09,-53.9,11.3,239,,2483,10455,13,16.6
242.8,4.09,-54.1,10.9,242,,2493,10494,12,16.5
241.3,4.05,-53.6,10.9,242,,2503,10532,11,16.5
239.9,4.07,-53.6,11.8,243,,2513,10570,10,16.5
238.5,4.16,-53.5,12.8,245,,2523,10607,9,16.4
237.1,4.18,-53.3,13.3,248,,2533,10642,8,16.4
235.9,4.16,-53.1,13.2,251,,2543,10678,8,16.3
234.5,4.14,-53.0,12.9,253,,2553,10715,7,16.3
233.3,4.15,-52.9,12.6,253,,2563,10749,6,16.2
232.0,4.17,-52.5,12.1,252,,2573,10783,6,16.2
230.9,4.20,-52.3,12.0,250,,2582,10816,6,16.1
229.7,4.22,-52.3,12.3,247,,2592,10849,5,16.1
228.4,4.31,-51.8,12.8,244,,2602,10885,5,16.1
227.2,4.36,-51.9,12.9,244,,2612,10920,4,16.0
226.0,4.44,-52.0,12.3,245,,2622,10954,4,16.0
224.7,4.53,-51.4,11.5,249,,2632,10991,4,15.9
223.5,4.56,-50.8,10.8,254,,2642,11026,4,15.9
222.3,4.64,-50.3,10.3,257,,2652,11061,3,15.9
221.2,4.74,-49.8,10.4,260,,2662,11095,3,15.8
219.9,4.83,-49.5,10.5,263,,2672,11132,2,15.8
218.8,4.89,-49.1,10.4,267,,2682,11165,2,15.7
217.5,4.93,-49.3,10.6,271,,2692,11203,2,15.7
216.3,4.97,-49.3,10.9,275,,2702,11240,2,15.6
215.0,5.01,-49.3,10.9,280,,2712,11279,2,15.6
213.8,5.03,-49.0,10.7,286,,2722,11317,2,15.6
212.5,5.10,-48.9,10.4,291,,2732,11357,2,15.5
211.2,5.17,-48.9,10.2,292,,2742,11397,1,15.5
209.9,5.22,-49.1,10.2,293,,2752,11436,1,15.4
208.7,5.25,-49.3,10.6,295,,2762,11476,1,15.4
207.4,5.25,-49.5,11.1,297,,2772,11516,1,15.3
206.2,5.23,-49.4,11.5,296,,2782,11555,1,15.3
204.9,5.07,-49.5,11.6,293,,2792,11596,1,15.3
203.6,5.01,-49.8,11.7,289,,2802,11636,1,15.2
202.4,5.03,-50.1,11.9,285,,2812,11677,1,15.2
201.1,5.03,-50.1,12.0,282,,2822,11717,1,15.1
199.9,5.13,-50.3,12.1,282,,2832,11758,1,15.1
198.5,5.14,-50.3,12.4,285,,2842,11802,1,15.1
197.3,5.07,-50.3,12.9,287,,2852,11843,1,15.0
196.0,4.95,-50.3,13.4,287,,2862,11884,1,15.0
194.9,4.72,-50.4,13.5,286,,2871,11923,1,14.9
193.7,4.58,-50.5,13.4,284,,2880,11962,1,14.9
192.4,4.44,-50.8,13.3,281,,2890,12007,1,14.9
191.0,4.31,-50.8,13.5,276,,2900,12054,1,14.8
189.6,4.18,-51.0,14.0,272,,2910,12102,1,14.8
188.3,4.10,-51.0,14.1,272,,2920,12148,1,14.8
187.0,4.01,-51.0,13.8,273,,2930,12192,1,14.7
185.7,3.99,-51.0,13.7,276,,2940,12237,1,14.7
184.4,3.96,-51.3,13.8,279,,2950,12282,1,14.6
183.2,3.96,-51.3,14.3,281,,2960,12324,1,14.6
182.0,4.04,-51.4,14.8,281,,2970,12367,1,14.5
180.8,4.05,-51.3,15.0,281,,2980,12411,1,14.5
179.6,4.05,-51.3,15.0,282,,2990,12454,1,14.4
178.4,4.05,-51.3,14.8,283,,3000,12496,1,14.4
177.4,4.06,-51.3,14.9,281,,3010,12535,1,14.4
176.4,4.11,-51.3,15.2,278,,3020,12571,1,14.3
175.5,4.19,-51.0,15.4,278,,3029,12604,1,14.3
174.4,4.38,-50.8,15.7,279,,3039,12642,1,14.3
173.6,4.63,-50.9,15.9,282,,3049,12676,1,14.2
172.6,4.84,-51.1,16.3,283,,3059,12710,1,14.2
171.8,4.97,-51.3,16.6,285,,3069,12742,1,14.1
170.9,4.84,-51.1,16.5,286,,3079,12773,1,14.1
170.2,4.72,-50.8,16.4,286,,3089,12803,1,14.0
169.4,4.72,-50.6,16.5,284,,3099,12833,1,14.0
168.6,4.64,-50.4,17.0,283,,3109,12862,1,13.9
167.9,4.58,-50.3,17.8,283,,3119,12891,1,13.9
167.1,4.41,-50.3,18.5,284,,3129,12920,1,13.9
166.4,4.22,-50.5,18.9,285,,3139,12947,1,13.8
165.8,4.03,-50.5,18.5,286,,3149,12974,1,13.8
165.0,3.90,-50.5,17.6,286,,3159,13005,1,13.8
164.3,3.82,-50.5,16.7,286,,3168,13034,1,13.7
163.4,3.79,-50.3,15.6,286,,3178,13068,1,13.7
162.6,3.83,-50.1,14.8,287,,3188,13101,1,13.6
161.7,3.96,-50.3,14.2,287,,3198,13136,1,13.6
160.7,4.05,-50.4,13.5,288,,3208,13178,1,13.6
159.6,4.13,-50.5,12.7,291,,3218,13223,1,13.5
158.6,4.18,-50.5,12.3,292,,3228,13263,1,13.5
157.6,4.25,-50.4,12.3,291,,3238,13303,1,13.5
156.6,4.25,-50.3,12.7,290,,3248,13344,1,13.4
155.6,4.16,-50.5,13.2,288,,3258,13387,1,13.4
154.6,4.08,-50.8,13.6,285,,3268,13430,1,13.4
153.5,4.02,-50.9,14.1,282,,3278,13475,1,13.3
152.5,3.96,-51.3,14.9,279,,3288,13520,1,13.3
151.3,3.92,-51.4,15.7,278,,3298,13568,1,13.3
150.2,3.85,-51.6,16.4,276,,3308,13617,1,13.2
149.0,3.81,-51.5,16.4,275,,3318,13668,1,13.2
147.9,3.82,-51.4,15.9,275,,3328,13716,1,13.1
146.8,3.82,-51.6,15.1,276,,3338,13766,1,13.1
145.7,3.83,-51.8,14.5,279,,3348,13814,1,13.1
144.6,3.85,-51.9,14.2,282,,3358,13864,1,13.0
143.5,3.85,-51.9,14.1,282,,3368,13912,1,13.0
142.5,3.87,-51.8,14.1,279,,3378,13959,1,13.0
141.5,3.85,-51.5,13.9,276,,3388,14004,1,12.9
140.5,3.85,-51.5,13.8,274,,3398,14050,1,12.9
139.6,3.88,-51.3,14.2,272,,3408,14093,1,12.9
138.6,3.91,-51.3,15.1,270,,3418,14138,1,12.8
137.6,3.98,-51.3,15.8,269,,3428,14183,1,12.8
136.7,4.08,-50.6,15.5,270,,3438,14226,1,12.8
135.8,4.25,-50.1,14.4,273,,3448,14270,1,12.7
135.1,4.41,-50.3,13.5,275,,3457,14304,1,12.7
134.3,4.48,-50.3,12.6,278,,3467,14342,1,12.6
133.6,4.59,-50.1,12.3,283,,3477,14380,1,12.6
132.8,4.85,-49.8,12.4,287,,3487,14417,1,12.6
132.1,5.20,-50.1,12.8,291,,3497,14451,1,12.5
131.3,5.39,-50.3,12.9,294,,3507,14491,1,12.5
130.4,5.39,-50.3,12.9,297,,3517,14532,1,12.5
129.6,5.41,-50.7,12.9,299,,3527,14572,1,12.4
128.9,5.39,-51.2,12.8,300,,3537,14614,1,12.4
128.1,5.34,-51.3,12.5,302,,3547,14653,1,12.4
127.3,5.22,-51.4,12.4,303,,3557,14693,1,12.3
126.5,5.05,-51.3,12.3,303,,3567,14734,1,12.3
125.6,4.82,-51.4,12.1,300,,3577,14776,1,12.3
124.9,4.69,-51.7,11.8,298,,3587,14815,1,12.2
124.1,4.58,-51.9,11.4,296,,3597,14857,1,12.2
123.3,4.46,-51.8,11.1,294,,3607,14898,1,12.2
122.5,4.42,-51.8,11.0,293,,3617,14940,1,12.1
121.8,4.37,-51.8,11.4,292,,3627,14981,1,12.1
120.9,4.36,-52.1,11.8,292,,3637,15026,1,12.1
120.1,4.38,-52.5,12.0,293,,3647,15069,1,12.0
119.3,4.35,-52.8,11.9,293,,3657,15113,1,12.0
118.5,4.36,-53.1,11.8,290,,3667,15156,1,11.9
117.6,4.39,-53.3,11.8,288,,3677,15201,1,11.9
116.9,4.39,-53.1,12.1,287,,3687,15245,1,11.9
116.1,4.44,-53.3,12.4,288,,3697,15289,1,11.9
115.3,4.61,-53.5,12.6,290,,3707,15334,1,11.8
