
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-29,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21885

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-06-03,23:16:39

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
278.9,2,298.6,-1.00,300,2,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.029,26.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1006.0,3.60,4.0,13.9,254,,0,6,83,27.9
999.0,3.29,3.5,16.1,256,,10,63,82,27.8
993.2,3.28,3.0,16.7,252,,20,110,84,27.7
988.5,3.30,2.6,17.8,246,,30,148,85,27.6
985.3,3.28,2.3,19.4,244,,40,174,86,27.5
983.2,3.29,2.1,20.5,245,,49,191,87,27.5
980.5,3.33,2.0,20.8,245,,59,214,87,27.4
976.7,3.32,1.7,20.8,245,,69,245,87,27.3
973.0,3.37,1.5,21.0,247,,79,276,88,27.2
967.5,3.22,1.1,21.2,249,,89,321,90,27.1
961.8,3.23,1.0,21.5,251,,99,369,91,27.1
955.4,3.23,0.6,21.6,252,,109,422,91,27.0
948.9,3.23,0.1,21.5,253,,119,477,92,27.0
942.8,3.22,-0.3,21.5,255,,129,528,91,26.9
936.9,3.22,-0.8,21.8,257,,139,579,92,26.9
931.8,3.21,-1.1,22.2,258,,147,623,97,26.8
925.7,3.18,-1.6,22.7,259,,157,675,98,26.8
919.7,3.16,-1.9,23.0,259,,167,727,100,26.7
913.4,3.15,-2.4,22.6,259,,177,782,97,26.6
907.3,3.14,-2.9,21.7,259,,187,835,100,26.5
901.0,3.13,-3.0,20.8,260,,197,890,100,26.5
894.4,3.09,-3.3,20.6,262,,207,948,100,26.4
889.1,3.09,-3.6,20.9,264,,216,996,100,26.3
883.6,3.06,-3.9,21.4,263,,226,1044,84,26.2
878.2,3.04,-4.0,21.5,259,,235,1093,72,26.2
871.7,3.01,-4.8,21.5,256,,245,1151,76,26.1
865.9,2.99,-5.1,22.0,254,,255,1203,73,26.0
860.3,2.98,-5.6,22.8,253,,264,1255,76,26.0
854.8,2.96,-6.3,23.0,253,,275,1305,85,25.9
849.6,2.93,-6.3,22.8,253,,285,1352,79,25.8
845.0,2.91,-6.8,23.1,252,,294,1396,79,25.8
839.8,2.89,-6.8,24.7,251,,305,1442,67,25.7
836.0,2.87,-6.9,25.8,250,,315,1478,61,25.6
832.6,2.86,-7.0,25.0,249,,325,1510,60,25.6
828.3,2.84,-7.4,23.3,249,,334,1551,61,25.5
823.3,2.83,-7.8,22.5,249,,344,1598,61,25.5
818.5,2.80,-8.1,23.0,252,,355,1643,66,25.4
815.0,2.81,-8.3,23.7,254,,364,1676,82,25.3
810.4,2.80,-8.5,23.9,255,,374,1721,85,25.3
805.1,2.79,-8.9,24.0,254,,384,1771,84,25.2
800.5,2.77,-9.1,23.8,255,,394,1816,82,25.1
795.8,2.75,-9.5,23.5,255,,403,1862,79,25.0
792.4,2.75,-9.6,23.7,256,,412,1895,76,25.0
788.1,2.72,-9.9,24.5,256,,423,1936,46,24.9
784.8,2.71,-10.1,24.8,256,,432,1969,40,24.9
781.6,2.70,-10.4,24.7,254,,441,2001,39,24.8
777.9,2.68,-10.6,25.0,253,,451,2036,36,24.7
773.3,2.66,-11.0,25.3,255,,461,2082,34,24.7
769.8,2.66,-11.0,25.4,259,,471,2116,22,24.6
766.4,2.66,-11.1,25.3,263,,481,2151,18,24.6
761.9,2.66,-10.8,25.5,265,,491,2196,13,24.5
757.8,2.67,-10.9,25.7,265,,501,2237,18,24.5
753.3,2.68,-11.1,25.7,265,,511,2283,18,24.4
749.3,2.68,-11.4,26.0,266,,521,2323,18,24.3
744.7,2.68,-11.9,26.8,267,,531,2371,21,24.3
740.2,2.67,-12.1,27.7,269,,541,2417,23,24.2
736.8,2.67,-12.4,28.1,270,,551,2453,25,24.1
732.8,2.65,-12.8,28.2,270,,561,2495,26,24.1
728.4,2.63,-13.1,28.3,270,,571,2540,26,24.0
724.6,2.61,-13.4,28.4,270,,581,2580,27,24.0
720.7,2.59,-13.8,28.7,270,,591,2621,28,23.9
716.7,2.59,-14.1,29.3,271,,601,2663,29,23.9
