
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-29,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21866

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-08-19,23:31:54

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
292.0,2,307.4,-1.01,310.5,2,ZB,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.020,26.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998.1,2.99,2.9,11.8,257,,0,6,69,23.7
991.7,3.02,2.3,11.3,270,,10,58,61,23.8
986.2,3.10,1.9,12.6,260,,20,103,61,23.9
977.7,3.10,1.1,13.2,257,,30,172,64,23.9
971.2,3.10,0.6,13.2,255,,40,226,66,24.0
964.1,3.10,-0.0,13.7,249,,50,285,67,24.0
959.9,3.14,-0.4,14.6,244,,60,320,69,24.0
955.9,3.07,-0.6,15.0,243,,70,353,70,24.0
950.7,3.07,-1.1,15.3,244,,79,396,71,24.0
945.2,3.13,-1.6,15.8,244,,89,443,72,24.0
940.2,3.06,-2.0,16.0,244,,99,485,73,24.0
935.1,3.06,-2.4,15.8,243,,109,528,73,24.0
929.3,3.07,-2.9,15.4,241,,119,577,75,24.0
923.1,3.09,-3.4,15.1,240,,129,630,78,24.0
916.8,3.04,-3.9,14.9,240,,139,684,80,23.9
910.7,3.03,-4.4,14.4,241,,149,737,83,23.9
904.2,3.06,-5.0,14.0,242,,159,793,85,23.8
898.3,3.02,-5.5,13.8,241,,169,846,88,23.8
892.7,3.01,-5.9,13.4,240,,179,895,90,23.8
887.0,2.98,-6.0,12.9,240,,189,944,85,23.7
881.5,2.95,-6.2,12.8,242,,199,993,76,23.7
875.7,2.95,-6.5,12.7,245,,209,1045,73,23.6
870.0,2.93,-6.9,12.4,247,,219,1096,72,23.6
864.3,2.90,-7.2,11.9,248,,229,1147,71,23.5
859.4,2.89,-7.5,12.0,249,,238,1191,73,23.5
854.2,2.87,-7.8,12.9,250,,248,1239,74,23.5
848.8,2.88,-7.9,13.6,251,,258,1288,66,23.4
843.3,2.86,-8.4,13.7,252,,268,1339,66,23.3
838.0,2.87,-8.8,13.4,253,,278,1387,68,23.3
832.6,2.86,-8.9,12.7,255,,288,1437,72,23.3
827.3,2.85,-9.0,11.9,257,,298,1487,78,23.2
821.8,2.84,-9.4,11.3,259,,308,1538,78,23.1
816.4,2.83,-9.9,10.6,260,,318,1590,79,23.1
811.2,2.82,-10.3,10.2,260,,328,1639,80,23.1
806.2,2.81,-10.6,10.0,261,,338,1686,81,23.0
801.0,2.80,-11.0,9.9,261,,348,1736,83,23.0
796.0,2.78,-11.5,9.7,261,,358,1784,85,23.0
791.0,2.78,-11.9,9.4,261,,368,1832,88,22.9
786.3,2.76,-12.4,9.1,261,,378,1878,90,22.9
781.8,2.75,-12.7,9.3,261,,387,1921,90,22.9
777.6,2.73,-13.0,9.7,261,,396,1963,86,22.9
771.8,2.72,-13.5,10.3,257,,407,2020,73,22.8
766.7,2.71,-14.0,10.8,253,,417,2070,74,22.8
762.4,2.68,-14.4,11.1,251,,427,2112,75,22.9
758.5,2.64,-14.8,11.4,252,,435,2151,76,22.9
751.9,2.65,-14.8,11.7,257,,448,2217,28,22.8
747.4,2.63,-15.0,11.8,259,,457,2263,23,22.8
742.8,2.63,-15.1,11.9,261,,467,2310,25,22.7
738.5,2.63,-15.4,12.1,263,,477,2354,29,22.7
733.8,2.63,-15.8,12.4,265,,487,2401,29,22.7
729.7,2.61,-16.0,12.5,267,,497,2444,26,22.8
725.2,2.58,-16.0,12.4,268,,507,2490,22,22.8
721.3,2.57,-16.3,12.2,268,,517,2531,23,22.7
717.2,2.56,-16.5,12.4,269,,527,2574,27,22.6
713.1,2.54,-16.9,12.9,270,,537,2616,27,22.6
709.4,2.53,-17.3,13.2,270,,546,2656,27,22.6
705.6,2.53,-17.5,13.1,270,,556,2696,27,22.5
701.5,2.51,-17.8,12.8,271,,566,2739,27,22.5
697.6,2.50,-18.0,12.6,273,,576,2781,24,22.5
693.1,2.49,-18.0,12.4,276,,586,2829,33,22.5
689.7,2.52,-18.3,12.2,279,,596,2866,38,22.4
686.0,2.52,-18.5,12.0,281,,606,2906,44,22.4
682.7,2.53,-18.4,11.5,283,,616,2942,44,22.4
679.3,2.53,-18.4,11.0,285,,626,2980,51,22.4
675.6,2.51,-18.6,10.9,287,,636,3021,62,22.4
671.9,2.49,-18.8,11.5,288,,646,3061,54,22.4
668.2,2.47,-19.1,12.2,287,,656,3102,45,22.5
664.8,2.48,-19.4,12.5,286,,666,3140,37,22.4
661.2,2.48,-19.8,12.6,286,,676,3181,36,22.4
657.6,2.47,-20.1,12.3,286,,686,3221,37,22.4
653.8,2.45,-20.5,11.9,286,,696,3264,38,22.3
650.5,2.44,-20.8,11.4,287,,706,3302,40,22.3
647.0,2.44,-21.3,11.0,288,,716,3342,42,22.3
643.3,2.42,-21.5,10.7,290,,726,3383,48,22.2
639.6,2.41,-21.8,10.6,291,,736,3426,47,22.2
635.8,2.41,-22.3,10.4,292,,746,3470,51,22.2
632.1,2.37,-22.4,9.9,292,,756,3513,55,22.2
628.4,2.33,-22.8,9.6,295,,766,3555,59,22.2
625.0,2.30,-23.0,9.9,298,,776,3596,63,22.2
621.5,2.29,-23.3,10.7,300,,786,3636,60,22.2
618.2,2.27,-23.3,11.5,301,,795,3675,50,22.2
614.8,2.27,-23.3,12.6,304,,805,3716,39,22.1
611.2,2.27,-23.4,13.4,306,,815,3760,42,22.1
607.7,2.26,-23.8,13.4,307,,825,3802,48,22.1
603.9,2.25,-24.2,13.1,307,,835,3846,53,22.1
600.7,2.21,-24.5,12.7,309,,844,3886,55,22.1
597.0,2.19,-24.9,12.3,311,,854,3930,59,22.1
593.5,2.16,-25.3,12.1,314,,864,3973,65,22.1
590.0,2.14,-25.5,12.5,316,,874,4016,64,22.0
586.6,2.15,-25.6,13.1,316,,884,4057,66,21.9
583.0,2.17,-25.9,13.7,316,,894,4102,60,21.9
579.5,2.17,-26.3,13.8,315,,904,4146,60,21.9
575.8,2.15,-26.8,13.5,314,,914,4192,61,21.9
572.2,2.13,-27.3,13.4,313,,924,4237,61,21.9
568.7,2.13,-27.6,13.5,313,,934,4282,64,21.9
565.0,2.12,-28.1,13.4,313,,944,4328,65,21.8
561.5,2.12,-28.5,13.3,313,,954,4373,66,21.8
558.0,2.10,-28.9,13.2,315,,964,4417,62,21.8
554.6,2.08,-29.3,13.3,316,,974,4462,64,21.7
551.2,2.09,-29.6,13.3,316,,984,4505,65,21.7
547.7,2.06,-30.1,13.1,315,,994,4551,66,21.7
544.5,2.07,-30.4,13.1,312,,1004,4592,60,21.6
541.6,2.08,-30.8,13.3,310,,1014,4630,55,21.6
538.7,2.06,-30.9,13.6,312,,1024,4668,53,21.7
535.9,2.04,-31.1,14.2,317,,1034,4706,52,21.6
533.1,2.04,-31.3,15.1,318,,1044,4743,45,21.6
530.1,2.05,-31.8,15.3,318,,1054,4783,45,21.5
527.2,2.04,-32.0,14.9,317,,1064,4820,51,21.5
524.5,2.03,-32.3,14.2,316,,1074,4857,54,21.5
521.7,2.03,-32.5,13.6,316,,1084,4895,48,21.5
518.7,2.02,-32.9,13.3,319,,1094,4935,45,21.4
516.1,2.03,-33.3,13.6,323,,1104,4971,45,21.4
513.3,2.02,-33.6,14.3,325,,1114,5009,47,21.4
510.4,2.02,-34.0,14.8,326,,1124,5048,50,21.3
507.8,2.01,-34.3,14.7,326,,1133,5084,52,21.3
505.3,1.99,-34.8,14.3,327,,1142,5118,53,21.2
502.7,2.00,-35.0,13.9,327,,1152,5154,49,21.2
500.3,2.01,-35.3,13.6,325,,1162,5188,47,21.2
497.6,2.03,-35.6,13.1,323,,1172,5226,46,21.1
495.0,2.05,-35.9,12.7,323,,1182,5262,43,21.1
492.4,2.05,-36.1,12.6,321,,1192,5299,38,21.1
489.8,2.10,-35.9,12.3,315,,1202,5336,25,21.0
487.1,2.16,-35.4,11.7,309,,1212,5374,11,21.0
484.5,2.19,-35.4,10.9,304,,1222,5411,7,21.0
481.8,2.26,-34.9,10.3,303,,1232,5449,4,21.0
479.5,2.30,-35.3,10.4,305,,1241,5483,4,21.0
476.9,2.34,-35.7,11.5,307,,1251,5522,4,21.0
474.0,2.40,-35.8,12.5,301,,1261,5563,4,21.0
471.0,2.46,-36.0,12.9,293,,1271,5607,4,20.9
468.3,2.51,-36.3,12.9,288,,1281,5648,3,20.9
465.3,2.50,-36.3,12.9,288,,1291,5691,3,20.8
462.5,2.53,-36.3,13.4,290,,1301,5734,2,20.8
459.6,2.59,-36.4,13.5,292,,1311,5777,1,20.8
456.6,2.57,-36.6,13.1,292,,1321,5823,2,20.8
453.6,2.43,-37.0,12.8,288,,1331,5868,2,20.7
450.9,2.27,-37.3,12.9,287,,1341,5910,3,20.7
448.1,2.15,-37.6,12.9,288,,1351,5952,3,20.7
445.3,2.08,-38.0,12.4,286,,1361,5995,3,20.6
442.5,2.03,-38.4,12.7,282,,1371,6038,3,20.6
439.8,1.98,-38.7,13.2,283,,1381,6080,3,20.5
437.1,1.90,-39.0,12.5,287,,1391,6123,3,20.5
434.4,1.83,-39.4,11.6,286,,1401,6165,4,20.5
431.8,1.77,-39.8,12.0,283,,1411,6206,4,20.5
429.1,1.73,-40.2,12.8,283,,1421,6248,5,20.4
426.8,1.69,-40.5,13.1,285,,1430,6287,6,20.4
424.1,1.67,-40.8,13.2,287,,1439,6329,5,20.3
421.5,1.66,-41.2,13.4,288,,1449,6371,5,20.3
419.0,1.63,-41.5,13.7,290,,1459,6412,5,20.3
416.4,1.61,-41.9,13.9,291,,1469,6454,7,20.2
413.7,1.59,-42.3,13.7,292,,1479,6497,8,20.1
411.1,1.58,-42.6,13.4,292,,1489,6540,9,20.2
408.8,1.57,-43.0,13.3,292,,1499,6578,12,20.2
406.5,1.60,-43.4,13.2,292,,1509,6616,17,20.1
404.1,1.63,-43.7,13.0,293,,1519,6655,20,20.1
401.9,1.64,-43.9,13.0,295,,1529,6693,23,20.0
399.5,1.64,-44.1,12.9,298,,1539,6731,15,20.0
397.3,1.66,-44.3,12.7,301,,1549,6771,18,20.0
394.9,1.70,-44.3,12.9,302,,1559,6810,17,20.0
392.6,1.71,-44.6,13.8,305,,1569,6849,14,19.9
390.6,1.70,-44.8,14.2,309,,1579,6883,13,19.9
388.6,1.71,-44.8,14.2,308,,1589,6917,12,19.9
386.6,1.72,-45.0,14.3,306,,1599,6953,10,19.9
384.6,1.70,-45.3,14.4,302,,1609,6987,9,19.8
382.8,1.66,-45.5,15.0,298,,1619,7019,7,19.8
380.5,1.62,-45.8,16.1,297,,1629,7058,6,19.7
378.3,1.58,-46.0,16.7,298,,1639,7098,5,19.6
375.9,1.54,-46.4,16.7,299,,1649,7139,5,19.6
373.6,1.51,-46.5,16.8,300,,1659,7179,5,19.6
371.3,1.48,-46.9,16.8,301,,1669,7220,6,19.5
369.2,1.46,-47.1,16.6,303,,1679,7258,6,19.5
367.1,1.45,-47.4,16.4,305,,1689,7296,6,19.5
364.9,1.44,-47.8,16.3,308,,1699,7336,5,19.5
362.5,1.45,-47.3,16.5,311,,1709,7378,5,19.4
360.3,1.54,-47.2,17.2,312,,1719,7421,6,19.4
358.4,1.65,-47.3,17.6,312,,1728,7455,6,19.3
356.5,1.74,-47.8,17.7,312,,1737,7490,6,19.3
354.3,1.81,-48.0,17.5,310,,1747,7531,7,19.3
352.1,1.92,-48.3,17.6,308,,1757,7570,7,19.2
350.0,2.06,-48.4,17.6,307,,1767,7612,7,19.2
347.8,2.20,-48.6,17.1,308,,1777,7653,8,19.2
345.6,2.33,-48.7,16.3,309,,1787,7693,8,19.1
343.5,2.43,-48.6,16.2,309,,1797,7733,8,19.1
341.4,2.50,-48.6,16.0,309,,1807,7774,7,19.0
339.1,2.59,-49.0,15.6,308,,1817,7818,7,19.0
337.0,2.61,-49.3,15.6,308,,1827,7859,7,18.9
335.1,2.62,-49.6,16.1,310,,1837,7897,7,18.9
333.1,2.61,-49.5,16.1,310,,1847,7935,7,18.8
331.1,2.65,-48.8,15.9,306,,1857,7974,6,18.8
329.1,2.69,-48.5,15.8,302,,1867,8015,5,18.8
327.4,2.72,-48.6,15.9,300,,1876,8050,4,18.8
325.6,2.77,-48.5,16.5,300,,1886,8086,3,18.7
323.5,2.80,-48.5,17.2,303,,1896,8129,3,18.7
321.5,2.83,-48.8,17.3,307,,1906,8169,3,18.7
319.6,2.83,-49.0,16.7,310,,1916,8208,3,18.6
317.8,2.86,-49.1,16.3,310,,1926,8245,3,18.6
315.8,2.89,-49.4,16.6,310,,1936,8287,3,18.5
314.0,2.93,-49.6,16.9,312,,1946,8323,3,18.5
312.3,2.97,-49.5,16.5,315,,1956,8358,2,18.4
310.3,3.03,-49.8,16.4,313,,1966,8402,3,18.4
308.2,3.08,-49.6,17.5,311,,1976,8445,3,18.4
306.3,3.12,-49.8,18.4,311,,1986,8485,3,18.3
304.6,3.20,-49.8,18.4,311,,1996,8521,3,18.3
303.0,3.31,-49.8,18.9,311,,2006,8557,3,18.3
301.5,3.45,-49.8,19.6,313,,2016,8590,3,18.2
299.9,3.58,-49.6,19.7,314,,2026,8624,3,18.2
298.5,3.66,-49.8,20.0,312,,2035,8655,3,18.1
296.6,3.73,-50.0,20.5,310,,2045,8695,3,18.1
294.8,3.72,-49.9,20.6,310,,2055,8736,3,18.1
293.0,3.79,-49.8,20.2,310,,2065,8775,3,18.1
291.3,3.94,-49.7,20.0,309,,2075,8815,3,18.0
289.4,3.93,-50.0,20.2,307,,2085,8857,3,18.0
287.5,4.05,-50.3,21.1,306,,2095,8899,3,18.0
285.6,4.22,-50.6,21.8,305,,2105,8943,3,17.9
283.5,4.23,-50.6,21.3,303,,2115,8990,3,17.9
281.6,4.28,-50.6,20.4,301,,2125,9035,3,17.9
279.5,4.28,-50.8,19.5,301,,2135,9083,3,17.8
277.3,4.26,-50.8,18.5,301,,2145,9134,3,17.8
275.2,4.30,-51.0,18.0,303,,2155,9184,3,17.8
273.2,4.37,-51.1,18.1,306,,2165,9231,3,17.7
271.0,4.42,-51.4,18.0,310,,2175,9284,3,17.7
269.1,4.47,-51.6,18.0,314,,2185,9330,3,17.6
267.1,4.48,-52.0,18.1,315,,2195,9378,3,17.6
265.0,4.52,-51.8,18.1,313,,2205,9430,2,17.6
263.1,4.73,-51.6,18.3,310,,2214,9477,2,17.6
260.8,4.92,-51.9,19.2,307,,2224,9534,3,17.5
258.5,5.12,-52.0,20.4,307,,2234,9591,3,17.5
256.5,5.20,-52.0,20.8,305,,2244,9640,3,17.5
254.7,5.35,-52.0,21.0,301,,2254,9687,3,17.4
252.9,5.50,-52.1,21.2,299,,2264,9732,2,17.4
251.3,5.66,-51.9,20.7,300,,2274,9772,2,17.4
249.7,5.85,-52.3,19.7,301,,2284,9815,2,17.3
248.2,6.07,-52.3,19.3,303,,2294,9852,2,17.3
246.7,6.23,-52.8,19.1,306,,2304,9894,2,17.3
245.1,6.33,-53.0,19.2,309,,2314,9934,2,17.2
243.8,6.45,-53.0,19.5,311,,2323,9968,2,17.2
242.5,6.58,-52.9,20.2,312,,2333,10005,2,17.1
240.9,6.65,-53.2,21.4,313,,2343,10046,2,17.1
239.5,6.68,-53.1,22.6,313,,2353,10082,2,17.1
238.4,6.77,-52.8,23.5,311,,2363,10112,2,17.0
237.3,6.92,-52.9,24.3,311,,2373,10142,2,17.0
236.2,7.08,-52.9,24.8,311,,2383,10172,2,17.0
235.0,7.18,-52.6,25.1,310,,2393,10204,2,16.9
233.6,7.20,-52.1,25.4,310,,2403,10242,2,16.9
232.5,7.08,-51.9,25.1,311,,2413,10276,2,16.9
231.3,7.02,-51.9,23.9,311,,2423,10309,2,16.8
230.0,7.01,-52.0,23.7,308,,2433,10345,2,16.8
228.4,6.94,-52.1,25.4,305,,2443,10391,2,16.7
227.0,6.90,-52.1,27.0,303,,2453,10432,2,16.7
225.3,6.95,-51.9,27.5,301,,2463,10479,2,16.7
223.5,6.92,-52.0,27.5,297,,2473,10531,2,16.6
221.9,7.00,-51.5,27.5,295,,2483,10578,2,16.6
220.4,7.11,-51.3,26.1,296,,2493,10621,1,16.6
218.9,7.23,-50.9,23.0,296,,2503,10666,1,16.5
217.1,7.29,-50.4,19.5,294,,2513,10718,1,16.5
215.6,7.39,-50.3,17.3,294,,2523,10762,1,16.5
214.4,7.42,-50.3,16.5,298,,2533,10803,1,16.4
213.0,7.47,-50.5,15.7,303,,2543,10845,1,16.4
211.5,7.55,-50.9,14.9,304,,2553,10889,1,16.4
209.9,7.51,-51.4,14.9,303,,2563,10939,1,16.3
208.4,7.47,-51.8,15.6,306,,2573,10987,1,16.3
207.1,7.49,-52.0,16.0,315,,2583,11025,1,16.3
205.7,7.61,-52.4,15.7,321,,2592,11070,1,16.2
204.4,7.54,-52.8,14.8,323,,2602,11112,1,16.2
