
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-29,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21868

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-08-26,23:16:21

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
220.1,2,276.4,-1.09,300.4,2,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.031,27.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
991.0,3.11,4.4,12.3,316,,0,6,90,24.8
986.6,3.21,3.9,17.2,306,,9,42,90,24.6
980.8,3.17,3.4,16.9,307,,19,90,90,24.4
976.0,3.13,3.0,16.3,308,,29,130,91,24.2
970.0,3.14,2.6,16.4,306,,39,180,92,23.8
963.3,3.12,2.1,17.9,304,,49,236,95,23.5
958.2,3.13,1.7,19.6,301,,59,279,96,23.4
951.8,3.11,1.2,20.3,296,,69,332,98,23.2
945.5,3.07,0.8,21.0,292,,79,386,99,23.0
940.6,3.06,0.5,22.0,290,,88,428,99,23.0
936.6,3.05,0.3,23.3,287,,97,461,98,22.8
931.1,3.06,-0.1,24.3,285,,107,509,100,22.6
924.8,3.04,-0.4,25.1,283,,117,563,97,22.4
918.5,3.02,-0.6,25.7,281,,127,619,91,22.1
912.3,3.01,-1.0,26.0,280,,137,672,89,21.9
906.3,3.01,-1.3,26.2,280,,147,725,89,21.7
900.6,2.97,-1.5,26.3,279,,157,775,87,21.5
895.4,2.97,-1.9,26.5,279,,167,821,87,21.4
890.9,3.00,-2.2,27.0,279,,177,861,87,21.4
886.3,2.98,-2.5,27.5,277,,187,903,86,21.3
881.9,2.94,-2.8,28.3,276,,197,942,84,21.1
877.4,2.94,-2.9,29.0,276,,207,982,82,20.9
872.8,2.95,-3.0,29.1,277,,217,1025,86,20.8
867.7,2.90,-3.3,28.5,278,,227,1071,87,20.6
862.7,2.87,-3.6,27.8,276,,237,1116,88,20.4
858.6,2.86,-3.9,27.4,273,,247,1154,87,20.3
854.0,2.85,-4.2,27.3,272,,257,1196,88,20.2
850.6,2.85,-4.4,27.8,274,,267,1228,88,20.2
846.8,2.83,-4.6,28.5,277,,277,1263,87,20.2
842.7,2.83,-4.9,28.5,276,,287,1301,87,20.1
838.4,2.83,-5.1,28.2,274,,297,1342,85,19.9
