
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-22,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21821

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-11-04,23:16:13

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
342.1,2,379.6,-0.98,371.2,0,DS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.025,28.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
993.0,1.75,1.0,3.7,139,,1,10,61,25.2
987.5,1.95,-0.6,4.1,141,,10,55,61,25.2
981.0,2.04,-1.1,3.8,143,,20,108,64,25.2
974.4,2.06,-1.6,3.7,144,,30,162,68,25.2
967.1,2.15,-2.3,4.3,142,,40,222,70,25.1
960.7,2.13,-2.8,4.5,138,,50,274,72,25.1
954.3,2.14,-3.3,4.0,133,,60,327,73,25.1
948.4,2.18,-3.8,4.1,126,,70,376,72,25.0
942.2,2.15,-4.1,5.2,124,,80,428,70,25.0
937.8,2.14,-4.5,5.8,125,,89,465,67,25.0
932.8,2.18,-4.9,5.1,128,,99,507,70,24.9
928.0,2.15,-5.3,4.5,131,,109,548,69,24.9
922.0,2.14,-5.7,5.3,131,,119,597,68,24.8
916.8,2.14,-6.0,6.4,124,,129,642,65,24.8
911.4,2.13,-6.4,6.6,119,,139,688,61,24.7
906.5,2.15,-6.7,6.6,127,,149,731,59,24.7
901.0,2.14,-7.1,7.3,142,,159,778,61,24.6
894.8,2.15,-7.4,7.7,153,,169,833,61,24.6
890.8,2.16,-7.8,7.6,158,,179,866,61,24.6
886.5,2.15,-8.0,7.7,155,,189,905,63,24.5
882.6,2.15,-8.3,7.4,150,,199,938,64,24.5
878.2,2.13,-8.6,6.4,148,,209,978,65,24.4
873.8,2.12,-8.9,6.6,152,,219,1016,66,24.4
869.3,2.11,-9.3,7.6,158,,229,1056,65,24.3
865.3,2.11,-9.7,7.8,163,,239,1092,67,24.3
861.7,2.10,-9.9,7.9,164,,249,1125,66,24.3
857.6,2.09,-10.3,8.4,163,,259,1161,68,24.3
853.7,2.08,-10.5,7.9,159,,269,1196,64,24.2
849.8,2.09,-10.8,6.9,151,,279,1231,65,24.1
846.0,2.08,-11.0,6.4,145,,289,1265,66,24.1
842.3,2.09,-11.3,6.1,151,,299,1299,67,24.1
837.8,2.12,-11.7,5.8,162,,309,1340,68,24.1
833.6,2.10,-11.8,5.6,175,,319,1378,64,24.0
828.8,2.09,-12.1,6.4,188,,329,1422,68,24.0
824.4,2.08,-12.5,8.0,191,,339,1463,69,23.9
820.5,2.08,-12.9,8.4,184,,349,1500,72,23.9
816.1,2.07,-13.3,7.1,175,,359,1541,74,23.9
811.8,2.07,-13.6,5.3,174,,369,1581,73,23.8
807.1,2.04,-14.0,4.1,181,,378,1625,74,23.8
803.4,2.04,-14.1,3.9,191,,387,1660,69,23.7
799.0,2.03,-14.4,4.7,195,,397,1702,68,23.6
794.8,2.01,-14.7,5.8,188,,407,1742,68,23.6
790.0,2.01,-15.0,5.8,184,,417,1786,68,23.6
785.0,2.00,-15.3,5.4,192,,427,1835,67,23.6
780.5,1.99,-15.7,5.9,204,,437,1879,69,23.5
776.0,1.98,-16.0,6.1,209,,447,1922,68,23.5
771.3,1.96,-16.4,5.5,217,,457,1967,68,23.5
767.3,1.95,-16.8,4.6,226,,467,2007,70,23.5
763.2,1.94,-17.1,4.4,227,,477,2048,70,23.5
758.5,1.92,-17.5,4.6,219,,487,2093,70,23.4
754.0,1.91,-17.9,4.6,209,,497,2139,72,23.3
749.3,1.90,-18.3,4.1,201,,507,2184,72,23.2
745.3,1.89,-18.6,3.5,205,,517,2225,73,23.2
740.3,1.87,-19.0,3.5,218,,527,2274,73,23.1
735.0,1.87,-19.5,4.0,226,,537,2327,74,23.0
729.5,1.86,-19.6,4.4,233,,547,2384,70,23.0
724.3,1.85,-19.5,4.8,239,,557,2437,61,22.9
719.7,1.85,-19.9,5.0,243,,567,2485,60,22.8
715.2,1.84,-20.3,5.4,244,,576,2531,62,22.6
710.6,1.83,-20.6,5.9,241,,586,2578,61,22.5
706.1,1.83,-20.6,5.8,232,,596,2626,54,22.4
701.4,1.85,-20.6,5.3,216,,606,2674,43,22.4
696.4,1.87,-20.6,4.9,198,,616,2728,30,22.3
692.1,1.95,-20.9,4.7,188,,626,2773,26,22.3
688.1,1.98,-21.3,4.4,182,,636,2816,22,22.2
683.9,2.02,-21.1,3.9,175,,646,2862,14,22.2
680.1,2.06,-21.1,3.4,164,,656,2903,10,22.2
676.1,2.10,-21.1,3.1,143,,666,2947,7,22.1
671.8,2.12,-21.3,3.3,124,,676,2994,5,22.0
668.0,2.16,-21.5,3.8,118,,685,3035,6,21.9
663.7,2.15,-21.9,4.4,116,,695,3083,7,21.9
659.7,2.15,-22.3,4.5,115,,705,3127,8,21.8
655.2,2.13,-22.6,4.3,115,,715,3178,9,21.7
650.6,2.12,-23.0,3.8,118,,725,3229,12,21.7
646.3,2.06,-23.3,3.3,121,,735,3276,19,21.6
642.7,1.98,-23.3,2.9,112,,745,3318,29,21.6
639.3,1.93,-23.4,2.8,96,,755,3357,34,21.6
635.4,1.87,-23.8,2.9,86,,765,3402,47,21.6
631.6,1.82,-23.9,3.1,80,,775,3446,54,21.5
627.4,1.78,-24.2,3.1,76,,785,3493,54,21.4
624.0,1.76,-24.4,2.9,79,,795,3534,52,21.4
619.6,1.74,-24.3,3.0,90,,805,3585,47,21.4
615.6,1.74,-24.5,3.5,97,,815,3632,42,21.3
611.8,1.74,-24.8,4.1,94,,825,3678,42,21.2
608.2,1.73,-25.2,4.7,91,,835,3720,43,21.2
604.4,1.70,-25.5,5.0,89,,845,3765,43,21.1
600.8,1.67,-25.8,4.8,89,,855,3809,42,21.1
597.2,1.67,-26.0,4.4,91,,865,3852,42,21.0
593.5,1.68,-26.5,4.0,93,,875,3898,43,21.0
589.7,1.67,-26.8,3.6,101,,885,3944,41,21.0
586.2,1.65,-27.3,4.0,108,,895,3986,41,21.0
