
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-18,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A22903

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-09-22,23:17:32

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
323.5,2,357.2,-1.03,369.2,0,ZB,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.060,28.4,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1012.3,2.66,0.6,4.8,309,,1,11,58,23.4
1007.1,2.80,-0.9,3.5,307,,9,52,55,23.4
999.9,2.95,-1.5,3.8,303,,19,109,59,23.4
994.0,3.06,-2.0,4.4,297,,29,156,62,23.5
987.2,3.06,-2.5,4.9,291,,39,210,64,23.5
981.0,3.08,-3.1,5.3,286,,49,261,66,23.5
974.3,3.09,-3.5,5.5,284,,59,314,68,23.5
968.2,3.08,-4.0,5.6,286,,69,365,69,23.5
960.6,3.08,-4.6,5.8,289,,79,426,72,23.5
953.8,3.10,-5.2,5.9,290,,89,483,74,23.5
947.8,3.06,-5.6,6.0,289,,99,531,77,23.5
941.7,3.03,-6.1,6.0,287,,109,583,78,23.4
936.6,3.03,-6.5,5.8,288,,119,625,80,23.4
930.8,3.04,-7.0,5.5,291,,129,674,82,23.4
924.8,3.03,-7.5,5.5,291,,139,724,84,23.3
918.0,3.03,-8.0,5.7,289,,149,781,86,23.3
911.0,3.02,-8.4,6.1,288,,159,840,87,23.3
903.7,2.98,-9.0,6.9,287,,169,903,89,23.3
897.0,2.96,-9.4,7.1,286,,179,960,91,23.2
889.5,2.95,-9.9,6.7,281,,189,1025,91,23.2
885.2,2.95,-10.3,6.2,274,,195,1063,92,23.2
880.2,2.99,-9.1,5.7,261,,202,1106,74,23.2
873.6,3.06,-5.4,5.8,240,,212,1165,6,23.2
867.2,3.15,-5.3,6.3,233,,221,1223,5,23.1
860.0,3.18,-5.4,6.7,234,,231,1288,7,23.1
853.0,3.16,-5.4,6.9,237,,241,1352,11,23.1
846.0,3.13,-5.3,7.3,239,,251,1417,11,23.1
839.1,3.07,-5.3,8.4,241,,261,1480,8,23.1
832.3,3.03,-5.5,9.6,241,,271,1545,7,23.0
825.8,3.02,-5.7,10.4,240,,281,1606,5,23.0
819.2,3.06,-5.9,10.8,240,,291,1670,6,23.0
813.4,3.14,-5.9,11.0,240,,300,1725,4,23.0
808.0,3.20,-6.1,11.0,241,,309,1776,4,23.0
803.1,3.21,-6.4,10.8,241,,319,1824,4,22.9
797.3,3.16,-6.5,10.5,241,,329,1881,5,22.8
791.5,3.10,-6.4,10.6,237,,339,1938,3,22.8
786.3,3.00,-6.4,10.6,233,,347,1988,3,22.7
781.0,2.99,-6.4,10.4,230,,357,2043,29,22.7
776.0,2.97,-6.7,9.8,231,,365,2092,42,22.7
770.4,2.90,-6.9,8.9,234,,375,2148,70,22.7
764.7,2.76,-7.0,8.3,235,,384,2207,72,22.6
758.8,2.67,-7.4,8.5,233,,394,2267,72,22.6
752.6,2.60,-7.9,8.9,234,,404,2331,75,22.6
746.2,2.53,-8.3,9.1,235,,414,2397,75,22.6
740.3,2.49,-8.4,9.8,234,,423,2459,73,22.5
734.0,2.45,-8.6,10.8,230,,433,2525,72,22.5
728.5,2.40,-9.0,11.0,224,,443,2583,72,22.5
723.6,2.38,-9.4,10.8,220,,453,2636,73,22.5
718.5,2.37,-9.8,10.5,220,,463,2689,75,22.4
713.0,2.37,-9.9,10.3,221,,473,2750,75,22.4
707.7,2.34,-9.9,9.9,221,,483,2808,72,22.4
701.3,2.30,-9.9,9.6,218,,493,2876,66,22.3
695.6,2.26,-10.1,10.1,215,,503,2940,66,22.3
690.8,2.28,-10.3,10.7,216,,513,2993,63,22.3
684.5,2.30,-10.2,10.8,221,,523,3064,44,22.3
678.7,2.34,-10.8,10.9,226,,533,3130,44,22.2
673.3,2.34,-11.4,11.0,227,,543,3191,45,22.2
668.5,2.35,-12.0,10.7,227,,553,3245,46,22.2
663.3,2.35,-12.5,10.9,228,,563,3305,47,22.1
658.0,2.38,-13.0,11.7,229,,573,3365,49,22.0
651.8,2.37,-13.5,12.6,227,,583,3438,49,22.0
646.4,2.33,-14.1,13.4,225,,593,3502,48,22.0
641.7,2.33,-14.5,13.6,225,,602,3557,49,22.0
636.8,2.33,-15.1,13.9,227,,611,3614,49,21.9
631.3,2.31,-15.8,14.1,230,,621,3680,52,21.9
626.0,2.31,-16.4,14.0,230,,631,3743,54,21.9
621.5,2.28,-16.9,14.1,224,,641,3797,56,21.8
617.2,2.27,-17.4,14.6,221,,651,3850,59,21.8
612.7,2.26,-18.0,15.0,224,,661,3906,61,21.7
607.5,2.24,-18.5,14.6,229,,671,3969,62,21.7
602.8,2.20,-18.9,14.6,231,,681,4026,62,21.6
598.6,2.19,-19.5,15.5,232,,691,4079,64,21.5
593.9,2.17,-20.0,16.5,233,,701,4137,67,21.5
590.0,2.17,-20.6,16.3,234,,711,4185,69,21.5
585.1,2.16,-21.1,15.9,233,,721,4247,72,21.4
580.0,2.14,-21.8,15.6,232,,731,4312,76,21.4
574.9,2.12,-22.4,16.0,232,,741,4376,79,21.4
569.3,2.07,-22.9,17.0,232,,751,4449,82,21.3
565.0,2.05,-23.6,17.3,234,,761,4504,83,21.3
560.9,2.04,-24.0,16.0,235,,771,4557,86,21.3
557.0,2.03,-24.5,15.1,233,,781,4608,87,21.2
553.4,2.01,-24.8,16.0,230,,790,4655,86,21.2
548.7,2.02,-22.9,18.3,229,,801,4718,71,21.1
544.3,2.04,-22.9,19.4,228,,811,4776,60,21.1
540.6,2.03,-23.4,19.3,227,,821,4826,60,21.0
537.3,2.01,-23.7,18.8,228,,831,4871,61,21.0
534.4,2.01,-24.1,18.4,231,,840,4911,59,21.0
530.0,2.01,-24.6,18.9,234,,850,4971,63,20.9
525.9,1.99,-25.3,19.3,235,,860,5027,66,20.9
522.7,1.97,-25.5,19.3,237,,870,5072,65,20.8
519.3,1.97,-25.9,19.5,240,,880,5118,66,20.8
514.9,1.97,-26.6,19.5,240,,890,5180,72,20.8
511.1,1.94,-27.1,19.2,237,,899,5234,74,20.7
507.8,1.92,-27.5,18.5,233,,909,5281,75,20.7
504.6,1.92,-27.8,17.3,233,,919,5325,73,20.7
501.9,1.94,-28.0,16.2,236,,929,5365,66,20.6
498.5,1.97,-28.5,15.9,240,,939,5414,67,20.6
494.7,1.98,-29.0,16.8,243,,949,5468,72,20.6
491.8,1.96,-29.0,18.5,242,,959,5509,69,20.6
489.0,1.97,-29.4,20.4,241,,969,5550,67,20.5
486.3,1.95,-29.5,21.0,242,,979,5591,62,20.5
483.9,1.93,-29.6,19.7,245,,988,5626,57,20.5
480.9,1.91,-30.1,17.2,246,,998,5670,53,20.4
478.2,1.90,-30.4,15.6,248,,1008,5710,50,20.4
475.5,1.90,-30.8,15.7,250,,1018,5750,50,20.3
472.6,1.92,-31.1,16.9,248,,1028,5794,56,20.3
469.5,1.92,-31.6,17.4,243,,1038,5840,61,20.2
466.4,1.92,-31.9,17.2,241,,1048,5886,64,20.2
462.7,1.91,-32.4,17.5,241,,1058,5944,62,20.1
459.4,1.89,-32.8,17.8,239,,1068,5994,61,20.1
456.7,1.86,-33.0,16.8,240,,1078,6035,60,20.0
453.9,1.83,-33.3,16.0,248,,1088,6078,54,20.0
451.0,1.80,-33.4,16.7,255,,1098,6123,48,19.9
448.1,1.78,-33.8,17.6,254,,1108,6169,45,19.9
444.4,1.80,-34.3,17.6,248,,1118,6226,47,19.9
440.8,1.82,-34.8,17.0,243,,1128,6283,47,19.8
437.5,1.83,-35.1,15.9,244,,1138,6335,45,19.8
434.1,1.82,-35.3,14.7,243,,1148,6390,43,19.7
431.2,1.82,-35.8,14.3,239,,1158,6436,39,19.7
428.5,1.80,-36.1,14.8,236,,1168,6480,39,19.6
425.6,1.78,-36.5,16.4,237,,1178,6527,41,19.6
422.7,1.75,-37.1,18.7,239,,1188,6575,43,19.6
420.3,1.75,-37.5,20.0,242,,1197,6614,46,19.5
417.3,1.75,-37.8,20.1,246,,1207,6663,48,19.5
414.4,1.75,-38.3,20.1,247,,1217,6712,45,19.4
411.0,1.76,-38.8,19.8,245,,1227,6769,46,19.4
407.9,1.77,-39.2,19.0,242,,1237,6820,45,19.3
