
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-18,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A22924

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-11-24,23:16:31

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
357.5,2,389.1,-1.00,390,0,DS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.048,28.4,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
971.7,1.88,5.8,12.1,297,,1,10,81,23.7
966.1,1.95,4.8,16.9,286,,10,58,81,23.7
959.9,1.99,4.4,15.7,285,,20,110,83,23.7
954.4,2.03,4.0,15.1,282,,30,157,84,23.7
948.2,2.04,3.5,15.4,279,,40,209,86,23.7
942.7,2.06,3.1,16.2,277,,50,257,85,23.7
936.9,2.06,2.6,17.3,277,,60,307,86,23.7
930.8,2.06,2.1,18.0,277,,70,360,86,23.7
925.1,2.06,1.6,18.4,276,,80,409,86,23.7
918.9,2.00,1.1,18.3,276,,90,463,87,23.7
911.9,2.01,0.6,18.2,277,,100,525,92,23.7
905.1,2.02,0.1,18.3,276,,110,584,93,23.7
898.0,2.01,-0.4,18.6,275,,120,648,96,23.7
890.8,2.01,-0.9,18.5,273,,130,712,96,23.7
884.3,2.00,-1.2,18.4,270,,139,770,96,23.7
877.6,1.99,-1.7,18.5,269,,149,831,95,23.6
872.2,1.96,-2.1,18.6,270,,158,881,91,23.6
865.8,1.95,-2.2,18.5,272,,169,939,80,23.6
860.5,1.94,-2.5,18.0,275,,179,988,75,23.6
854.5,1.92,-2.9,17.7,279,,189,1043,76,23.6
849.0,1.91,-3.1,17.5,282,,199,1094,74,23.6
843.8,1.88,-2.2,17.5,281,,209,1143,50,23.5
838.8,1.88,-2.6,17.5,280,,219,1190,48,23.5
833.3,1.86,-2.3,17.6,278,,229,1242,44,23.5
828.2,1.87,-2.5,17.5,276,,239,1291,45,23.5
823.8,1.88,-2.8,17.3,275,,248,1334,46,23.4
818.3,1.88,-3.0,17.2,273,,258,1387,47,23.4
812.5,1.91,-3.4,17.1,272,,268,1443,48,23.4
807.2,1.91,-4.0,16.9,270,,278,1495,50,23.3
802.6,1.93,-4.4,16.9,269,,288,1539,50,23.3
797.1,1.95,-4.9,17.3,270,,298,1593,50,23.3
791.9,1.94,-5.4,18.2,272,,308,1645,49,23.2
786.6,1.94,-5.9,19.0,272,,318,1698,52,23.2
781.6,1.92,-6.0,19.2,270,,328,1748,49,23.2
775.9,1.88,-6.6,19.2,267,,338,1805,49,23.1
770.3,1.88,-6.9,19.1,266,,348,1862,53,23.1
764.2,1.90,-7.0,18.6,267,,358,1923,60,23.1
759.1,1.95,-6.9,18.0,270,,368,1975,64,23.0
753.9,1.98,-7.3,17.7,274,,378,2029,66,23.0
748.3,1.99,-7.5,18.1,277,,388,2087,74,22.9
742.4,1.96,-7.9,18.4,282,,398,2149,80,22.9
737.9,1.93,-8.4,18.4,287,,408,2196,82,22.9
733.7,1.90,-8.5,18.4,289,,418,2241,80,22.8
728.6,1.88,-8.9,18.5,289,,428,2294,79,22.8
723.6,1.84,-9.3,18.8,288,,438,2347,83,22.7
718.2,1.83,-9.8,19.0,288,,448,2405,88,22.7
712.5,1.78,-10.3,19.1,291,,458,2467,92,22.6
708.2,1.73,-10.4,19.2,297,,468,2514,91,22.6
703.9,1.71,-10.5,19.2,300,,478,2560,89,22.6
699.3,1.69,-11.0,19.0,298,,488,2610,90,22.5
694.9,1.67,-11.1,19.0,294,,498,2660,85,22.5
690.4,1.64,-11.4,19.5,294,,508,2709,83,22.5
685.1,1.62,-11.6,20.0,296,,518,2768,82,22.4
679.5,1.61,-11.9,20.2,296,,528,2831,78,22.4
674.4,1.59,-12.3,20.2,297,,538,2888,74,22.4
669.7,1.57,-12.7,20.2,298,,547,2943,72,22.4
664.3,1.56,-13.2,20.6,300,,557,3003,72,22.4
