
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-18,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A22931

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-01-13,23:15:54

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
240.2,2,278.3,-0.98,274,0,ZB,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.065,28.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
999.1,1.11,7.5,13.4,282,,0,6,82,26.3
993.7,1.30,5.6,14.1,276,,10,51,76,26.4
987.7,1.27,5.3,15.1,271,,20,100,78,26.4
980.6,1.23,4.6,16.3,270,,30,159,80,26.5
974.6,1.23,4.1,17.3,270,,40,209,79,26.5
970.1,1.23,3.6,17.4,271,,50,246,79,26.5
965.0,1.24,3.3,16.8,271,,60,289,80,26.5
959.4,1.25,2.9,16.6,270,,70,337,82,26.6
953.9,1.23,2.5,17.5,269,,80,383,83,26.6
948.2,1.21,2.0,18.2,269,,90,432,84,26.6
942.2,1.23,1.5,18.1,267,,100,482,87,26.6
936.7,1.23,1.1,18.0,264,,110,530,88,26.6
931.3,1.23,0.6,18.2,263,,119,576,88,26.6
924.6,1.24,0.1,18.3,265,,130,634,87,26.6
919.8,1.24,0.0,18.4,268,,139,675,85,26.6
914.5,1.23,-0.4,19.1,271,,149,722,87,26.6
909.7,1.23,-0.7,19.5,272,,159,764,86,26.6
903.6,1.23,-1.1,19.0,272,,169,818,88,26.6
897.6,1.23,-1.4,19.0,269,,179,871,89,26.6
891.2,1.22,-1.9,19.7,267,,189,928,91,26.6
885.8,1.21,-2.4,20.4,268,,199,976,93,26.6
880.3,1.20,-2.7,20.6,272,,209,1025,94,26.6
874.4,1.21,-3.1,20.8,273,,219,1078,95,26.6
869.1,1.20,-3.5,21.5,272,,229,1127,94,26.6
863.0,1.18,-3.9,22.0,273,,239,1183,94,26.6
857.5,1.18,-4.0,22.2,274,,249,1232,94,26.6
853.0,1.17,-4.4,21.9,273,,258,1275,93,26.6
846.5,1.16,-4.5,20.8,266,,269,1335,79,26.5
841.4,1.16,-4.8,19.8,264,,278,1383,73,26.5
836.5,1.17,-4.9,19.6,264,,287,1428,68,26.6
830.6,1.17,-4.9,20.0,264,,297,1484,62,26.6
824.4,1.18,-4.9,20.4,262,,306,1543,46,26.5
817.7,1.18,-4.9,20.3,261,,317,1607,32,26.5
812.2,1.20,-4.9,19.5,263,,327,1660,26,26.5
806.7,1.22,-4.7,19.0,266,,337,1713,22,26.5
801.3,1.22,-5.0,19.3,268,,347,1766,22,26.5
795.3,1.24,-5.2,19.3,268,,357,1825,21,26.5
791.0,1.26,-5.4,19.3,268,,367,1868,20,26.5
786.6,1.26,-5.6,20.0,265,,377,1911,19,26.5
782.2,1.28,-5.7,20.8,259,,387,1956,18,26.5
777.8,1.28,-5.5,20.7,255,,397,2000,19,26.5
773.3,1.27,-5.5,20.2,254,,407,2046,21,26.4
769.5,1.25,-5.9,20.3,252,,417,2084,19,26.4
766.1,1.28,-5.8,21.0,252,,427,2119,19,26.4
762.4,1.32,-5.8,21.3,254,,437,2155,18,26.4
758.8,1.40,-5.8,21.3,256,,447,2192,11,26.4
