
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-04-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A22952

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-03-09,23:15:13

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
243.7,2,276.2,-1.02,283,0,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.047,29.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
986.3,1.54,6.5,9.8,251,,0,6,96,30.1
977.0,1.82,5.5,9.2,241,,10,84,91,30.1
968.5,1.75,4.9,9.8,243,,20,155,93,30.2
963.1,1.72,4.6,11.0,242,,30,201,94,30.2
958.5,1.71,4.3,12.3,238,,40,240,95,30.2
953.3,1.69,4.0,13.1,238,,50,284,96,30.2
950.0,1.71,4.3,13.4,242,,59,312,93,30.3
945.1,1.70,5.0,13.2,249,,69,354,88,30.3
941.2,1.66,4.8,12.9,256,,79,388,89,30.3
936.8,1.64,4.4,12.4,261,,89,427,90,30.3
932.1,1.63,4.0,12.1,265,,99,467,91,30.3
926.3,1.63,3.5,11.9,269,,109,518,93,30.3
920.5,1.63,3.1,11.9,276,,119,568,93,30.3
915.5,1.62,3.5,12.4,283,,129,613,94,30.3
910.7,1.62,3.4,12.9,289,,139,656,93,30.3
906.0,1.64,3.9,13.4,293,,149,697,91,30.4
901.0,1.68,4.0,13.5,292,,159,743,91,30.4
896.0,1.71,3.7,13.6,288,,169,788,90,30.4
890.8,1.71,3.5,13.9,286,,179,835,91,30.4
886.2,1.70,3.6,14.6,287,,189,878,91,30.4
880.5,1.66,3.7,15.3,290,,199,930,94,30.4
875.3,1.65,3.8,15.8,295,,209,978,93,30.4
869.8,1.68,4.4,17.0,299,,219,1029,92,30.4
864.1,1.71,5.0,18.8,300,,229,1083,87,30.4
858.1,1.70,5.2,20.5,300,,239,1140,80,30.4
852.6,1.65,4.9,22.0,298,,249,1193,79,30.4
847.2,1.63,4.6,22.3,299,,259,1245,79,30.5
841.2,1.67,4.4,21.5,302,,269,1302,70,30.5
834.9,1.76,3.9,21.3,307,,279,1362,68,30.5
829.2,1.82,3.7,21.8,311,,289,1419,69,30.5
823.5,1.84,3.1,22.2,313,,299,1474,71,30.5
817.9,1.86,2.8,22.5,315,,309,1530,70,30.5
812.4,1.88,2.3,22.3,318,,319,1585,73,30.6
806.8,1.86,1.8,21.1,321,,329,1641,77,30.6
802.0,1.84,1.4,20.4,323,,339,1689,78,30.6
797.3,1.81,1.0,21.0,322,,349,1735,79,30.6
792.2,1.78,0.6,22.0,322,,358,1788,83,30.7
786.3,1.78,0.1,22.4,323,,368,1848,86,30.7
781.9,1.78,-0.4,21.8,324,,378,1893,87,30.7
776.9,1.78,-0.6,21.2,324,,388,1945,88,30.8
770.7,1.79,-1.0,20.9,323,,398,2008,79,30.8
766.2,1.83,-1.4,20.7,323,,408,2055,81,30.8
761.4,1.86,-1.9,20.2,324,,418,2105,82,30.8
756.9,1.90,-2.4,20.1,323,,428,2152,73,30.8
752.6,2.02,-2.3,20.8,320,,438,2198,40,30.9
748.7,2.22,-2.3,22.0,317,,448,2238,18,30.9
744.9,2.41,-2.4,23.0,317,,458,2279,22,30.9
741.1,2.55,-2.4,23.7,318,,468,2320,25,30.9
737.4,2.66,-2.4,24.0,318,,478,2359,25,31.0
733.7,2.72,-2.4,23.8,319,,488,2400,25,31.0
729.7,2.78,-2.4,23.3,322,,498,2443,14,31.0
725.8,2.90,-2.5,22.7,323,,508,2485,4,31.0
720.5,2.96,-2.9,22.8,320,,518,2543,4,31.1
715.5,3.00,-2.9,23.7,317,,528,2598,7,31.1
711.1,3.03,-3.3,24.4,317,,538,2646,9,31.1
707.3,3.04,-3.4,24.7,318,,548,2689,9,31.1
703.8,3.05,-3.7,25.0,320,,557,2728,10,31.1
699.3,3.02,-4.1,24.9,321,,566,2779,13,31.1
694.3,3.01,-3.9,25.0,322,,577,2835,32,31.1
690.8,2.97,-4.0,25.5,323,,586,2875,25,31.2
686.6,2.91,-4.5,25.7,324,,596,2923,35,31.2
682.7,2.85,-4.9,25.8,326,,606,2968,46,31.2
678.6,2.75,-5.0,26.1,327,,616,3016,48,31.2
673.7,2.68,-4.4,26.7,326,,626,3072,29,31.2
668.9,2.59,-4.4,27.2,324,,636,3128,29,31.2
664.5,2.54,-4.8,27.0,322,,646,3181,26,31.2
661.3,2.53,-5.1,26.7,320,,655,3219,24,31.2
657.8,2.50,-5.4,26.5,320,,664,3260,23,31.2
652.7,2.49,-5.9,27.0,319,,674,3321,21,31.2
648.6,2.50,-5.9,27.7,319,,684,3370,22,31.2
644.8,2.50,-5.9,27.6,319,,694,3416,22,31.2
641.6,2.44,-5.9,27.1,320,,702,3455,22,31.2
637.5,2.34,-5.6,27.2,322,,712,3505,30,31.2
633.4,2.26,-5.9,27.6,322,,721,3555,24,31.2
629.7,2.20,-6.3,26.5,323,,731,3602,16,31.2
624.8,2.16,-6.3,24.6,323,,741,3662,8,31.2
621.1,2.14,-6.9,23.7,324,,751,3709,9,31.2
616.3,2.10,-7.4,24.1,325,,761,3770,11,31.2
612.9,2.06,-7.9,25.0,326,,770,3813,19,31.2
608.0,2.04,-8.4,25.8,326,,780,3875,23,31.2
603.7,2.01,-8.4,25.4,325,,790,3930,17,31.2
599.3,2.00,-8.9,24.5,323,,800,3987,17,31.2
594.8,2.00,-9.1,23.9,322,,810,4045,17,31.2
590.5,2.02,-9.6,23.6,322,,820,4101,17,31.2
586.1,2.00,-9.9,23.5,322,,830,4159,16,31.2
581.7,1.98,-10.4,24.1,322,,840,4217,17,31.2
577.6,1.95,-11.1,24.7,322,,850,4271,26,31.2
573.1,1.92,-11.6,24.6,323,,860,4331,29,31.2
568.4,1.90,-12.3,24.2,323,,870,4394,32,31.2
564.2,1.88,-12.9,24.5,324,,880,4451,43,31.2
560.3,1.86,-13.4,25.2,325,,889,4503,43,31.2
556.6,1.84,-13.8,25.7,327,,900,4554,48,31.2
552.5,1.82,-14.4,25.8,327,,910,4610,55,31.2
548.3,1.80,-14.6,26.1,326,,920,4667,63,31.1
