
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-06-01,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A22961

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-05-04,23:15:17

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
249.3,2,271.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.015,26.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998.6,2.49,6.4,3.1,337,,0,6,96,31.0
994.5,2.70,6.3,6.5,307,,10,40,99,31.0
990.2,2.72,6.6,7.6,295,,20,75,100,31.0
986.2,2.78,6.9,7.3,292,,30,108,100,31.0
982.2,2.75,7.1,6.5,295,,40,142,100,30.9
977.8,2.79,7.0,6.1,300,,50,179,100,30.8
973.6,2.83,6.8,6.1,301,,60,214,100,30.8
969.2,2.88,6.6,6.4,297,,70,252,100,30.7
963.9,2.88,6.5,6.6,297,,80,297,100,30.6
959.3,2.81,6.5,6.8,303,,90,336,100,30.6
955.1,2.78,6.5,7.1,307,,100,372,98,30.5
950.6,2.79,6.3,7.2,306,,110,410,97,30.4
946.0,2.80,6.0,7.2,304,,120,451,94,30.4
941.8,2.83,5.6,7.4,303,,129,487,95,30.4
937.2,2.84,5.4,8.3,301,,139,527,94,30.3
932.5,2.86,5.1,9.1,302,,149,568,94,30.3
927.6,2.87,5.0,9.7,308,,159,611,92,30.3
923.1,2.87,5.2,10.4,312,,169,651,93,30.2
918.3,2.87,4.9,10.7,309,,179,694,93,30.2
914.3,2.87,4.7,10.9,305,,189,728,94,30.2
910.3,2.87,4.5,11.4,305,,199,764,94,30.1
906.3,2.85,4.4,12.1,308,,209,800,95,30.0
902.8,2.84,4.3,12.8,311,,219,832,95,30.0
898.5,2.82,3.9,12.8,314,,229,871,96,30.0
894.6,2.82,3.8,12.9,314,,239,906,96,29.9
890.5,2.81,3.6,13.8,313,,249,944,95,29.9
887.1,2.80,3.3,14.6,313,,259,976,97,29.9
883.1,2.80,3.3,15.0,314,,269,1012,95,29.8
878.9,2.78,3.1,15.2,315,,279,1050,94,29.8
874.9,2.79,2.9,15.2,316,,289,1087,91,29.8
