
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-09-01,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24113

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-07-27,23:15:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
252.9,2,278.3,-0.98,272.8,2,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.007,25.8,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1010.8,3.29,2.5,10.3,253,,0,6,79,25.4
1004.6,3.40,2.0,15.3,260,,10,56,74,25.4
998.0,3.38,1.5,17.1,262,,20,109,75,25.4
992.2,3.34,1.1,16.9,262,,30,156,76,25.3
986.8,3.31,0.6,16.6,261,,40,199,78,25.3
982.5,3.32,0.3,16.7,261,,50,234,79,25.2
978.9,3.35,-0.0,17.8,262,,60,264,82,25.1
975.9,3.36,-0.3,19.1,261,,70,289,83,25.1
972.4,3.36,-0.4,19.4,259,,80,318,83,25.0
968.4,3.39,-0.8,18.7,259,,90,351,83,25.0
962.8,3.32,-1.1,17.8,260,,100,396,85,24.9
957.5,3.29,-1.4,17.3,261,,110,441,85,24.9
952.7,3.30,-1.9,17.3,261,,120,481,90,24.9
947.1,3.31,-2.0,17.4,260,,130,527,84,24.9
941.1,3.32,-2.5,17.6,260,,140,578,86,24.8
934.7,3.34,-3.0,17.7,259,,150,632,89,24.8
928.5,3.31,-3.6,17.7,259,,160,685,92,24.8
922.0,3.28,-4.0,17.8,258,,170,740,94,24.7
915.1,3.25,-4.6,18.1,256,,180,799,98,24.7
909.4,3.21,-4.9,18.6,255,,190,849,98,24.6
901.9,3.21,-5.4,19.1,255,,200,914,97,24.6
894.5,3.17,-5.9,19.1,255,,210,978,98,24.6
887.3,3.16,-6.3,18.8,252,,220,1042,96,24.5
879.9,3.13,-6.8,19.2,247,,230,1107,98,24.5
872.9,3.14,-5.6,20.1,243,,239,1169,98,24.5
