
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-09-01,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24088

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-08-11,11:15:17

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
302.6,2,319.6,,,0,DS,Dobson (Beck),NA

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.018,28.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998.8,2.47,1.0,7.2,246,,0,6,62,27.4
991.9,2.71,0.8,5.8,253,,10,62,55,27.5
984.8,2.84,0.1,6.2,262,,20,119,56,27.5
978.1,2.89,-0.4,7.1,269,,30,174,57,27.5
971.5,2.96,-0.9,7.9,269,,40,228,59,27.5
964.1,3.00,-1.5,8.5,265,,50,289,61,27.5
957.8,3.07,-2.0,8.7,262,,60,341,61,27.4
951.3,3.13,-2.5,8.6,259,,70,395,63,27.4
945.8,3.02,-3.0,8.6,257,,80,441,65,27.3
941.9,3.03,-3.4,8.9,257,,89,474,66,27.3
937.1,3.04,-3.7,8.9,256,,99,514,67,27.3
932.3,3.04,-4.1,9.1,256,,109,555,68,27.2
926.5,3.08,-4.5,9.2,258,,119,603,70,27.1
921.2,3.10,-5.0,9.1,262,,129,649,71,27.1
915.4,3.04,-5.5,8.8,263,,139,698,73,27.0
910.0,3.08,-5.9,8.7,265,,149,745,74,26.9
904.0,3.05,-6.4,8.8,269,,159,796,78,26.8
897.8,3.03,-6.9,8.9,273,,169,849,78,26.8
890.9,3.05,-7.5,9.4,269,,179,911,80,26.7
884.3,3.00,-8.1,10.4,264,,189,969,82,26.6
878.2,2.94,-8.6,10.8,261,,199,1022,86,26.5
871.7,3.03,-9.3,9.9,262,,209,1079,89,26.5
865.6,2.96,-9.8,9.2,263,,219,1134,94,26.4
859.2,2.86,-10.3,9.3,264,,229,1192,97,26.3
852.4,2.87,-10.8,10.0,263,,239,1252,98,26.3
846.3,2.87,-11.1,11.0,260,,249,1306,97,26.2
840.4,2.83,-11.6,11.3,260,,259,1360,97,26.1
834.2,2.79,-12.1,10.8,265,,269,1417,98,26.0
827.8,2.78,-12.6,11.0,269,,279,1476,98,26.0
821.0,2.78,-11.6,12.6,269,,289,1539,85,25.9
814.1,2.85,-9.2,14.4,269,,299,1605,23,25.8
807.8,2.85,-8.1,15.3,268,,309,1665,12,25.7
802.2,2.82,-8.3,15.6,267,,319,1719,9,25.7
796.0,2.87,-8.4,16.0,265,,329,1778,6,25.6
790.0,2.84,-8.7,16.7,266,,339,1837,6,25.5
783.7,2.82,-9.1,17.3,268,,349,1899,6,25.5
777.7,2.79,-9.6,18.0,269,,359,1959,6,25.4
771.7,2.80,-10.0,18.4,268,,369,2018,7,25.4
765.5,2.78,-10.3,18.5,268,,379,2081,7,25.3
759.7,2.77,-10.6,18.6,268,,388,2139,7,25.2
754.6,2.74,-10.8,19.1,270,,398,2191,6,25.2
749.2,2.74,-10.9,19.5,271,,408,2246,7,25.1
744.3,2.74,-11.1,19.4,272,,418,2297,5,25.1
739.1,2.78,-11.5,19.3,273,,428,2350,5,25.0
734.0,2.75,-11.9,19.7,274,,438,2404,5,24.9
728.4,2.65,-12.3,20.2,274,,448,2462,4,24.9
723.2,2.68,-12.8,20.7,275,,458,2516,6,24.8
718.7,2.59,-12.9,21.1,275,,468,2564,6,24.8
713.2,2.57,-13.4,21.1,276,,478,2622,7,24.8
707.5,2.59,-13.9,21.1,275,,488,2683,5,24.7
702.5,2.59,-14.1,21.5,274,,498,2737,6,24.6
697.5,2.54,-14.4,22.6,275,,508,2791,5,24.6
692.6,2.52,-14.0,23.5,276,,518,2845,4,24.6
687.3,2.58,-14.1,23.7,276,,528,2903,3,24.5
681.8,2.60,-14.4,23.7,276,,538,2964,4,24.4
677.5,2.58,-14.8,24.2,277,,548,3012,3,24.4
673.1,2.52,-15.0,24.9,278,,558,3061,4,24.4
668.0,2.54,-15.4,25.1,277,,568,3119,5,24.3
662.9,2.53,-15.9,25.1,277,,578,3176,4,24.3
657.9,2.56,-16.1,24.7,276,,588,3233,3,24.3
652.4,2.52,-16.4,24.6,275,,598,3296,4,24.2
