
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-07-20,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6a24081

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-11-02,23:15:22

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
336.9,2,378.7,-0.98,371.5,0,DS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.031,26.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003.9,1.95,5.9,10.3,281,,0,6,72,25.1
996.9,2.24,3.8,10.0,283,,10,63,65,25.1
990.0,2.30,3.1,10.7,285,,20,119,66,25.2
982.8,2.33,2.6,12.0,286,,30,178,69,25.3
977.3,2.37,2.1,12.2,284,,40,224,70,25.3
972.8,2.43,1.8,11.6,283,,49,261,73,25.3
966.2,2.42,1.3,11.4,284,,59,316,75,25.3
960.5,2.45,0.8,12.2,288,,69,363,76,25.3
954.8,2.47,0.3,12.5,291,,79,411,78,25.2
948.8,2.46,-0.1,12.1,293,,88,461,82,25.2
942.4,2.45,-0.6,11.8,294,,98,516,83,25.2
935.3,2.43,-1.4,12.2,290,,108,576,87,25.2
929.0,2.43,-1.9,12.9,283,,118,630,88,25.2
923.1,2.44,-2.3,12.9,280,,128,681,90,25.2
916.2,2.43,-2.9,12.5,283,,138,741,93,25.1
909.7,2.41,-3.4,12.4,286,,148,797,91,25.1
903.3,2.40,-3.8,12.3,286,,158,853,92,25.1
896.8,2.38,-4.3,12.2,285,,168,909,93,25.0
890.1,2.38,-4.8,12.7,285,,178,968,90,25.0
883.5,2.38,-5.3,13.9,285,,187,1026,86,25.0
876.9,2.38,-5.4,15.0,284,,196,1086,76,25.0
870.9,2.39,-5.5,16.2,281,,206,1140,62,25.0
864.9,2.39,-5.9,17.7,280,,215,1194,56,25.0
859.2,2.38,-6.0,19.3,280,,224,1246,53,24.9
853.7,2.39,-6.4,20.2,279,,234,1296,54,24.9
847.7,2.37,-6.9,19.9,276,,244,1351,56,24.9
841.7,2.37,-7.1,19.7,274,,254,1406,60,24.8
835.7,2.33,-7.4,20.0,274,,264,1462,63,24.8
830.1,2.34,-7.9,20.2,275,,274,1514,68,24.8
824.0,2.31,-8.4,20.5,278,,284,1571,73,24.8
818.1,2.27,-8.6,21.3,281,,294,1627,75,24.8
812.1,2.25,-8.6,22.6,283,,304,1684,70,24.8
806.1,2.22,-8.8,23.9,282,,314,1742,64,24.7
799.9,2.23,-9.3,23.8,282,,324,1801,61,24.7
793.9,2.23,-9.8,22.4,282,,334,1859,62,24.7
787.8,2.23,-10.4,21.3,281,,344,1919,62,24.7
782.5,2.23,-10.9,21.3,281,,354,1971,62,24.6
776.5,2.22,-11.5,21.4,281,,364,2030,65,24.6
769.8,2.21,-12.0,20.6,283,,374,2097,62,24.6
764.5,2.25,-12.2,19.4,286,,383,2149,48,24.5
758.8,2.35,-11.3,18.2,287,,393,2206,13,24.5
753.3,2.49,-10.6,17.5,286,,403,2263,5,24.5
748.3,2.62,-9.9,17.5,287,,413,2313,1,24.4
743.5,2.62,-9.9,18.0,289,,423,2362,1,24.4
738.7,2.56,-10.0,18.3,288,,433,2413,1,24.4
733.6,2.49,-10.1,18.2,288,,443,2466,1,24.4
727.8,2.39,-10.6,18.0,290,,453,2527,2,24.4
722.3,2.30,-11.1,18.0,290,,463,2585,2,24.3
716.7,2.30,-11.3,18.2,288,,473,2645,1,24.3
711.7,2.37,-11.4,18.4,286,,483,2699,1,24.2
706.0,2.36,-11.6,18.6,285,,493,2760,1,24.2
700.5,2.33,-11.9,18.9,284,,503,2821,1,24.2
694.2,2.25,-12.5,19.0,284,,513,2889,1,24.1
688.9,2.18,-12.7,18.5,287,,523,2947,1,24.1
684.0,2.13,-13.0,17.7,290,,533,3002,1,24.1
679.1,2.11,-13.5,17.1,290,,543,3057,1,24.1
674.5,2.09,-13.9,17.2,289,,553,3109,1,24.0
669.4,2.08,-14.3,17.7,290,,563,3166,2,24.0
