
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-07-20,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24106

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-11-09,23:19:49

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
293.0,2,324.6,-0.99,320,2,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.040,26.3,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
991.2,1.21,6.6,14.4,340,,0,6,95,23.7
986.0,1.53,6.5,17.7,339,,10,49,96,23.8
981.5,1.69,6.4,20.9,339,,20,87,97,23.8
975.7,1.84,6.1,23.9,339,,30,135,99,23.8
970.2,1.96,6.3,26.4,340,,39,182,100,23.8
964.1,2.00,6.4,28.8,342,,49,233,100,23.8
958.1,2.08,6.3,30.6,345,,59,285,99,23.8
952.0,2.15,6.0,31.5,346,,69,337,100,23.7
945.6,2.18,6.0,32.0,343,,79,393,100,23.7
940.2,2.21,5.8,32.3,338,,89,440,99,23.7
934.0,2.22,5.6,32.3,334,,99,494,99,23.6
929.2,2.22,5.4,32.4,331,,109,537,99,23.6
923.4,2.23,5.1,32.6,330,,119,587,99,23.6
918.2,2.21,5.0,32.5,330,,129,633,99,23.5
914.2,2.21,4.8,32.2,331,,139,668,99,23.5
910.1,2.22,4.6,32.2,331,,149,705,98,23.4
905.3,2.21,4.4,32.1,329,,159,748,98,23.4
900.8,2.21,4.1,32.2,328,,169,789,98,23.4
896.2,2.21,3.9,32.3,326,,179,831,98,23.4
891.5,2.24,3.6,32.1,325,,189,874,98,23.4
886.2,2.27,3.2,31.8,324,,199,923,95,23.4
881.7,2.38,3.0,31.7,323,,209,963,94,23.4
876.2,2.45,2.8,31.8,322,,219,1015,92,23.3
872.0,2.51,2.6,31.2,321,,229,1053,92,23.3
867.0,2.53,2.3,30.9,321,,239,1100,92,23.2
862.4,2.51,2.1,30.9,322,,249,1142,92,23.3
858.3,2.49,1.7,30.3,321,,259,1181,93,23.2
854.7,2.48,1.5,29.6,321,,268,1215,95,23.2
850.1,2.44,1.1,30.0,319,,278,1259,95,23.2
846.2,2.40,0.9,30.9,319,,288,1295,95,23.2
842.3,2.37,0.6,31.0,318,,298,1332,96,23.1
838.7,2.35,0.5,30.7,319,,308,1367,97,23.1
834.8,2.35,0.3,31.0,319,,318,1404,96,23.1
830.4,2.36,0.1,31.4,320,,328,1447,96,23.1
826.1,2.36,-0.3,31.4,320,,338,1489,96,23.1
821.6,2.36,-0.4,31.1,319,,348,1532,96,23.2
817.5,2.40,-0.4,31.0,318,,358,1572,96,23.2
813.5,2.40,-0.8,31.0,318,,368,1611,95,23.1
809.6,2.35,-0.8,31.0,318,,378,1650,94,23.1
805.9,2.30,-1.0,31.0,318,,388,1687,95,23.1
801.7,2.26,-1.3,30.9,317,,398,1729,95,23.1
797.7,2.22,-1.4,30.3,315,,408,1768,95,23.1
794.0,2.21,-1.6,29.8,313,,418,1805,95,23.1
790.4,2.20,-1.9,30.2,313,,428,1842,94,23.1
786.7,2.18,-1.9,31.2,314,,438,1879,93,23.1
783.4,2.16,-2.1,31.6,314,,448,1912,92,23.1
780.1,2.14,-2.4,31.3,313,,458,1945,93,23.1
776.8,2.14,-2.5,30.6,313,,468,1979,93,23.1
