
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-07-20,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24130

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-02-02,23:15:06

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
254.9,2,292.7,-1.01,297,0,DS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.038,27.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
983.1,1.12,9.0,11.3,316,,0,6,81,27.0
976.8,1.18,7.5,14.0,293,,10,59,76,27.0
971.2,1.22,7.0,14.2,291,,20,106,78,27.0
964.5,1.28,6.6,14.5,292,,30,163,78,27.0
958.4,1.30,6.1,15.2,293,,40,216,77,26.9
952.9,1.33,5.6,15.5,294,,50,262,79,26.9
947.8,1.34,5.1,15.3,296,,60,306,82,26.8
942.8,1.34,4.8,15.5,294,,70,350,84,26.7
938.1,1.35,4.4,16.4,289,,80,390,84,26.7
933.7,1.34,4.0,17.2,284,,90,429,86,26.7
928.7,1.34,3.6,17.5,284,,99,471,89,26.6
923.0,1.34,3.1,17.6,285,,109,522,86,26.6
916.9,1.34,2.6,17.6,286,,119,575,86,26.5
911.9,1.34,2.3,17.4,286,,128,620,86,26.5
905.8,1.33,1.9,17.2,287,,138,674,83,26.4
900.5,1.34,1.4,17.0,288,,148,722,89,26.4
894.6,1.33,1.0,17.3,287,,158,774,87,26.4
889.4,1.32,0.6,17.9,285,,168,821,87,26.3
884.2,1.31,0.3,18.4,285,,178,868,83,26.3
878.7,1.31,-0.1,18.6,285,,188,919,83,26.2
873.4,1.31,-0.5,18.7,284,,198,967,83,26.2
867.8,1.29,-0.9,18.7,284,,208,1018,81,26.1
862.4,1.29,-1.4,18.4,282,,218,1068,82,26.1
858.1,1.29,-1.6,18.3,281,,227,1108,82,26.0
852.4,1.28,-1.9,18.2,281,,238,1160,79,26.0
