
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-07-20,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24092

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-07-12,23:22:35

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
388.4,2,409.7,-0.91,371.3,2,ZS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.022,26.6,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
968.0,3.17,-0.8,4.6,237,,0,6,88,25.8
958.6,3.36,-0.9,5.9,211,,10,84,82,25.8
948.4,3.21,-1.8,6.6,220,,20,169,85,25.7
941.7,3.17,-2.1,7.4,230,,30,225,88,25.7
935.9,3.11,-2.8,8.0,233,,40,275,90,25.7
930.5,3.16,-3.1,8.7,223,,50,321,91,25.7
922.4,3.11,-3.9,10.4,211,,60,390,93,25.7
915.6,3.09,-4.4,12.1,209,,70,448,95,25.7
908.1,3.06,-4.9,13.3,216,,79,513,96,25.7
899.6,3.07,-5.4,14.6,220,,89,586,98,25.6
892.2,3.06,-5.9,15.8,219,,99,651,97,25.6
884.7,2.97,-6.5,16.8,219,,109,718,97,25.6
877.8,2.92,-6.9,17.3,220,,119,779,97,25.6
871.7,2.91,-7.5,17.5,220,,129,833,94,25.6
865.7,2.90,-7.9,17.4,219,,139,887,89,25.5
859.1,2.89,-8.3,17.4,220,,149,946,88,25.5
852.5,2.88,-8.6,17.5,221,,159,1006,87,25.5
845.3,2.84,-9.0,18.0,221,,169,1072,86,25.5
838.8,2.84,-9.4,18.3,220,,179,1132,86,25.5
831.9,2.83,-9.8,18.4,218,,189,1195,86,25.4
825.0,2.81,-10.2,18.0,216,,199,1260,86,25.4
818.4,2.79,-10.6,16.8,213,,209,1321,87,25.4
812.1,2.84,-10.9,15.5,211,,219,1380,87,25.4
805.5,2.81,-11.2,14.9,211,,229,1444,86,25.4
798.9,2.78,-11.5,15.1,210,,239,1506,89,25.3
792.3,2.73,-11.9,15.2,209,,249,1571,90,25.3
786.2,2.75,-12.2,15.1,206,,259,1630,92,25.3
780.8,2.67,-12.4,15.0,203,,268,1682,94,25.2
775.1,2.68,-12.9,14.9,199,,278,1738,96,25.2
769.5,2.63,-12.4,14.9,196,,287,1793,97,25.1
