
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-07-12,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A25623

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-01-29,23:50:18

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
257.9,2,292.9,-0.97,284.5,0,DS,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.017,28.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
989.9,1.64,4.6,5.1,137,,0,6,83,25.7
983.8,1.75,3.5,4.8,173,,10,56,70,25.6
978.3,1.73,3.1,5.8,171,,20,102,72,25.5
972.0,1.67,2.6,5.8,172,,30,154,74,25.5
966.0,1.59,2.1,5.6,174,,40,204,76,25.4
960.0,1.56,1.6,5.6,174,,50,254,76,25.3
953.8,1.57,1.3,6.1,174,,60,307,75,25.2
947.9,1.59,0.8,7.1,175,,70,356,76,25.1
942.8,1.58,0.4,7.6,176,,79,399,77,25.0
936.4,1.58,-0.1,7.9,176,,89,454,76,24.9
930.5,1.55,-0.4,8.4,178,,99,504,68,24.8
925.1,1.50,-0.6,8.7,179,,109,551,75,24.7
918.7,1.45,-0.8,8.8,179,,119,607,63,24.6
912.3,1.41,-1.0,8.8,180,,129,663,69,24.5
906.2,1.37,-1.3,8.8,182,,139,716,74,24.5
899.9,1.36,-1.6,8.6,184,,149,771,68,24.4
893.2,1.34,-2.1,8.5,185,,159,831,69,24.3
886.5,1.34,-2.5,8.6,187,,169,891,65,24.2
878.9,1.34,-2.9,9.1,189,,179,959,55,24.2
872.8,1.37,-3.3,9.5,190,,189,1015,53,24.1
866.7,1.40,-3.9,9.9,191,,199,1070,55,24.0
860.1,1.40,-4.5,10.1,194,,209,1129,58,23.9
853.4,1.43,-4.8,9.6,198,,219,1191,68,23.8
848.0,1.49,-4.9,8.7,201,,228,1241,72,23.8
841.7,1.53,-5.3,7.8,200,,238,1300,77,23.8
835.2,1.50,-5.9,7.3,200,,248,1360,81,23.7
829.5,1.50,-6.4,7.4,205,,258,1414,84,23.6
823.8,1.49,-6.5,7.9,211,,268,1469,88,23.5
817.5,1.47,-6.8,8.1,214,,278,1528,86,23.3
811.7,1.45,-7.1,7.8,214,,288,1584,88,23.2
806.5,1.41,-7.4,7.5,216,,298,1634,89,23.2
801.0,1.37,-7.5,7.5,217,,308,1688,88,23.2
794.9,1.37,-7.8,7.6,220,,318,1747,84,23.1
789.3,1.39,-8.1,7.9,226,,328,1802,85,23.0
784.1,1.37,-8.3,8.5,230,,338,1853,86,22.9
777.9,1.35,-8.4,9.0,231,,348,1914,82,22.8
772.4,1.39,-8.8,9.1,233,,358,1970,81,22.7
767.2,1.42,-8.8,8.9,237,,368,2022,81,22.7
761.9,1.38,-8.9,8.9,242,,378,2076,81,22.6
756.7,1.34,-9.1,9.0,245,,388,2129,82,22.5
751.3,1.33,-9.4,9.1,249,,398,2184,81,22.4
745.9,1.32,-9.5,9.2,255,,408,2240,83,22.4
740.5,1.29,-9.6,9.6,259,,418,2296,84,22.3
734.8,1.25,-10.0,10.0,259,,428,2355,83,22.2
729.2,1.21,-10.4,9.9,260,,438,2415,83,22.1
724.0,1.16,-10.9,9.4,261,,448,2469,83,22.0
718.5,1.14,-11.1,9.2,263,,458,2529,83,22.0
713.0,1.13,-11.4,9.5,266,,468,2587,83,22.0
707.5,1.13,-11.6,10.0,268,,478,2647,82,21.9
702.1,1.14,-11.9,10.5,269,,488,2705,82,21.9
696.7,1.14,-12.1,11.1,269,,498,2765,83,21.8
691.4,1.15,-12.4,11.9,267,,508,2823,82,21.8
686.2,1.17,-12.6,12.6,267,,518,2881,83,21.7
681.3,1.22,-12.7,13.1,267,,527,2934,83,21.6
676.0,1.27,-12.9,13.6,270,,537,2994,84,21.6
670.5,1.31,-13.3,13.9,272,,547,3056,83,21.5
665.0,1.32,-13.5,14.4,275,,557,3119,85,21.5
659.5,1.32,-13.6,15.3,277,,567,3183,86,21.5
654.4,1.31,-13.5,16.4,279,,577,3242,86,21.5
649.4,1.33,-13.6,17.0,280,,587,3299,84,21.4
644.3,1.35,-13.8,17.2,282,,597,3360,84,21.4
639.3,1.39,-14.0,17.5,283,,607,3419,83,21.3
634.8,1.43,-14.1,18.2,282,,617,3472,82,21.2
630.0,1.46,-14.4,19.0,280,,627,3529,78,21.2
625.3,1.51,-14.5,19.7,280,,637,3587,76,21.1
620.6,1.53,-14.7,20.2,280,,647,3644,77,21.0
615.5,1.50,-15.3,20.8,282,,657,3707,79,21.0
610.8,1.47,-15.4,21.5,283,,667,3763,80,20.9
605.5,1.49,-15.5,22.2,283,,677,3831,81,20.9
600.2,1.57,-15.9,22.8,284,,687,3897,83,21.0
594.9,1.56,-16.1,23.5,284,,697,3963,81,21.0
589.9,1.56,-16.4,24.2,285,,707,4027,79,20.9
584.8,1.61,-16.9,25.4,287,,717,4092,80,20.8
579.8,1.53,-16.9,27.4,288,,727,4156,83,20.7
574.8,1.43,-16.8,29.6,289,,737,4222,83,20.6
569.7,1.34,-16.6,32.0,290,,747,4288,85,20.6
564.8,1.28,-16.5,34.0,292,,757,4354,84,20.5
560.6,1.25,-16.5,34.9,293,,766,4410,86,20.5
556.1,1.19,-16.9,34.5,293,,776,4471,86,20.4
551.6,1.21,-17.3,33.9,293,,786,4531,84,20.4
547.3,1.26,-17.8,34.1,294,,796,4590,82,20.4
542.8,1.29,-18.0,35.3,293,,806,4651,81,20.3
538.4,1.32,-18.0,36.7,293,,816,4713,82,20.3
534.3,1.37,-18.3,37.5,293,,825,4769,81,20.3
529.5,1.40,-18.5,37.8,294,,835,4837,80,20.2
524.7,1.39,-18.9,38.2,296,,845,4905,77,20.2
519.8,1.40,-19.3,38.5,298,,855,4974,78,20.1
515.0,1.31,-19.6,39.0,299,,865,5043,78,20.1
510.1,1.27,-19.9,39.7,300,,875,5114,78,20.0
505.1,1.27,-20.1,40.5,300,,885,5188,81,20.0
500.5,1.28,-20.3,41.0,300,,895,5255,80,20.0
495.8,1.36,-20.7,40.8,299,,905,5325,78,19.9
491.3,1.40,-21.1,41.0,297,,915,5391,79,19.9
486.8,1.39,-21.4,41.6,297,,925,5460,79,19.8
482.6,1.42,-21.8,42.5,297,,935,5524,80,19.8
478.5,1.46,-21.6,43.5,297,,945,5587,79,19.7
474.5,1.49,-21.8,44.6,296,,955,5649,79,19.7
470.6,1.53,-22.1,46.1,297,,965,5709,80,19.6
466.5,1.55,-22.1,48.3,296,,975,5773,81,19.6
462.5,1.60,-22.0,50.6,295,,985,5837,78,19.5
457.1,1.80,-21.6,52.3,295,,995,5923,72,19.5
452.3,1.99,-22.2,53.8,295,,1005,6000,72,19.5
448.0,2.19,-22.5,55.8,295,,1015,6070,74,19.4
444.0,2.26,-22.9,58.1,294,,1025,6138,75,19.4
440.0,2.38,-23.1,60.1,293,,1035,6203,75,19.3
436.1,2.45,-23.4,61.8,292,,1045,6268,71,19.3
432.3,2.45,-23.1,63.6,291,,1055,6333,71,19.2
428.8,2.35,-22.8,64.7,291,,1065,6392,69,19.1
425.0,2.21,-23.3,65.3,290,,1075,6458,66,19.1
421.3,2.19,-23.7,65.9,290,,1085,6521,63,19.1
417.7,2.19,-24.1,66.4,289,,1095,6585,62,19.0
413.7,2.26,-24.7,66.5,289,,1105,6655,57,19.0
409.9,2.37,-25.1,66.6,288,,1115,6722,58,18.9
406.3,2.43,-25.5,67.0,288,,1124,6786,58,18.9
402.2,2.41,-25.9,67.9,288,,1134,6859,58,18.8
398.6,2.37,-26.3,68.3,288,,1144,6925,59,18.8
394.6,2.26,-26.8,68.0,288,,1154,6996,61,18.7
390.7,2.18,-27.4,67.7,288,,1164,7068,61,18.7
387.0,2.11,-27.9,67.8,289,,1174,7137,61,18.6
383.3,2.01,-28.5,67.7,289,,1184,7206,63,18.5
379.8,1.93,-28.9,67.7,289,,1194,7272,63,18.5
376.3,1.83,-29.3,68.0,290,,1204,7338,64,18.5
372.4,1.73,-29.6,68.7,291,,1214,7412,65,18.4
368.8,1.65,-29.9,69.5,292,,1224,7480,65,18.4
365.3,1.61,-30.3,70.1,292,,1234,7549,64,18.4
361.8,1.57,-30.8,70.8,293,,1244,7618,64,18.3
358.1,1.54,-31.1,71.7,292,,1254,7691,64,18.2
354.4,1.52,-31.6,72.9,292,,1264,7763,63,18.2
351.0,1.51,-31.8,74.5,291,,1274,7832,62,18.1
347.4,1.49,-32.0,76.3,290,,1284,7904,63,18.1
343.7,1.50,-32.4,77.7,290,,1294,7979,64,18.1
340.4,1.59,-32.9,78.4,290,,1304,8048,63,18.0
336.9,1.64,-33.3,78.5,290,,1314,8122,61,17.9
333.3,1.63,-34.0,78.4,290,,1324,8195,60,17.9
329.8,1.60,-34.8,78.5,290,,1334,8270,60,17.8
326.6,1.59,-35.3,78.8,290,,1344,8338,58,17.8
323.3,1.56,-35.8,79.6,290,,1354,8409,58,17.7
319.7,1.55,-36.3,80.5,289,,1364,8485,57,17.6
316.4,1.56,-36.9,81.3,289,,1374,8559,56,17.6
313.2,1.56,-37.4,82.5,288,,1384,8627,56,17.5
310.2,1.56,-37.8,84.1,288,,1394,8695,57,17.5
307.0,1.53,-38.0,85.9,288,,1404,8765,57,17.5
304.0,1.49,-38.1,87.0,288,,1414,8832,56,17.5
301.4,1.42,-38.4,87.6,289,,1423,8892,53,17.4
298.4,1.36,-39.0,87.8,290,,1433,8961,52,17.4
295.5,1.29,-39.5,87.9,290,,1443,9027,52,17.4
292.7,1.26,-40.1,88.0,291,,1453,9092,50,17.3
289.5,1.23,-40.8,88.1,291,,1463,9167,50,17.3
286.6,1.19,-41.3,88.0,292,,1473,9236,52,17.3
284.0,1.14,-41.9,87.9,292,,1483,9300,52,17.3
281.1,1.11,-42.4,88.1,293,,1493,9368,52,17.3
278.2,1.09,-43.0,88.6,293,,1503,9437,53,17.3
275.5,1.05,-43.5,89.6,293,,1513,9504,53,17.2
272.6,1.02,-44.0,90.5,292,,1523,9573,53,17.2
269.7,0.99,-44.6,91.5,291,,1533,9645,54,17.1
267.0,0.98,-44.9,92.3,291,,1543,9711,56,17.1
264.0,0.95,-45.5,93.1,291,,1553,9787,56,17.0
261.8,0.94,-46.0,94.2,290,,1563,9844,55,17.0
259.0,0.93,-46.4,94.8,289,,1573,9913,54,17.0
256.0,0.93,-46.9,94.6,289,,1583,9991,54,17.0
253.3,0.96,-47.4,94.2,289,,1593,10062,53,16.9
250.5,0.99,-48.3,94.3,288,,1603,10136,54,16.8
247.6,1.00,-49.0,94.5,287,,1613,10213,55,16.8
244.8,1.03,-49.6,94.4,287,,1623,10287,54,16.7
241.6,1.09,-50.5,94.4,286,,1633,10375,54,16.6
238.8,1.14,-51.3,94.5,285,,1643,10449,54,16.6
235.9,1.18,-51.9,93.9,285,,1653,10528,55,16.5
232.9,1.25,-52.6,92.5,284,,1663,10609,56,16.4
230.4,1.36,-53.4,91.4,284,,1673,10680,55,16.4
228.2,1.51,-53.8,90.7,283,,1682,10743,53,16.3
225.2,1.76,-53.8,89.7,282,,1692,10827,43,16.3
223.2,2.12,-53.4,89.0,282,,1702,10885,33,16.2
221.5,2.44,-53.9,89.3,282,,1712,10933,24,16.2
220.0,2.55,-54.1,89.6,281,,1721,10979,15,16.2
218.3,2.53,-53.8,88.8,281,,1731,11027,10,16.1
216.6,2.60,-53.8,87.1,281,,1741,11076,9,16.1
215.0,2.83,-53.6,85.4,282,,1751,11126,7,16.1
213.4,3.17,-53.3,83.7,282,,1761,11175,6,16.1
211.3,3.47,-52.9,80.9,281,,1771,11238,5,16.0
208.4,3.76,-52.5,77.3,281,,1781,11324,4,16.0
206.4,4.02,-51.9,74.7,280,,1790,11387,3,15.9
204.6,4.21,-51.8,73.4,279,,1800,11446,3,15.9
203.1,4.32,-51.6,73.3,279,,1810,11491,2,15.9
201.7,4.38,-51.8,73.8,278,,1820,11537,2,15.8
200.3,4.49,-51.9,74.0,277,,1830,11582,2,15.8
199.0,4.61,-52.0,73.4,277,,1840,11625,2,15.8
197.7,4.55,-51.6,72.1,277,,1850,11667,2,15.8
196.4,4.59,-51.4,70.9,277,,1860,11710,1,15.8
195.1,4.60,-50.9,69.6,277,,1870,11754,1,15.8
193.7,4.70,-50.8,68.2,277,,1880,11800,1,15.8
192.4,4.71,-50.8,67.3,278,,1890,11842,1,15.7
191.3,4.70,-50.9,66.9,278,,1900,11882,1,15.7
190.1,4.65,-50.8,66.5,278,,1910,11922,1,15.7
188.9,4.55,-50.6,65.7,277,,1920,11964,1,15.7
187.7,4.53,-50.8,65.0,278,,1930,12005,1,15.7
