
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-07-12,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A25633

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-05-23,23:19:26

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
329.1,2,353.4,-0.92,326,0,ZB,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.017,27.3,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
997.1,2.49,3.1,11.8,249,,0,6,68,24.1
990.8,2.74,2.8,11.8,258,,10,58,56,24.1
985.2,2.81,2.3,11.9,264,,19,103,57,24.0
981.4,2.84,1.9,12.1,269,,28,135,58,24.0
977.6,2.93,1.6,12.6,270,,38,165,58,23.9
972.7,3.00,1.1,13.5,272,,48,206,59,23.7
966.9,3.01,0.8,14.1,272,,58,254,60,23.6
961.4,3.01,0.3,14.4,272,,68,300,62,23.4
955.8,3.01,-0.1,14.6,274,,78,347,64,23.2
950.4,2.99,-0.6,14.4,277,,88,392,68,23.1
944.6,2.93,-1.0,14.2,276,,98,441,71,23.0
938.0,2.94,-1.6,14.7,275,,108,497,73,23.0
931.4,2.95,-2.1,15.2,275,,118,553,77,22.9
923.4,2.94,-2.9,14.9,275,,128,621,79,22.8
916.6,2.95,-3.4,14.5,272,,138,679,82,22.7
909.8,2.92,-4.0,14.5,270,,148,739,79,22.6
904.2,2.90,-4.4,15.3,269,,158,787,76,22.5
898.4,2.89,-4.9,16.1,269,,168,838,81,22.5
892.4,2.89,-5.5,16.2,267,,177,890,84,22.4
886.2,2.85,-6.0,15.9,265,,187,946,85,22.3
881.2,2.85,-6.4,15.8,264,,197,990,84,22.2
875.3,2.82,-6.9,16.3,262,,207,1042,83,22.0
870.8,2.84,-7.1,17.1,260,,216,1082,82,22.0
864.8,2.83,-7.4,17.9,259,,227,1136,78,21.9
859.3,2.81,-7.7,18.0,258,,237,1185,75,21.8
853.5,2.75,-8.0,18.0,257,,247,1239,75,21.8
848.3,2.76,-8.6,17.9,257,,257,1285,78,21.7
843.1,2.74,-9.1,17.8,258,,267,1333,80,21.7
837.0,2.73,-9.5,17.8,257,,277,1389,79,21.6
832.0,2.72,-10.0,17.7,256,,287,1435,80,21.5
827.3,2.70,-10.4,17.5,256,,297,1480,81,21.4
822.1,2.68,-10.8,17.0,257,,307,1528,81,21.3
817.5,2.68,-11.1,16.7,258,,317,1571,75,21.3
812.7,2.64,-11.4,16.2,259,,326,1616,70,21.2
807.6,2.61,-11.8,15.8,261,,336,1665,69,21.1
802.8,2.59,-11.9,15.6,264,,346,1710,74,21.0
798.3,2.61,-12.1,15.4,266,,356,1754,76,20.9
793.7,2.59,-12.4,15.4,268,,366,1797,73,20.9
789.2,2.59,-12.8,15.6,269,,376,1840,69,20.8
784.5,2.59,-13.1,15.9,270,,386,1886,68,20.7
779.8,2.57,-13.4,15.9,269,,396,1932,64,20.7
775.2,2.55,-13.6,15.4,268,,406,1977,56,20.6
770.5,2.54,-13.9,15.0,265,,416,2023,56,20.5
765.7,2.53,-14.3,14.6,265,,426,2070,56,20.4
760.8,2.49,-14.5,14.5,265,,436,2119,52,20.3
756.0,2.50,-14.9,14.8,266,,446,2167,53,20.2
751.7,2.47,-15.1,15.1,265,,456,2211,53,20.1
747.8,2.46,-15.4,15.1,264,,466,2250,52,20.0
743.8,2.44,-15.9,15.1,263,,476,2290,51,19.9
739.8,2.43,-16.1,15.2,261,,486,2331,53,19.8
735.2,2.38,-16.5,15.6,260,,496,2377,53,19.8
731.2,2.40,-16.9,15.8,259,,506,2418,53,19.8
727.1,2.39,-17.3,15.8,258,,516,2461,54,19.8
722.8,2.36,-17.8,15.7,257,,526,2505,52,19.7
718.6,2.34,-18.0,15.3,257,,536,2548,54,19.7
714.1,2.34,-18.4,14.8,258,,546,2595,56,19.7
710.4,2.34,-18.8,14.3,260,,556,2634,62,19.6
706.2,2.32,-19.1,13.9,261,,566,2678,67,19.6
702.3,2.33,-19.3,13.8,262,,576,2719,67,19.6
698.4,2.33,-19.8,13.6,263,,586,2760,66,19.6
694.7,2.32,-20.1,13.2,263,,596,2801,65,19.6
691.4,2.33,-20.4,12.9,262,,605,2835,67,19.7
687.7,2.33,-20.6,13.0,260,,615,2875,68,19.7
684.4,2.31,-20.5,12.9,257,,624,2911,73,19.7
680.7,2.30,-20.5,12.5,255,,634,2951,68,19.7
676.8,2.29,-20.8,12.3,254,,644,2994,62,19.6
673.1,2.28,-20.9,12.5,254,,654,3034,59,19.6
669.6,2.30,-21.3,12.7,255,,664,3072,61,19.6
666.1,2.29,-21.4,13.1,256,,674,3111,61,19.6
662.5,2.28,-21.8,13.4,258,,684,3151,59,19.6
658.9,2.26,-21.9,13.8,259,,694,3191,56,19.6
655.4,2.25,-22.3,14.3,261,,704,3230,58,19.6
652.4,2.24,-22.6,14.6,262,,713,3263,60,19.6
648.9,2.25,-22.8,14.7,263,,723,3302,55,19.6
645.3,2.22,-23.3,14.5,265,,733,3343,57,19.6
641.9,2.22,-23.4,14.5,266,,743,3382,57,19.6
638.4,2.21,-23.6,14.4,265,,753,3422,53,19.6
635.0,2.20,-23.6,14.0,264,,763,3461,52,19.5
631.6,2.21,-24.0,13.4,265,,773,3501,53,19.5
627.9,2.18,-24.3,12.9,265,,783,3543,56,19.5
624.3,2.18,-24.4,12.6,264,,793,3585,57,19.5
620.9,2.17,-24.8,12.4,262,,803,3624,58,19.5
617.4,2.15,-25.1,12.2,260,,813,3666,60,19.4
613.8,2.14,-25.4,11.8,260,,823,3709,58,19.3
610.2,2.14,-25.6,11.4,259,,833,3751,59,19.3
606.7,2.13,-25.9,11.3,258,,843,3793,60,19.3
603.2,2.11,-26.3,11.4,257,,853,3835,61,19.3
599.6,2.10,-26.6,11.6,257,,863,3878,61,19.2
596.2,2.08,-26.8,11.9,257,,873,3920,60,19.2
592.7,2.07,-27.1,12.1,258,,883,3961,57,19.2
589.2,2.08,-27.6,12.4,260,,893,4005,58,19.2
586.1,2.08,-27.9,12.6,262,,902,4043,59,19.2
582.7,2.07,-28.1,12.5,263,,912,4084,56,19.1
579.8,2.06,-28.3,12.3,261,,921,4120,57,19.1
576.1,2.06,-28.5,12.2,259,,931,4165,52,19.1
572.8,2.06,-28.8,12.4,257,,941,4207,50,19.0
569.3,2.06,-29.0,12.6,257,,951,4250,48,19.0
566.0,2.05,-29.1,12.8,257,,961,4292,47,19.0
562.5,2.03,-29.5,12.8,256,,971,4336,46,19.0
558.9,2.00,-30.0,13.0,255,,981,4381,46,19.0
555.3,2.00,-30.3,13.4,255,,991,4428,46,19.0
551.9,1.99,-30.8,13.9,254,,1001,4471,48,18.9
548.6,1.96,-31.1,14.3,253,,1011,4514,49,18.9
545.2,1.96,-31.4,14.6,251,,1021,4559,48,18.9
541.6,1.94,-31.9,15.3,251,,1031,4606,50,18.8
537.9,1.93,-32.2,15.9,251,,1041,4652,47,18.8
534.8,1.91,-32.4,16.2,253,,1050,4694,45,18.8
531.6,1.89,-32.8,16.1,255,,1060,4737,46,18.8
528.3,1.88,-33.3,15.6,258,,1070,4780,44,18.8
525.0,1.87,-33.4,15.3,259,,1080,4824,44,18.7
521.7,1.87,-33.6,15.3,259,,1090,4869,37,18.7
518.4,1.85,-34.1,15.5,261,,1100,4913,37,18.7
515.1,1.85,-34.5,15.7,262,,1110,4958,37,18.6
511.8,1.85,-34.8,15.7,261,,1120,5003,38,18.6
508.7,1.83,-34.8,15.3,262,,1130,5045,36,18.6
505.6,1.82,-34.9,14.8,263,,1140,5087,36,18.6
502.4,1.81,-35.5,14.5,266,,1150,5132,37,18.5
499.4,1.80,-35.3,14.8,269,,1160,5174,33,18.5
496.3,1.81,-35.4,15.1,270,,1170,5217,26,18.5
493.5,1.79,-35.8,15.1,269,,1180,5256,24,18.4
490.7,1.78,-36.1,15.2,267,,1190,5295,23,18.4
487.9,1.77,-36.3,15.8,264,,1200,5336,22,18.4
