
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-12-20,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26918

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-08-09,01:19:23

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
287.2,2,322.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.025,22.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
997.5,2.55,5.9,6.2,280,,0,6,100,23.1
991.3,2.83,5.3,8.0,266,,10,57,89,23.1
983.8,2.77,4.6,7.9,266,,20,119,91,23.1
977.4,2.73,4.1,7.6,266,,30,172,91,23.1
970.6,2.68,3.6,7.5,261,,40,229,95,23.1
964.3,2.73,3.2,7.6,254,,49,281,96,23.1
957.2,2.76,3.1,7.8,247,,60,342,86,23.0
951.4,2.85,3.1,8.0,247,,69,391,86,23.0
944.9,2.82,3.0,8.0,255,,79,446,86,22.9
939.4,2.78,2.6,7.7,263,,88,494,88,22.9
932.8,2.75,2.1,7.2,270,,98,551,90,22.8
926.6,2.76,1.6,6.8,276,,108,604,93,22.8
920.9,2.75,1.4,6.8,279,,118,654,94,22.8
914.6,2.71,1.3,7.0,278,,128,710,95,22.7
909.2,2.70,1.1,7.2,274,,138,757,92,22.7
903.7,2.68,1.0,7.4,269,,148,806,92,22.6
897.4,2.67,0.8,7.4,263,,158,862,91,22.5
892.0,2.71,0.5,7.3,260,,168,911,90,22.5
886.2,2.72,0.1,7.4,265,,178,963,92,22.4
879.7,2.68,0.1,8.1,273,,188,1023,92,22.4
873.9,2.69,0.1,8.7,277,,198,1075,89,22.4
868.8,2.66,-0.3,8.7,278,,208,1123,91,22.3
862.3,2.60,-0.5,8.3,279,,218,1182,93,22.3
856.8,2.57,-0.9,8.1,279,,228,1234,94,22.2
850.6,2.51,-1.3,8.2,279,,238,1291,94,22.1
844.7,2.49,-1.4,8.5,279,,248,1347,93,22.0
838.5,2.49,-1.6,9.3,280,,258,1405,94,22.0
833.0,2.51,-1.8,9.9,282,,268,1458,92,21.9
