
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-08-01,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,29,Macquarie Island,AUS,94998

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26855

#LOCATION
Latitude,Longitude,Height
-54.50,158.94,6.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-12-25,23:28:13

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
279.2,2,347.3,-0.97,338.0,0,ZB,Dobson (Beck),6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.037,26.2,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1001.3,1.46,6.4,9.3,247,,0,6,78,25.8
996.2,1.58,4.3,8.5,280,,10,48,67,25.8
990.1,1.53,4.0,10.3,277,,20,98,71,25.8
985.2,1.44,3.6,10.0,270,,30,138,75,25.8
980.6,1.41,3.3,9.0,259,,40,176,77,25.8
976.5,1.43,3.0,8.8,251,,50,210,78,25.8
972.3,1.46,2.6,8.8,249,,60,245,77,25.7
967.6,1.46,2.1,9.1,245,,70,284,77,25.7
964.1,1.45,2.0,10.1,241,,80,313,78,25.6
960.0,1.46,1.4,11.1,241,,90,348,78,25.5
955.6,1.47,1.1,11.2,243,,100,384,81,25.5
951.4,1.47,0.8,11.2,244,,110,420,78,25.4
947.0,1.48,0.4,11.5,244,,120,457,79,25.3
942.4,1.49,0.1,11.8,244,,130,496,80,25.2
937.5,1.48,-0.3,11.7,243,,140,538,80,25.2
932.9,1.49,-0.6,11.5,243,,150,577,79,25.1
927.2,1.48,-1.0,11.5,244,,160,626,79,25.0
923.1,1.48,-1.3,11.5,243,,170,661,79,24.9
917.6,1.47,-1.6,11.9,242,,180,709,80,24.9
912.8,1.47,-1.9,12.3,243,,190,750,79,24.8
908.0,1.46,-2.3,11.9,244,,200,793,81,24.8
903.0,1.46,-2.5,11.1,244,,209,836,79,24.7
897.5,1.46,-2.7,10.8,245,,219,885,78,24.6
892.6,1.44,-2.9,11.1,248,,228,928,80,24.6
887.6,1.44,-3.0,11.5,250,,238,972,78,24.5
882.3,1.44,-3.6,12.0,249,,248,1020,82,24.5
875.8,1.42,-4.3,12.5,248,,258,1079,84,24.4
869.5,1.41,-4.6,12.7,250,,268,1135,89,24.3
862.2,1.40,-5.1,13.1,254,,278,1201,89,24.3
857.2,1.39,-5.4,13.4,255,,287,1247,89,24.3
851.5,1.39,-5.7,13.6,255,,297,1299,89,24.2
846.0,1.38,-6.1,13.4,254,,307,1350,90,24.1
840.1,1.37,-6.4,13.1,254,,317,1405,89,24.1
833.8,1.35,-6.9,13.4,254,,327,1464,90,24.0
827.8,1.35,-7.2,14.1,254,,337,1520,89,24.0
821.7,1.33,-7.6,14.1,254,,347,1578,89,24.0
816.3,1.34,-7.9,14.3,254,,357,1629,88,23.9
809.8,1.32,-8.5,14.9,251,,367,1692,91,23.8
804.5,1.32,-8.8,15.4,251,,377,1743,90,23.8
798.3,1.33,-9.1,15.6,251,,387,1802,88,23.7
793.1,1.32,-9.4,15.4,251,,396,1853,87,23.7
787.3,1.35,-9.1,14.1,252,,407,1910,63,23.7
782.0,1.37,-9.3,12.9,252,,417,1962,55,23.6
776.8,1.40,-9.6,12.3,253,,427,2013,54,23.6
771.5,1.41,-10.0,12.2,252,,437,2066,59,23.5
766.3,1.42,-10.4,12.4,251,,447,2118,66,23.5
760.9,1.43,-10.9,12.5,251,,457,2173,70,23.4
756.4,1.44,-11.3,12.6,252,,467,2218,65,23.3
751.7,1.44,-11.5,13.1,253,,477,2266,68,23.3
746.7,1.43,-11.9,13.8,254,,487,2317,68,23.2
742.2,1.42,-12.3,13.9,253,,497,2363,65,23.1
737.6,1.41,-12.8,13.0,251,,507,2410,67,23.1
733.2,1.41,-13.1,12.1,250,,517,2457,68,23.1
729.2,1.42,-13.4,12.3,254,,526,2498,68,23.0
724.5,1.40,-13.6,13.5,256,,535,2547,76,23.0
718.3,1.38,-13.9,14.8,259,,546,2613,83,23.0
713.4,1.35,-14.4,15.0,261,,556,2664,87,22.9
709.4,1.32,-14.6,15.1,262,,566,2707,83,22.9
705.1,1.29,-14.9,15.4,259,,576,2753,82,22.8
700.7,1.27,-15.4,15.4,258,,585,2800,84,22.7
696.4,1.25,-15.8,15.0,259,,595,2847,86,22.7
692.0,1.24,-16.1,14.9,263,,605,2894,87,22.6
688.0,1.25,-16.4,14.9,266,,615,2938,83,22.6
683.3,1.30,-16.4,14.6,264,,625,2990,70,22.6
680.1,1.34,-16.8,13.8,262,,634,3026,70,22.5
675.7,1.37,-17.0,12.9,262,,644,3073,69,22.5
671.4,1.40,-17.3,12.6,266,,654,3121,68,22.5
667.2,1.41,-17.8,12.6,270,,664,3168,72,22.4
662.3,1.42,-18.3,12.2,271,,674,3224,74,22.4
657.7,1.41,-18.8,11.7,270,,684,3275,76,22.3
654.3,1.42,-19.3,12.0,273,,694,3314,75,22.2
