*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-05-19,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
293,,,0.973,322,2,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1022,2.2,5,0,0,,,,,
1000,2.5,4,11,271,,,,,
850,2.5,-4,17,261,,,,,
700,2.2,-14,30,280,,,,,
671,2.5,-15,31,275,,,,,
620,3.2,-17,37,263,,,,,
595,3.1,-18,38,273,,,,,
527,4.4,-22,32,256,,,,,
527,4.4,-22,32,256,,,,,
500,3.4,-25,31,255,,,,,
446,1.6,-31,32,259,,,,,
428,1.5,-34,35,262,,,,,
410,1.9,-36,35,267,,,,,
410,1.9,-36,35,267,,,,,
329,3.5,-41,54,275,,,,,
300,2.8,-44,67,284,,,,,
263,1.7,-49,82,294,,,,,
240,1.4,-54,82,294,,,,,
240,1.4,-54,82,294,,,,,
200,3.2,-60,67,286,,,,,
180,5.7,-58,58,284,,,,,
164,6.4,-56,51,284,,,,,
156,6.1,-57,49,284,,,,,
156,6.1,-57,49,284,,,,,
150,6.5,-57,47,285,,,,,
136,6.4,-57,43,286,,,,,
136,6.4,-57,43,286,,,,,
124,8.1,-54,41,288,,,,,
118,7.7,-54,40,288,,,,,
100,10.7,-53,41,287,,,,,
97.8,11.4,-52,41,287,,,,,
97.8,11.4,-52,41,287,,,,,
93.3,11.0,-53,43,286,,,,,
85.1,11.7,-52,34,284,,,,,
85.1,11.7,-52,34,284,,,,,
73.9,9.2,-54,35,283,,,,,
70,9.9,-53,37,284,,,,,
61.4,9.7,-54,40,277,,,,,
61.4,9.7,-54,40,277,,,,,
55.9,11.8,-49,39,278,,,,,
50,12.1,-51,39,279,,,,,
46.5,12.4,-51,39,272,,,,,
44.4,13.2,-50,36,273,,,,,
42.4,13.9,-50,34,278,,,,,
42.4,13.9,-50,34,278,,,,,
36.9,13.5,-53,36,284,,,,,
30.6,13.3,-54,40,273,,,,,
30.6,13.3,-54,40,273,,,,,
30,13.5,-54,40,273,,,,,
29.2,13.8,-53,40,274,,,,,
29.2,13.8,-53,40,274,,,,,
27.9,13.4,-53,42,273,,,,,
27.9,13.4,-53,42,273,,,,,
26.6,13.8,-51,44,274,,,,,
26.6,13.8,-51,44,274,,,,,
25.4,14.9,-50,44,270,,,,,
25.4,14.9,-50,44,270,,,,,
23.2,14.5,-50,44,276,,,,,
20,12.4,-53,48,282,,,,,
10,7.1,-53,55,277,,,,,
7.6,5.1,-53,63,271,,,,,

* OC;VAISALA GPS WINDS  XtrapO3=38

