*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-07-07,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
271,,,1,308,2,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
995,2.6,6,0,0,,,,,
960,2.9,5,337,15,,,,,
925,3.0,3,335,16,,,,,
850,2.8,-1,333,18,,,,,
700,2.4,-12,331,22,,,,,
656,2.3,-14,335,17,,,,,
630,2.2,-17,,,,,,,
582,3.5,-17,,,,,,,
537,2.2,-20,,,,,,,
500,2.0,-25,,,,,,,
455,1.7,-31,,,,,,,
382,1.7,-41,,,,,,,
300,1.3,-55,,,,,,,
291,1.3,-57,,,,,,,
277,1.7,-58,,,,,,,
264,2.6,-58,,,,,,,
240,3.3,-59,,,,,,,
229,4.2,-58,,,,,,,
218,4.4,-57,,,,,,,
208,4.2,-55,,,,,,,
200,4.1,-54,,,,,,,
190,4.0,-52,,,,,,,
173,3.3,-52,,,,,,,
158,4.6,-52,,,,,,,
150,4.8,-52,,,,,,,
137,5.3,-52,,,,,,,
125,5.7,-54,,,,,,,
119,6.1,-54,,,,,,,
104,10.0,-55,,,,,,,
100,9.0,-54,,,,,,,
98.8,8.6,-54,,,,,,,
90,12.1,-53,,,,,,,
85.9,10.2,-53,,,,,,,
82,10.3,-52,,,,,,,
78.3,11.2,-52,,,,,,,
74.7,11.2,-54,,,,,,,
70,12.4,-54,,,,,,,
64.9,13.7,-54,,,,,,,
59.1,13.4,-57,,,,,,,
56.4,13.5,-57,,,,,,,
51.3,15.1,-56,,,,,,,
50,15.4,-56,,,,,,,
46.7,16.0,-55,,,,,,,
44.5,15.5,-56,,,,,,,
40.5,15.6,-57,,,,,,,
38.6,15.8,-58,,,,,,,
35.1,15.5,-57,,,,,,,
30,14.4,-60,,,,,,,
27.6,13.7,-60,,,,,,,
22.8,12.4,-59,,,,,,,
22.8,12.4,-59,,,,,,,
20,11.0,-64,,,,,,,
15.4,8.2,-66,,,,,,,
13.3,6.2,-67,,,,,,,
11.5,5.5,-65,,,,,,,
10,4.8,-63,,,,,,,
9.9,4.7,-63,,,,,,,
9.9,4.7,-63,,,,,,,

* OC;ECC/VAISALA  XtrapO3=36.3

