*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-11-24,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
307,,,0.982,331,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1011,1.0,5,0,0,,,,,
1000,1.3,3,8,212,,,,,
974,1.9,-2,9,207,,,,,
850,1.9,-11,12,232,,,,,
835,1.9,-12,13,233,,,,,
714,2.2,-12,22,213,,,,,
700,2.2,-12,23,220,,,,,
660,1.7,-14,27,219,,,,,
586,1.7,-17,24,219,,,,,
540,1.9,-21,26,215,,,,,
500,1.8,-24,26,221,,,,,
478,1.5,-27,27,221,,,,,
421,2.1,-32,31,227,,,,,
387,1.9,-36,33,228,,,,,
300,1.6,-48,38,237,,,,,
270,1.4,-54,37,234,,,,,
214,5.5,-52,29,236,,,,,
204,5.4,-52,26,230,,,,,
200,5.3,-52,27,233,,,,,
195,5.1,-52,27,236,,,,,
186,5.6,-52,27,232,,,,,
178,5.3,-52,26,236,,,,,
162,4.0,-51,21,238,,,,,
150,5.0,-51,21,235,,,,,
135,5.8,-50,18,242,,,,,
123,6.4,-50,20,250,,,,,
117,7.2,-50,21,245,,,,,
100,8.9,-50,19,258,,,,,
97.6,9.3,-50,21,255,,,,,
85,11.4,-50,20,245,,,,,
74.1,12.5,-49,20,254,,,,,
70.8,13.8,-48,20,256,,,,,
70,13.8,-48,21,254,,,,,
53.9,15.1,-48,13,255,,,,,
50,15.0,-49,16,248,,,,,
41,15.2,-46,16,251,,,,,
30,13.3,-47,10,247,,,,,
29.9,13.3,-47,10,247,,,,,
27.3,13.5,-44,5,318,,,,,
25,13.1,-45,12,271,,,,,
22.8,13.6,-43,5,255,,,,,
20,13.1,-44,4,241,,,,,
15.3,11.2,-41,5,248,,,,,
14,10.0,-39,1,317,,,,,
13.4,9.0,-38,3,358,,,,,
12.3,8.3,-38,4,326,,,,,
11.8,8.8,-38,1,278,,,,,
10.3,7.6,-34,7,9,,,,,
10,7.3,-34,7,5,,,,,
9.9,7.2,-34,7,3,,,,,
8.3,6.4,-32,7,336,,,,,
7.7,5.6,-30,5,272,,,,,
7,4.9,-29,6,256,,,,,
6.8,4.6,-29,3,163,,,,,
6.8,4.6,-29,3,163,,,,,

* OC;ECC/VAISALA  XtrapO3=30.3

