* This file was re-written by PREP_CSX to apply WOUDC correction data.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-03-02,ABM,1.0,Atmosphere Watch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Fantasy Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4957

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-03-02,23:24:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
184,4,250,,265,0,5,Dobson,006
* Correction factor was 1.055 but not applied
* Residual Ozone was 66

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.04,25.9,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1017,1.19,6,5.1,295
1000,1.41,4,4,286
945,1.7,-2,6,267
850,1.55,-3,8,246
812,1.38,-3,10,256
782,1.5,-4,14,258
752,1.32,-5,17,258
700,1.62,-7,18,252
645,1.98,-9,19,254
530,2,-18,23,249
500,1.58,-20,24,251
432,1.74,-28,27,248
397,1.56,-32,32,248
380,1.63,-34,34,247
300,1.21,-47,34,253
231,1.08,-59,41,258
220,1.21,-60,42,256
210,1.84,-59,37,249
200,2.04,-58,35.5,249
182,2.17,-57,31,253
158,2.05,-58,30,243
150,2.67,-58,28,247
143,2.6,-58,29,245
119,5.89,-56,21,239
108,4.05,-55,20,244
100,4.74,-55,19,253
85.3,6.24,-56,14,251
81.4,8.39,-55,14,255
70,8.92,-55,16,254
67.4,9.18,-55,17,252
61.4,11.2,-53,16,246
56,11.6,-52,14,238
53.4,12.2,-52,13,219
50,11.5,-53,10,192
46.5,10.6,-53,8,168
40.5,12,-50,4,164
30.8,8.44,-48,3,264
30,9.39,-48,3,283
26.8,12.6,-46,4,291
23.4,11,-45,5,266
20,10.9,-42,2,321
15.7,9.53,-41,9,353
