* This file was re-written by PREP_CSX to apply WOUDC correction data.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-05-25,ABM,1.0,Atmosphere Watch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Fantasy Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4999

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-05-25,23:25:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
241,4,273,,280,2,4,Dobson,006
* Correction factor was 1.026 but not applied
* Residual Ozone was 32

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.04,26.5,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
997,2,7
962,2.52,7
894,2.73,4
850,2.68,2
800,2.5,0
770,2.5,-2
742,2.75,-1
700,2.79,-2
662,2.53,-5
613,2.51,-9
590,2.37,-11
524,2.09,-18
500,2.11,-21
409,1.73,-32
392,1.48,-34
375,1.5,-36
344,1.5,-41
300,1.39,-49
274,1.27,-54
238,1.48,-59
216,1.76,-62
200,1.72,-66
177,2.19,-66
169,2.37,-65
150,4.75,-64
146,4.84,-64
139,2.72,-63
132,2.66,-63
126,3.06,-63
120,2.78,-63
109,3.24,-63
100,5.1,-63
77.3,13.4,-64
70,11.5,-64
66.7,10.5,-64
63.5,10.3,-63
57.6,8.84,-64
50,9.9,-65
38.9,13.4,-65
35.2,13.6,-65
30,13,-65
23.8,11.9,-61
20,10.6,-61
17.8,10.2,-60
15.4,8.84,-61
14.7,7.99,-61
13.4,7.23,-60
11.6,7.9,-59
10,5.75,-56
9.1,5.44,-53
8.7,5.1,-51
8.3,4.95,-50
7.9,4.56,-50
7.6,4.39,-49
