
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-06-29,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4960

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-06-29,23:33:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
323,4,345.6,-0.964,333,2,0,Dobson,006

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.030,26.13,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
989,2.6,6,11.3,322
954,3.18,4
850,3.04,-3
700,2.6,-13
500,1.96,-31
446,1.69,-37
391,2.18,-43
358,2.6,-46
327,1.67,-49
300,3.05,-52
259,3.54,-56
235,3.63,-58
214,4.41,-57
200,5.74,-57
186,8.63,-57
169,10,-56
161,9.74,-57
150,10.6,-58
146,10.8,-58
133,12.8,-58
121,11.3,-59
110,12,-59
100,13.6,-59
86.6,17.2,-60
70,15.6,-59
64.9,16.1,-60
59,14.9,-61
56.2,12.7,-63
53.5,12.4,-64
50,13,-64
43.9,13.1,-67
37.9,14.8,-66
32.6,14.2,-67
30,14.1,-65
20,10.6,-67
16.3,7.8,-66
10,4.51,-63
8.6,3.9,-64
7,3.29,-61
6.1,2.96,-61
