
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-10-05,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4993

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-10-05,23:27:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
290.1,4,328.1,1.000,328,0,0,Dobson,006

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.128,27.12,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1014,2.6,7
1000,2.8,6
978,3.1,4
850,2.69,-2
781,3.12,-2
700,2.86,-7
645,2.99,-12
572,2.58,-19
528,2.14,-22
506,2.2,-24
500,2.13,-25
466,1.75,-29
428,2.1,-33
376,1.34,-40
329,1.11,-48
300,0.97,-53
273,1.14,-57
260,1.76,-57
237,1.43,-60
215,2.57,-61
200,2.28,-61
186,2.36,-61
169,3.59,-60
161,4.3,-59
150,4.06,-59
140,4.02,-58
133,4.11,-58
127,4.58,-57
100,5.69,-57
90.9,6.9,-58
82.7,9.04,-57
75.2,10.3,-56
70,11,-56
59.4,12.6,-56
51.6,15.1,-53
50,15,-53
47.1,14.5,-54
44.9,15.4,-52
42.9,15.3,-52
40.9,15.8,-52
39.1,16,-52
37.3,16,-52
32.5,15,-50
31,15,-49
30,14.8,-49
27.1,13.6,-47
25.9,14.4,-46
23.6,14.5,-45
21.6,13.9,-45
20.7,13.3,-46
20,13.1,-45
16.5,11.4,-42
14.5,11.5,-36
13.3,11,-35
12.2,10,-36
11.2,9.09,-35
10.7,8.74,-35
10,7.75,-34
8,6.16,-31
8.3,6.41,-33
7.3,5.73,-30
