
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-01-04,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4976

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-01-04,23:44:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
284.5,4,317.9,-0.956,304,0,0,Dobson,006

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.077,26.29,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003,1.67,5,9.3,270
1000,1.68,5,10,265
967,1.86,2,13,241
897,1.75,-2,14,249
850,1.58,-4,10,271
741,1.32,-10,13,284
700,1.45,-14,14,291
658,1.68,-17,18,292
632,1.79,-18,20,296
607,1.61,-20,24,293
560,1.7,-23,26,296
537,2.38,-25,25,298
500,2.01,-28,24,299
435,2.27,-35,23,298
399,1.71,-39,24,304
382,2.17,-41,26,304
365,2.08,-43,27,304
319,4.11,-47,26,291
300,5.23,-47,24,293
254,6.78,-47,26,288
200,5.86,-48,26,287
194,5.35,-47,23,282
162,4.32,-48,26,281
154,4.67,-46,26,277
150,4.03,-46,25,280
148,3.67,-46,24,288
141,4.62,-45,23,295
135,4.55,-45,26,287
129,5.69,-45,22,281
123,5.05,-45,22,281
113,7.49,-46,15,289
103,6.28,-48,21,297
100,6.38,-48,20,289
89.8,7.34,-49,17,275
78.3,8.49,-50,16,281
74.8,9.48,-50,10,288
70,10.6,-50,14,300
68.2,10.7,-50,16,293
65.1,11.4,-49,16,286
62.2,7.97,-49,15,278
59.4,7.07,-48,10,301
56.8,7.83,-47,13,305
54.3,11.2,-47,13,301
50,14.3,-46,11,307
47.4,14.9,-46,9,304
43.3,15.1,-45,10,309
39.6,14.7,-44,10,315
37.9,14.7,-45,6,306
36.2,14.2,-45,5,334
33.1,14.5,-45,9,348
31.6,14.2,-45,6,354
30,13.6,-45,6,6
27.7,12.6,-44,8,40
26.4,12.1,-44,7,45
22.1,12,-42,8,48
21.2,11.8,-41,8,45
20.3,12.2,-40,8,44
20,12.1,-40,8,44
17.8,11.3,-38,11,65
16.3,10.2,-37,13,78
14.9,9.51,-36,15,80
14.3,9.15,-36,16,77
12,7.93,-35,13,82
10,6.97,-32,18,60
7,5.12,-25,21,62
